mode,step,t,dt,base_velocity_norm,raw_physics_gradient_norm,applied_physics_velocity_norm,total_velocity_norm,cosine_base_velocity_applied_physics_velocity,pre_update_soft_loss,post_physics_soft_loss,post_total_soft_loss,post_projection_soft_loss,pre_update_hard_loss,post_physics_hard_loss,post_total_hard_loss,post_projection_hard_loss,soft_attainment,hard_attainment,distance_to_baseline,distance_to_truth,truth_direction_fraction,orthogonal_response_fraction,hard_label_flip_count,target_flip_in,target_flip_out,wrong_class_flips,condition_projection_change_norm,guidance_clipping_fraction,used_guidance_ratio,flip_into_raw_label_-1,flip_into_raw_label_0,flip_into_raw_label_1,flip_into_raw_label_2,flip_into_raw_label_3,flip_into_raw_label_4,flip_into_raw_label_5,flip_into_raw_label_6,flip_into_raw_label_7,flip_into_raw_label_8,flip_into_raw_label_9,flip_into_raw_label_10,flip_into_raw_label_11,flip_into_raw_label_12,flip_into_raw_label_13,control
MATCHED_NORM_PHYSICS_ONLY,1,0.015625,0.03125,1912.432373046875,0.0,0.0,0.0,nan,0.0010834559798240662,0.0010834559798240662,0.0010834559798240662,0.0010834559798240662,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.0003708869749542234,0.0007977131224899034,102.38676370025779,220.17260511825262,0.10847883214698822,0.4519847679038597,984,45,70,939,0.0,0.0,0.0,54,1,68,68,69,66,61,57,92,79,45,69,71,99,85,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,2,0.046875,0.03125,1915.4686279296875,0.0,0.0,0.0,nan,0.0010865346994251013,0.0010865346994251013,0.0010865346994251013,0.0010865346994251013,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.0007461680166824887,0.000721213935901954,143.95258391542785,220.17260511825262,0.21400129759799016,0.6174846915356211,2085,97,145,1988,0.0,0.0,0.0,128,2,162,142,148,140,146,129,157,167,97,133,164,188,182,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,3,0.078125,0.03125,1914.92919921875,0.0,0.0,0.0,nan,0.0010927744442597032,0.0010927744442597032,0.0010927744442597032,0.0010927744442597032,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.0009104439581081732,0.0015636863087447747,173.34113307761191,220.17260511825262,0.3102591464448569,0.7228156477055975,3226,170,215,3056,0.0,0.0,0.0,184,5,255,228,229,215,229,213,247,260,170,201,246,278,266,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,4,0.109375,0.03125,1914.4927978515625,0.0,0.0,0.0,nan,0.0011023411061614752,0.0011023411061614752,0.0011023411061614752,0.0011023411061614752,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.00105438783011282,0.0030798631812894574,197.0276338365494,220.17260511825262,0.40071312130368064,0.7985895031236772,4520,241,303,4279,0.0,0.0,0.0,247,6,359,334,321,299,321,308,339,369,241,281,351,372,372,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,5,0.140625,0.03125,1914.7596435546875,0.0,0.0,0.0,nan,0.001115508726797998,0.001115508726797998,0.001115508726797998,0.001115508726797998,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.0011674923755362013,0.005532909025742359,218.28371694187348,220.17260511825262,0.49150589809917045,0.8577812647855896,5973,333,398,5640,0.0,0.0,0.0,331,10,454,444,434,408,433,408,460,477,333,374,458,475,474,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,6,0.171875,0.03125,1915.8304443359375,0.0,0.0,0.0,nan,0.0011326607782393694,0.0011326607782393694,0.0011326607782393694,0.0011326607782393694,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.0011383699890262292,0.006769484311779068,233.94972937073322,220.17260511825262,0.5640918787692027,0.896194438247635,7618,434,523,7184,0.0,0.0,0.0,443,14,590,574,546,527,542,530,565,613,434,491,571,595,583,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,7,0.203125,0.03125,1917.19140625,0.0,0.0,0.0,nan,0.0011543029686436057,0.0011543029686436057,0.0011543029686436057,0.0011543029686436057,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.001266001109275693,0.009101701893704007,248.93439836598068,220.17260511825262,0.6379060552976434,0.9272748258805572,9508,552,688,8956,0.0,0.0,0.0,565,20,723,705,697,648,677,678,716,733,552,643,697,731,723,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,8,0.234375,0.03125,1920.4857177734375,0.0,0.0,0.0,nan,0.0011810356518253684,0.0011810356518253684,0.0011810356518253684,0.0011810356518253684,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.036994513124227524,0.0017216640312969064,0.009595634239187467,260.00684828853,220.17260511825262,0.6954149424754567,0.9474847057403801,11654,665,844,10989,0.0,0.0,0.0,697,25,925,867,867,795,814,831,872,901,665,769,853,895,878,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,9,0.265625,0.03125,1924.5693359375,4.555730811262038e-06,125.59716033935547,125.59716033935547,-0.001505209249444306,0.0012137243757024407,0.0011962688295170665,0.0011962688295170665,0.0011962688295170665,0.036994513124227524,0.036931175738573074,0.036931175738573074,0.036931175738573074,0.024403840698455928,0.013098333089156467,270.4657481977946,219.9642060768241,0.7526199745472516,0.9621901002122666,14414,788,1136,13626,0.0,0.0,0.06540312618017197,856,27,1149,1071,1089,1020,998,1011,1079,1139,788,928,1065,1102,1092,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,10,0.296875,0.03125,1924.84130859375,4.764050572703127e-06,391.86669921875,391.8666687011719,-0.00019137955678161234,0.0012348947348073125,0.0011814429890364408,0.0011814429890364408,0.0011814429890364408,0.036931175738573074,0.036684200167655945,0.036684200167655945,0.036684200167655945,0.0892354884091482,0.019453756040540397,280.26461086361564,219.2668669341935,0.8107960226423444,0.9721055310727555,18476,953,1693,17523,0.0,0.0,0.2040112167596817,1123,36,1459,1387,1393,1347,1306,1302,1352,1449,953,1143,1403,1428,1395,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,11,0.328125,0.03125,1923.888427734375,4.689166871685302e-06,635.17236328125,635.1723022460938,0.003845516126602888,0.0012241806834936142,0.0011416490888223052,0.0011416490888223052,0.0011416490888223052,0.036684200167655945,0.03629525378346443,0.03629525378346443,0.03629525378346443,0.18548535814306552,0.030113068894240362,288.2393046333831,218.11403086723658,0.8621116298708749,0.9753455093870352,23965,1180,2579,22785,0.0,0.0,0.3308543562889099,1501,46,1843,1849,1774,1805,1707,1690,1748,1850,1180,1510,1844,1842,1776,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,12,0.359375,0.03125,1921.9879150390625,4.717393494502176e-06,878.3768310546875,878.3768310546875,0.010368399322032928,0.0011866063578054309,0.0010823427001014352,0.0010823427001014352,0.0010823427001014352,0.03629525378346443,0.03579676151275635,0.03579676151275635,0.03579676151275635,0.30031651119293223,0.04329502507981632,292.5039633260176,216.60469283416614,0.8940748841456475,0.9724945321964437,30985,1470,3681,29515,0.0,0.0,0.45798352360725403,1976,76,2263,2415,2312,2419,2238,2188,2199,2412,1470,1912,2388,2478,2239,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,13,0.390625,0.03125,1919.5675048828125,4.977505341230426e-06,1162.8519287109375,1162.8519287109375,0.018666494637727737,0.0011270694667473435,0.0010135142365470529,0.0010135142365470529,0.0010135142365470529,0.03579676151275635,0.03512793406844139,0.03512793406844139,0.03512793406844139,0.4193635539518223,0.06093381927007595,295.78222778331593,214.56294259721895,0.9229421569046008,0.9662106696695977,39594,1829,5012,37765,0.0,0.0,0.6070055365562439,2549,133,2824,3058,2985,3113,2926,2775,2781,3051,1829,2549,3081,3177,2763,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,14,0.421875,0.03125,1917.9625244140625,5.387877536122687e-06,1492.8209228515625,1492.8209228515625,0.02700953558087349,0.001056213746778667,0.0009437178377993405,0.0009437178377993405,0.0009437178377993405,0.03512793406844139,0.03447306901216507,0.03447306901216507,0.03447306901216507,0.5296504910914245,0.07598652511727653,296.97340123694073,212.58503648146342,0.9401497819556345,0.9599912395190539,49653,2320,6445,47333,0.0,0.0,0.7797814011573792,3222,201,3485,3778,3772,3906,3712,3472,3418,3808,2320,3158,3888,4020,3493,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,15,0.453125,0.03125,1916.782470703125,6.172428129502805e-06,1913.6822509765625,1913.68212890625,0.029332241043448448,0.0009838127298280597,0.0008908758754841983,0.0008908758754841983,0.0008908758754841983,0.03447306901216507,0.03374699130654335,0.03374699130654335,0.03374699130654335,0.6178368003691991,0.09285863464677965,297.65319746750845,210.3138266853551,0.9556130448556863,0.9521090117106785,60840,2874,7866,57966,0.0,1.0,1.0,3854,275,4298,4628,4623,4798,4640,4256,4168,4621,2874,3928,4784,4903,4190,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,16,0.484375,0.03125,1916.7952880859375,6.274063707678579e-06,1913.7449951171875,1913.7449951171875,0.03449330851435661,0.0009268142166547477,0.0008326087263412774,0.0008326087263412774,0.0008326087263412774,0.03374699130654335,0.03330448269844055,0.03330448269844055,0.03330448269844055,0.7016443888503724,0.09492512435251953,297.2114480806779,208.95068123576377,0.9637748432123054,0.951413122153803,72264,3279,9126,68985,0.0,1.0,1.0,4570,353,5145,5472,5529,5692,5515,5090,4972,5432,3279,4611,5710,5931,4963,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,17,0.515625,0.03125,1916.2872314453125,6.733722329954617e-06,1913.4456787109375,1913.4456787109375,0.03517793118953705,0.000864262692630291,0.0007776764105074108,0.0007776764105074108,0.0007776764105074108,0.03330448269844055,0.03292158991098404,0.03292158991098404,0.03292158991098404,0.7725308613129493,0.09251795278566143,296.13882407331624,207.7442810035194,0.9688167294714471,0.9526545827690658,83724,3662,10008,80062,0.0,1.0,1.0,5351,397,5962,6379,6398,6636,6471,5850,5712,6299,3662,5320,6629,6937,5721,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,18,0.546875,0.03125,1915.372802734375,6.306586783466628e-06,1912.340576171875,1912.340576171875,0.039815086871385574,0.0008059660904109478,0.0007309945649467409,0.0007309945649467409,0.0007309945649467409,0.03292158991098404,0.03264673426747322,0.03264673426747322,0.03264673426747322,0.8286139396698928,0.07973051094483478,294.5976585416874,206.83460825190232,0.973699003692577,0.9593217499550925,96257,4007,10956,92250,0.0,1.0,1.0,6210,434,6928,7438,7405,7681,7506,6662,6620,7221,4007,5912,7602,7995,6636,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,19,0.578125,0.03125,1915.7711181640625,6.388620477082441e-06,1912.777099609375,1912.777099609375,0.03528793528676033,0.0007598985102958977,0.0006915651611052454,0.0006915651611052454,0.0006915651611052454,0.03264673426747322,0.0323590449988842,0.0323590449988842,0.0323590449988842,0.8722920187679934,0.049532661879844356,291.51142229243914,205.93136072391312,0.9774411309322762,0.9750420199429266,109853,4274,11719,105579,0.0,1.0,1.0,7196,469,7945,8516,8595,8871,8450,7487,7590,8276,4274,6595,8847,9212,7530,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,20,0.609375,0.03125,1915.7440185546875,6.796212346671382e-06,1912.9293212890625,1912.9293212890625,0.031865451484918594,0.0007180948159657419,0.0006564745563082397,0.0006564745563082397,0.0006564745563082397,0.0323590449988842,0.032114312052726746,0.032114312052726746,0.032114312052726746,0.9063660054044551,-0.011026614497462651,286.7317087097885,205.1398869127543,0.981973576933975,1.0052121194605232,124395,4538,12314,119857,0.0,1.0,1.0,8455,492,9020,9700,9869,10206,9521,8258,8597,9585,4538,7146,10108,10383,8517,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,21,0.640625,0.03125,1915.3797607421875,7.345332051045261e-06,1912.775634765625,1912.775634765625,0.023992091417312622,0.0006816465756855905,0.0006312404875643551,0.0006312404875643551,0.0006312404875643551,0.032114312052726746,0.03191223368048668,0.03191223368048668,0.03191223368048668,0.9297158623945431,-0.1170702543784599,279.08935956952445,204.48635202203536,0.9808613245373797,1.0556196733834406,140476,4665,12944,135811,0.0,1.0,1.0,9861,514,10256,11105,11333,11641,10682,9072,9722,10897,4665,7796,11662,11652,9618,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,22,0.671875,0.03125,1915.4666748046875,7.798031219863333e-06,1913.0135498046875,1913.0135498046875,0.02071097306907177,0.0006590111297555268,0.0006130944238975644,0.0006130944238975644,0.0006130944238975644,0.03191223368048668,0.03169193118810654,0.03169193118810654,0.03169193118810654,0.94516285510931,-0.3231905108778008,268.34620496023297,203.79793503026315,0.9832807035066486,1.1475954392977539,157894,4828,13460,153066,0.0,1.0,1.0,11513,544,11571,12573,12881,13228,11923,9932,10818,12360,4828,8401,13394,13137,10791,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,23,0.703125,0.03125,1915.9775390625,8.21059165900806e-06,1913.646728515625,1913.646728515625,0.01755324751138687,0.0006424412131309509,0.0005989805795252323,0.0005989805795252323,0.0005989805795252323,0.03169193118810654,0.03145764395594597,0.03145764395594597,0.03145764395594597,0.9541086641996241,-0.7276947049204566,253.43099811902428,203.06122102150505,0.9773038975034312,1.3081948259230232,175220,4928,13839,170292,0.0,1.0,1.0,13196,577,12893,14099,14598,14836,13067,10701,12012,13802,4928,9069,15091,14520,11831,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,24,0.734375,0.03125,1914.4124755859375,9.144175237452146e-06,1912.3212890625,1912.3212890625,0.012974417768418789,0.0006306968862190843,0.0005933021893724799,0.0005933021893724799,0.0005933021893724799,0.03145764395594597,0.03127574548125267,0.03127574548125267,0.03127574548125267,0.9548299961233855,-1.6513050040317199,236.94439145896834,202.43029897853842,0.9794673227563986,1.6096036255221255,190493,5017,14149,185476,0.0,1.0,1.0,14974,610,13919,15508,16137,16310,14103,11323,12896,15157,5017,9370,16552,15828,12789,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,25,0.765625,0.03125,1913.225830078125,1.020582567434758e-05,1911.35302734375,1911.3531494140625,0.006455317139625549,0.0006286472198553383,0.0006069057853892446,0.0006069057853892446,0.0006069057853892446,0.03127574548125267,0.03117579035460949,0.03117579035460949,0.03117579035460949,0.9394074319750116,-3.8087859276297977,221.63685906786785,202.12349354255895,0.9629528665772427,2.1384976243581932,201904,5013,14595,196891,0.0,1.0,1.0,16284,627,14691,16588,17305,17511,14919,11720,13556,16153,5013,9716,17723,16721,13377,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,26,0.796875,0.03125,1914.6624755859375,1.2252156921022106e-05,1913.10107421875,1913.10107421875,0.0035746674984693527,0.0006425739265978336,0.0006230046856217086,0.0006230046856217086,0.0006230046856217086,0.03117579035460949,0.030992526561021805,0.030992526561021805,0.030992526561021805,0.9006190355200899,-8.128567276249044,212.09395632957998,201.5599062896677,0.943680192912153,2.875773427474568,208407,5039,15144,203368,0.0,1.0,1.0,17037,642,15087,17335,18058,18165,15321,11987,13868,16655,5039,9866,18464,17264,13619,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,27,0.828125,0.03125,1916.81396484375,1.4097467101237271e-05,1915.4552001953125,1915.4552001953125,-0.0007333543617278337,0.0006678423960693181,0.0006576133891940117,0.0006576133891940117,0.0006576133891940117,0.030992526561021805,0.030883414670825005,0.030883414670825005,0.030883414670825005,0.8305129692058106,-12.939105876287195,208.17136755750883,201.20399638348138,0.9212530931832374,3.457125855153221,211038,5015,15499,206023,0.0,1.0,1.0,17383,679,15251,17729,18512,18547,15516,11912,13906,16906,5015,9799,18817,17376,13690,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,28,0.859375,0.03125,1918.6727294921875,1.6958887499640696e-05,1917.5419921875,1917.5419921875,-0.0009827424073591828,0.0007004553335718811,0.0006765457219444215,0.0006765457219444215,0.0006765457219444215,0.030883414670825005,0.030674701556563377,0.030674701556563377,0.030674701556563377,0.7866650204785549,-15.397377108725832,206.46537474614178,200.48452770557563,0.9137621630497934,3.695738388280549,212034,4934,15698,207100,0.0,1.0,1.0,17519,673,15314,17843,18792,18747,15549,11868,13892,17026,4934,9740,19006,17492,13639,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,29,0.890625,0.03125,1922.521728515625,1.8347811419516802e-05,1921.4744873046875,1921.4744873046875,-0.0024254571180790663,0.0007170352037064731,0.0007048647967167199,0.0007048647967167199,0.0007048647967167199,0.030674701556563377,0.030556142330169678,0.030556142330169678,0.030556142330169678,0.7795288824862107,-16.830384780621163,205.5608740674533,200.16136978884154,0.899137165483758,3.8195625199359653,212415,4893,15744,207522,0.0,1.0,1.0,17604,716,15322,17919,18885,18866,15596,11778,13849,17050,4893,9649,19168,17507,13613,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,30,0.921875,0.03125,1933.2684326171875,1.9992587112938054e-05,1932.3018798828125,1932.3018798828125,-0.0028804654721170664,0.0007397839799523354,0.0007363155018538237,0.0007363155018538237,0.0007363155018538237,0.030556142330169678,0.03042779304087162,0.03042779304087162,0.03042779304087162,0.7689336772083039,-17.624551640490086,204.9297722003622,199.75172561837164,0.8969035235901496,3.886472643495355,212655,4862,15723,207793,0.0,1.0,1.0,17618,707,15366,18006,19029,19002,15542,11748,13781,17057,4862,9546,19267,17564,13560,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,31,0.953125,0.03125,1963.93115234375,2.248897908430081e-05,1890.5169677734375,1890.5169677734375,-0.003301914082840085,0.0007621058612130582,0.000718840747140348,0.000718840747140348,0.000718840747140348,0.03042779304087162,0.03026535175740719,0.03026535175740719,0.03026535175740719,0.786239402205289,-18.145300442868788,204.186496498549,199.19850538166332,0.8915846984286365,3.928492274416294,212840,4759,15702,208081,0.0,0.0,0.9630468487739563,17663,695,15338,18103,19179,19112,15529,11615,13727,17089,4759,9515,19395,17610,13511,shuffled_xy
MATCHED_NORM_PHYSICS_ONLY,32,0.984375,0.03125,2068.142578125,2.0379598936415277e-05,604.7883911132812,604.7884521484375,0.00042049697367474437,0.0007309661596082151,0.0005867556901648641,0.0005867556901648641,0.0005867556901648641,0.03026535175740719,0.03002394549548626,0.03002394549548626,0.03002394549548626,0.8847094696241751,-18.576483366481437,203.33607162898358,198.37669270831407,0.8972566327304197,3.9602595878736118,212854,4478,15676,208376,0.0,0.0,0.2925742268562317,17715,719,15407,18134,19203,19131,15526,11527,13827,17187,4478,9392,19458,17608,13542,shuffled_xy
