sample_id,step,t,w_t,geo_loss,gravity_loss,gravity_gradient_loss,magnetic_loss,grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,effective_guidance_ratio,guidance_mode,physics_mode,mu,alpha,gravity_weight,gravity_gradient_weight,magnetic_weight
0,0,0.015625,0.0,2.7373483180999756,nan,2.7373483180999756,nan,0.1867073029279709,2070.66845703125,0.0,2070.66845703125,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,1,0.046875,0.0,2.732038736343384,nan,2.732038736343384,nan,0.19273236393928528,2063.66162109375,0.0,2063.66162109375,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,2,0.078125,0.0,2.7261037826538086,nan,2.7261037826538086,nan,0.19911199808120728,2062.406982421875,0.0,2062.406982421875,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,3,0.109375,0.0,2.7192351818084717,nan,2.7192351818084717,nan,0.20587719976902008,2062.074462890625,0.0,2062.074462890625,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,4,0.140625,0.0,2.7112488746643066,nan,2.7112488746643066,nan,0.21304816007614136,2060.502197265625,0.0,2060.502197265625,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,5,0.171875,0.0,2.7020859718322754,nan,2.7020859718322754,nan,0.22064362466335297,2056.49169921875,0.0,2056.49169921875,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,6,0.203125,0.0,2.691504955291748,nan,2.691504955291748,nan,0.2286737710237503,2060.712890625,0.0,2060.712890625,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,7,0.234375,0.0,2.679164171218872,nan,2.679164171218872,nan,0.23719319701194763,2055.881591796875,0.0,2055.881591796875,0.0,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,8,0.265625,0.00043402777777777775,2.6648738384246826,nan,2.6648738384246826,nan,0.24618735909461975,2054.0126953125,0.8914985656738281,2054.013671875,0.0004340277810115367,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,9,0.296875,0.00390625,2.64140248298645,nan,2.64140248298645,nan,0.2554262578487396,2058.804931640625,8.042206764221191,2058.829345703125,0.00390625,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,10,0.328125,0.010850694444444446,2.5563805103302,nan,2.5563805103302,nan,0.2616642713546753,2058.30712890625,22.334060668945312,2058.454345703125,0.0108506940305233,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,11,0.359375,0.021267361111111115,2.350900650024414,nan,2.350900650024414,nan,0.2577795386314392,2059.623046875,43.8027458190918,2060.1455078125,0.02126736007630825,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
0,12,0.390625,0.03515625,1.985940933227539,nan,1.985940933227539,nan,0.23473650217056274,2044.1160888671875,71.86344909667969,2045.481201171875,0.0351562462747097,relative,gravity_gradient,0.01,1.0,1.0,1.0,1.0
