case_id,arm,generation,proposal_index,branch_id,ranking_id,sensitivity_rank_one_based,sensitivity_rank_index_zero_based,sensitivity_score,parent_state_id,child_state_id,parent_hard_rmse,child_hard_rmse,delta_hard_rmse_vs_parent,delta_hard_rmse_vs_empty,empty_hard_rmse,center_x,center_y,center_z,shape,orientation_deg,full_size_x,full_size_y,full_size_z,realized_scale,probe_size_x,probe_size_y,probe_size_z,birth_changed_voxels_vs_parent,child_changed_from_base_voxels,hard_rmse_rank_among_96_one_based,next_beam_cutoff_hard_rmse,margin_child_minus_beam_cutoff,parent_was_valid_beam_state,satisfied_local_continuation_improvement_rule,entered_next_beam,continuation_executed,deterministic_continuation_reason,exact_v2_full_target_geometry_match_count,matched_v2_full_target_failed_vs_parent,condition_violations,truth_used
analytic_five_body,correct,1,0,branch_97a52fe3fcf902bb03ed,g001_b7e43f1d75130653_0000,1,0,6.173095607664436e-05,empty,g001_p000000_empty,0.008885824121534824,0.009460588917136192,0.000574764795601368,0.000574764795601368,0.008885824121534824,41.0,41.0,39.0,ellipsoid,33.94360557912685,9.069960482085477,12.518838106885632,9.034864313429892,0.25,2.2674901205213693,3.129709526721408,2.258716078357473,9,9,81,0.009027141146361828,0.00043344777077436447,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,1,branch_986c2d98dd7bd18db999,g001_b7e43f1d75130653_0000,2,1,6.173095607664436e-05,empty,g001_p000001_empty,0.008885824121534824,0.009110778570175171,0.00022495444864034653,0.00022495444864034653,0.008885824121534824,41.0,42.0,39.0,ellipsoid,140.05301420081562,10.216738703467461,6.449849555799257,8.001534966156104,0.25,2.5541846758668654,1.6124623889498142,2.000383741539026,5,5,15,0.009027141146361828,8.363742381334305e-05,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,2,branch_f5a25bbd75c38c88b058,g001_b7e43f1d75130653_0000,3,2,6.173095607664436e-05,empty,g001_p000002_empty,0.008885824121534824,0.009110778570175171,0.00022495444864034653,0.00022495444864034653,0.008885824121534824,42.0,41.0,39.0,ellipsoid,88.66852277516863,7.484638497607557,9.991618598313472,11.821175332686096,0.25,1.8711596244018893,2.497904649578368,2.955293833171524,5,5,16,0.009027141146361828,8.363742381334305e-05,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,3,branch_71a75802314fa2067d16,g001_b7e43f1d75130653_0000,4,3,6.173094880068675e-05,empty,g001_p000003_empty,0.008885824121534824,0.009155883453786373,0.00027005933225154877,0.00027005933225154877,0.008885824121534824,42.0,42.0,39.0,dike_hemisphere,108.3784039812152,6.9602026354836335,13.792192464052157,7.862544991815387,0.25,1.7400506588709084,3.448048116013039,1.9656362479538467,3,3,27,0.009027141146361828,0.0001287423074245453,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,4,branch_bcb225b43da350633e60,g001_b7e43f1d75130653_0000,5,4,6.169795233290642e-05,empty,g001_p000004_empty,0.008885824121534824,0.009359588846564293,0.00047376472502946854,0.00047376472502946854,0.008885824121534824,9.0,41.0,21.0,dike_hemisphere,11.694771665313839,11.416029720230092,12.882908191169253,13.24044422109909,0.25,2.854007430057523,3.2207270477923133,3.3101110552747723,15,15,63,0.009027141146361828,0.00033244770020246506,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,5,branch_61b189279692acf85a40,g001_b7e43f1d75130653_0000,6,5,6.169795233290642e-05,empty,g001_p000005_empty,0.008885824121534824,0.009287332184612751,0.00040150806307792664,0.00040150806307792664,0.008885824121534824,9.0,42.0,21.0,ellipsoid,73.89352658062758,9.3260241652468,9.271963487293934,13.664643496505605,0.25,2.3315060413117,2.3179908718234836,3.416160874126401,7,7,49,0.009027141146361828,0.00026019103825092316,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,6,branch_01c21c46b8afeff9b8ac,g001_b7e43f1d75130653_0000,7,6,6.169795233290642e-05,empty,g001_p000006_empty,0.008885824121534824,0.009027141146361828,0.00014131702482700348,0.00014131702482700348,0.008885824121534824,10.0,41.0,21.0,dike_hemisphere,88.67712622573787,7.852049182093416,11.145289176007863,9.157355840537475,0.25,1.963012295523354,2.7863222940019656,2.2893389601343688,7,7,7,0.009027141146361828,0.0,True,False,True,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,7,branch_1ca36857ce3deb88e29a,g001_b7e43f1d75130653_0000,8,7,6.169794505694881e-05,empty,g001_p000007_empty,0.008885824121534824,0.009147676639258862,0.00026185251772403717,0.00026185251772403717,0.008885824121534824,10.0,42.0,21.0,dike_hemisphere,144.50235789362677,12.3065001525419,7.065688742619231,13.200821676546568,0.25,3.076625038135475,1.7664221856548077,3.300205419136642,9,9,25,0.009027141146361828,0.00012053549289703369,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,8,branch_4711b5b83176c0146795,g001_b7e43f1d75130653_0000,9,8,5.569587301579304e-05,empty,g001_p000008_empty,0.008885824121534824,0.00933158304542303,0.0004457589238882065,0.0004457589238882065,0.008885824121534824,40.0,41.0,39.0,ellipsoid,142.09711655694812,8.55601594564268,9.118549501281159,7.592165011248599,0.25,2.13900398641067,2.2796373753202896,1.8980412528121497,5,5,59,0.009027141146361828,0.000304441899061203,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,9,branch_c9742a5ad942254b05e8,g001_b7e43f1d75130653_0000,10,9,5.569587301579304e-05,empty,g001_p000009_empty,0.008885824121534824,0.009052555076777935,0.00016673095524311066,0.00016673095524311066,0.008885824121534824,40.0,42.0,39.0,dike_hemisphere,107.71547182800337,7.0104090357618,9.086002987599725,9.12801987946564,0.25,1.75260225894045,2.2715007468999313,2.28200496986641,5,5,10,0.009027141146361828,2.5413930416107178e-05,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,10,branch_05c17d3a39b32213a367,g001_b7e43f1d75130653_0000,11,10,5.569587301579304e-05,empty,g001_p000010_empty,0.008885824121534824,0.009373094886541367,0.0004872707650065422,0.0004872707650065422,0.008885824121534824,41.0,40.0,39.0,ellipsoid,110.77220670438774,13.360088129200104,7.883318812364299,11.068272044007422,0.25,3.340022032300026,1.9708297030910749,2.7670680110018555,13,13,65,0.009027141146361828,0.0003459537401795387,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
analytic_five_body,correct,1,11,branch_946e99fdd0967ffda431,g001_b7e43f1d75130653_0000,12,11,5.569587301579304e-05,empty,g001_p000011_empty,0.008885824121534824,0.009216925129294395,0.0003311010077595711,0.0003311010077595711,0.008885824121534824,41.0,43.0,39.0,dike_hemisphere,52.21242285525821,8.697609417360173,14.354844958554544,11.199660706009823,0.25,2.1744023543400433,3.588711239638636,2.7999151765024557,15,15,37,0.009027141146361828,0.0001897839829325676,True,False,False,False,not_executed_local_hard_rmse_improvement_rule_failed,1,True,0,False
