run_index,seed,initial_seismic_mse,final_seismic_mse,final_seismic_rmse,pearson_correlation,spearman_correlation,coarse_presence_auprc,mean_q_pred_target_containing_cells,mean_q_pred_background_only_cells,target_minus_background_mean_q,centroid_distance_coarse_cells,top_k,top_k_overlap_count,top_k_overlap_fraction,coarse_occupancy_tensor_sha256
0,151700,0.0009456343832425773,0.0007050923886708915,0.02655357581703247,-0.02639528953732435,0.0003756365325437433,0.6788237597924325,0.576897916468707,0.5437714021120753,0.03312651435663172,0.8763973280942445,33,18,0.5454545454545454,3c0ef79bc691a38e33cdea6bc963d6b756efeeacb8c552d1246b426d759aa5a0
1,151701,0.0008542230352759361,0.0007050076383166015,0.026551979932136916,0.05222363919983615,0.08995680354110414,0.5991207069287268,0.4694299887527119,0.4298642235142844,0.03956576523842753,0.9750968005917043,33,21,0.6363636363636364,7cbde0398361abfa4a5192c1baf290860bb9ad8b988791c33de8fb37ff1be77e
2,151702,0.0009134454885497689,0.0007049764390103519,0.02655139241189343,-0.027823420613806892,-0.04143077032870525,0.5052709140798903,0.506050988128691,0.5652380122670105,-0.059187024138319555,1.0081314330379771,33,17,0.5151515151515151,e6fc26e530516cc124b34f89538a703eb57db2c079bd932b33629e4142ce970f
3,151703,0.0009199375635944307,0.0007050119456835091,0.026552061043985064,-0.16141913138517408,-0.07336236418297447,0.58592557902111,0.4361071424050765,0.4481491579541138,-0.012042015549037333,0.9102561658893852,33,19,0.5757575757575758,4b1002136d5fb5449c807a67e8f917e7b07854bbd348a30f3d772fefe6e5316a
4,151704,0.000861811451613903,0.0007049376145005226,0.02655066128179339,-0.07627358599430469,0.022513344861802446,0.5912044931323142,0.6165768188057523,0.5924155062862805,0.024161312519471845,0.9481328648367446,33,21,0.6363636363636364,52c1ac1c638cd6c039b77070cf83fe025d599458676f5b06efe96dc51e63cb15
5,151705,0.0008815953624434769,0.0007049159030430019,0.026550252410156138,-0.08062899238482964,0.005425287012297724,0.6221005776411763,0.5135311394026785,0.5054837156619344,0.008047423740744075,0.8990562369918307,33,18,0.5454545454545454,322875623c9690862bcf9001c44407555782f8bed066bac8c7efb9446cf83bd5
6,151706,0.0009120152681134641,0.0007048845291137695,0.02654966156307401,0.06962834904513523,0.014718413785162436,0.6192093061346873,0.5623771281856479,0.5684532001614571,-0.006076071975809172,0.9409591234340074,33,17,0.5151515151515151,dc756a4a422eb97c4204d79d23549f51a4c16f7717ea1c46b78052a14b0268f7
7,151707,0.001013430766761303,0.0007047647377476096,0.026547405480528783,-0.09810141612538094,-0.1534620089869175,0.5507532672311747,0.4615937074025472,0.4869124357189451,-0.02531872831639792,1.011967848264082,33,17,0.5151515151515151,f59e870305687340868b571dd53091819b91c7e9a9e20b1735225934f17ce2c0
