method,seed,sample_id,truth_target_voxels,baseline_target_voxels,guided_target_voxels,baseline_tp,baseline_fn,baseline_fp,recovered_fn,residual_fn,preserved_tp,lost_tp,removed_fp,retained_fp,new_fp,fn_recovery_rate,fp_removal_rate,tp_preservation_rate,new_fp_per_recovered_fn,baseline_iou,guided_iou,baseline_precision,guided_precision,baseline_recall,guided_recall,truth_components,baseline_components,guided_components
Phase1,42,0,8968,6283,10466,424,8544,5859,8290,254,424,0,4288,1571,181,0.9702715355805244,0.7318655060590544,1.0,0.0218335343787696,0.02859647939569704,0.8128731343283582,0.0674836861371956,0.8326008025988917,0.04727921498661909,0.9716770740410348,7,37,68
Phase2,42,0,8968,6283,5066,424,8544,5859,4138,4406,424,0,5398,461,43,0.48431647940074907,0.9213176309950504,1.0,0.010391493475108747,0.02859647939569704,0.48163006756756754,0.0674836861371956,0.9005132254243979,0.04727921498661909,0.5086975914362176,7,37,203
Stage15-H,42,0,8968,6283,12551,424,8544,5859,3621,4923,424,0,65,5794,2712,0.4238061797752809,0.011094043352107869,1.0,0.7489643744821872,0.02859647939569704,0.2314867803593911,0.0674836861371956,0.32228507688630387,0.04727921498661909,0.4510481712756467,7,37,93
Stage15-H,142,0,8968,3068,9063,224,8744,2844,3672,5072,224,0,24,2820,2347,0.41994510521500455,0.008438818565400843,1.0,0.639161220043573,0.018963765662038605,0.27562787407145384,0.07301173402868318,0.4298797307734746,0.024977698483496878,0.4344335414808207,7,45,114
Stage15-H,242,0,8968,4698,10939,860,8108,3838,3666,4442,860,0,68,3770,2643,0.45214602861371483,0.01771756122980719,1.0,0.720949263502455,0.06715602061533656,0.2942591509004616,0.18305661983822905,0.4137489715696133,0.09589652096342552,0.5046833184656556,7,50,116
