sample_id,step,t,w_t,tau,probability_loss,probability_base_loss,probability_bce,probability_dice_loss,probability_dice_score,probability_soft_calibration_mae,loss_positive_scale,loss_negative_scale,roi_hard_core_probability_mean,roi_background_probability_mean,roi_soft_halo_probability_mean,roi_soft_halo_target_mean,probability_spatial_gradient_loss,roi_spatial_gradient_error_mean,roi_predicted_gradient_mean,roi_target_gradient_mean,roi_target_probability_mean,roi_soft_margin_mean,roi_entropy_mean,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_roi,hard_change_outside_roi,target_hard_voxels_before,target_hard_voxels_after,selected_target_recovered_after,alpha,spatial_gradient_weight,probability_loss_mode,guidance_scaling_mode,arm,source_seed
0,0,0.015625,0.0,0.49975909124103446,0.17782044410705566,0.17782044410705566,0.17782044410705566,0.0,1.0,0.05840824916958809,1.0,1.0,0.06654826551675797,0.06650051474571228,0.0,0.0,0.0,0.0,0.0,0.0,0.06659143418073654,0.0,0.24470873177051544,0.0,0.0,1773.5841064453125,0.0,1773.5841064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4033317565918,1.5318021774291992,1051.72021484375,0,0,904,0.003448486328125,904,0,12739,12701,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,1,0.046875,0.0,0.4978353019929562,0.17778664827346802,0.17778664827346802,0.17778664827346802,0.0,1.0,0.058360710740089417,1.0,1.0,0.06649607419967651,0.06643562018871307,0.0,0.0,0.0,0.0,0.0,0.0,0.06653018295764923,0.0,0.24454671144485474,0.0,0.0,1772.2952880859375,0.0,1772.2952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.361026763916016,1.6029452085494995,0.0,0,0,996,0.0037994384765625,996,0,12701,12647,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,2,0.078125,0.0,0.4940062506389088,0.17774967849254608,0.17774967849254608,0.17774967849254608,0.0,1.0,0.05830800160765648,1.0,1.0,0.06643728911876678,0.0663636177778244,0.0,0.0,0.0,0.0,0.0,0.0,0.0664621889591217,0.0,0.24436648190021515,0.0,0.0,1772.0030517578125,0.0,1772.0030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.351600646972656,1.6130620241165161,0.0,0,0,1100,0.0041961669921875,1100,0,12647,12584,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,3,0.109375,0.0,0.4883088130366042,0.1777079999446869,0.1777079999446869,0.1777079999446869,0.0,1.0,0.05825037881731987,1.0,1.0,0.06637579202651978,0.06628428399562836,0.0,0.0,0.0,0.0,0.0,0.0,0.06638861447572708,0.0,0.2441711276769638,0.0,0.0,1770.676513671875,0.0,1770.676513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30962371826172,1.6300691366195679,0.0,0,0,1133,0.004322052001953125,1133,0,12584,12531,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,4,0.140625,0.0,0.48079785862468866,0.17766258120536804,0.17766258120536804,0.17766258120536804,0.0,1.0,0.05819062516093254,1.0,1.0,0.06631618738174438,0.06620146334171295,0.0,0.0,0.0,0.0,0.0,0.0,0.06631406396627426,0.0,0.24397261440753937,0.0,0.0,1770.586669921875,0.0,1770.586669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.306617736816406,1.6368591785430908,0.0,0,0,1412,0.0053863525390625,1412,0,12531,12459,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,5,0.171875,0.0,0.4715457220000544,0.17761315405368805,0.17761315405368805,0.17761315405368805,0.0,1.0,0.058128561824560165,1.0,1.0,0.06625903397798538,0.0661165714263916,0.0,0.0,0.0,0.0,0.0,0.0,0.06623987853527069,0.0,0.24377430975437164,0.0,0.0,1770.6107177734375,0.0,1770.6107177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.307491302490234,1.6327883005142212,0.0,0,0,1580,0.0060272216796875,1580,0,12459,12397,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,6,0.203125,0.0,0.460641506296129,0.1775560826063156,0.1775560826063156,0.1775560826063156,0.0,1.0,0.058063190430402756,1.0,1.0,0.06621595472097397,0.06603100895881653,0.0,0.0,0.0,0.0,0.0,0.0,0.06617078930139542,0.0,0.24358825385570526,0.0,0.0,1769.9136962890625,0.0,1769.9136962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28583908081055,1.6279182434082031,0.0,0,0,1690,0.00644683837890625,1690,0,12397,12370,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,7,0.234375,0.0,0.4481902250709918,0.1774875521659851,0.1774875521659851,0.1774875521659851,0.0,1.0,0.05798790231347084,1.0,1.0,0.06618226319551468,0.06593594700098038,0.0,0.0,0.0,0.0,0.0,0.0,0.066098652780056,0.0,0.24339242279529572,0.0,0.0,1771.181640625,0.0,1771.181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.326419830322266,1.595818281173706,0.0,0,0,1974,0.00753021240234375,1974,0,12370,12310,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,8,0.265625,0.06540312923014306,0.43431179096940364,0.1774052232503891,0.1774052232503891,0.1774052232503891,0.0,1.0,0.05789732560515404,1.0,1.0,0.06614778935909271,0.06582311540842056,0.0,0.0,0.0,0.0,0.0,0.0,0.06601433455944061,0.0,0.24316202104091644,0.00016221063560806215,0.00016221063560806215,1774.704345703125,29.016014099121094,1775.2017822265625,0.016350782307535765,0.01635078154504299,0.01635078154504299,0.0,0.00016221063560806215,1.0,0.016349773854017258,55.45280075073242,1.5711978673934937,0.0,0,0,2334,0.00890350341796875,2334,0,12310,12222,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
0,9,0.296875,0.19509032201612825,0.4191398608984867,0.17714671790599823,0.17714671790599823,0.17714671790599823,0.0,1.0,0.057675283402204514,1.0,1.0,0.0661928728222847,0.06558353453874588,0.0,0.0,0.0,0.0,0.0,0.0,0.0658620297908783,0.0,0.24274790287017822,0.00017608035705052316,0.00017608035705052316,1774.938720703125,93.96498107910156,1778.3536376953125,0.04877258050403206,0.052942853420972824,0.052942853420972824,0.0,0.00016221063560806215,1.085504412651062,0.05293984338641167,55.551815032958984,1.5541388988494873,0.0,0,0,2824,0.010772705078125,2824,0,12222,11996,0,0.25,0.0,binary_coarse_occupancy_bce_v1,reference_norm_relative_v2,GEO_EVIDENCE_GUIDED,42
