mode,step,t,dt,base_velocity_norm,raw_physics_gradient_norm,applied_physics_velocity_norm,total_velocity_norm,cosine_base_velocity_applied_physics_velocity,pre_update_soft_loss,post_physics_soft_loss,post_total_soft_loss,post_projection_soft_loss,pre_update_hard_loss,post_physics_hard_loss,post_total_hard_loss,post_projection_hard_loss,soft_attainment,hard_attainment,distance_to_baseline,distance_to_truth,truth_direction_fraction,orthogonal_response_fraction,hard_label_flip_count,target_flip_in,target_flip_out,wrong_class_flips,condition_projection_change_norm,guidance_clipping_fraction,used_guidance_ratio,flip_into_raw_label_-1,flip_into_raw_label_0,flip_into_raw_label_1,flip_into_raw_label_2,flip_into_raw_label_3,flip_into_raw_label_4,flip_into_raw_label_5,flip_into_raw_label_6,flip_into_raw_label_7,flip_into_raw_label_8,flip_into_raw_label_9,flip_into_raw_label_10,flip_into_raw_label_11,flip_into_raw_label_12,flip_into_raw_label_13,control
BASE,1,0.015625,0.03125,1911.460693359375,0.0,0.0,1911.460693359375,nan,0.001058881520293653,0.001058881520293653,0.0010590078309178352,0.0010590078309178352,0.03696781024336815,0.03696781024336815,0.036999985575675964,0.036999985575675964,0.0,0.0,0.0,220.21948884046614,0.0,0.0,0,0,0,0,0.6757588982582092,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,2,0.046875,0.03125,1914.4998779296875,0.0,0.0,1914.4998779296875,nan,0.0010620871325954795,0.0010620871325954795,0.0010622212430462241,0.0010622212430462241,0.036999985575675964,0.036999985575675964,0.037007886916399,0.037007886916399,0.0,0.0,0.0,220.2429980204271,0.0,0.0,0,0,0,0,0.6985159516334534,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,3,0.078125,0.03125,1913.864990234375,0.0,0.0,1913.864990234375,nan,0.0010684806620702147,0.0010684806620702147,0.001068477868102491,0.001068477868102491,0.037007886916399,0.037007886916399,0.03703690320253372,0.03703690320253372,0.0,0.0,0.0,220.32931045290323,0.0,0.0,0,0,0,0,0.6824577450752258,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,4,0.109375,0.03125,1913.34765625,0.0,0.0,1913.34765625,nan,0.0010780849261209369,0.0010780849261209369,0.0010781119344756007,0.0010781119344756007,0.03703690320253372,0.03703690320253372,0.037074070423841476,0.037074070423841476,0.0,0.0,0.0,220.43983633974574,0.0,0.0,0,0,0,0,0.6729300618171692,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,5,0.140625,0.03125,1913.511474609375,0.0,0.0,1913.511474609375,nan,0.0010913779260590672,0.0010913779260590672,0.0010913143632933497,0.0010913143632933497,0.037074070423841476,0.037074070423841476,0.03715876489877701,0.03715876489877701,0.0,0.0,0.0,220.69149887831844,0.0,0.0,0,0,0,0,0.6605211496353149,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,6,0.171875,0.03125,1914.568359375,0.0,0.0,1914.568359375,nan,0.0011085834121331573,0.0011085834121331573,0.0011083571007475257,0.0011083571007475257,0.03715876489877701,0.03715876489877701,0.03720882162451744,0.03720882162451744,0.0,0.0,0.0,220.8400867332357,0.0,0.0,0,0,0,0,0.6595742106437683,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,7,0.203125,0.03125,1915.9439697265625,0.0,0.0,1915.9439697265625,nan,0.001130158081650734,0.001130158081650734,0.001129968324676156,0.001129968324676156,0.03720882162451744,0.03720882162451744,0.0372835174202919,0.0372835174202919,0.0,0.0,0.0,221.06165088693115,0.0,0.0,0,0,0,0,0.6645647883415222,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,8,0.234375,0.03125,1919.3126220703125,0.0,0.0,1919.3126220703125,nan,0.0011571267386898398,0.0011571267386898398,0.001157031743787229,0.001157031743787229,0.0372835174202919,0.0372835174202919,0.03732078894972801,0.03732078894972801,0.0,0.0,0.0,221.1721012756999,0.0,0.0,0,0,0,0,0.6682729721069336,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,9,0.265625,0.03125,1923.5440673828125,0.0,0.0,1923.5440673828125,nan,0.0011903255945071578,0.0011903255945071578,0.001190314069390297,0.001190314069390297,0.03732078894972801,0.03732078894972801,0.03737230598926544,0.03737230598926544,0.0,0.0,0.0,221.32471938466824,0.0,0.0,0,0,0,0,0.6784254908561707,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,10,0.296875,0.03125,1923.9434814453125,0.0,0.0,1923.9434814453125,nan,0.0012310765450820327,0.0012310765450820327,0.001230295398272574,0.001230295398272574,0.03737230598926544,0.03737230598926544,0.03737688809633255,0.03737688809633255,0.0,0.0,0.0,221.33827647173732,0.0,0.0,0,0,0,0,0.6679234504699707,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,11,0.328125,0.03125,1923.0771484375,0.0,0.0,1923.0771484375,nan,0.001279971795156598,0.001279971795156598,0.001279363757930696,0.001279363757930696,0.03737688809633255,0.03737688809633255,0.03740255534648895,0.03740255534648895,0.0,0.0,0.0,221.41426779127931,0.0,0.0,0,0,0,0,0.6994260549545288,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,12,0.359375,0.03125,1921.2884521484375,0.0,0.0,1921.2884521484375,nan,0.001339928712695837,0.001339928712695837,0.0013390672393143177,0.0013390672393143177,0.03740255534648895,0.03740255534648895,0.03737087920308113,0.03737087920308113,0.0,0.0,0.0,221.32048738918527,0.0,0.0,0,0,0,0,0.7179203629493713,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,13,0.390625,0.03125,1918.9085693359375,0.0,0.0,1918.9085693359375,nan,0.001412990503013134,0.001412990503013134,0.0014129875926300883,0.0014129875926300883,0.03737087920308113,0.03737087920308113,0.037372294813394547,0.037372294813394547,0.0,0.0,0.0,221.3246788436565,0.0,0.0,0,0,0,0,0.7415390610694885,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,14,0.421875,0.03125,1917.2879638671875,0.0,0.0,1917.2879638671875,nan,0.0015037348493933678,0.0015037348493933678,0.0015015070093795657,0.0015015070093795657,0.037372294813394547,0.037372294813394547,0.03721935674548149,0.03721935674548149,0.0,0.0,0.0,220.87135909734909,0.0,0.0,0,0,0,0,0.7650400996208191,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,15,0.453125,0.03125,1916.087158203125,0.0,0.0,1916.087158203125,nan,0.0016142426757141948,0.0016142426757141948,0.0016145259141921997,0.0016145259141921997,0.03721935674548149,0.03721935674548149,0.03716229647397995,0.03716229647397995,0.0,0.0,0.0,220.70197700905635,0.0,0.0,0,0,0,0,0.8009676337242126,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,16,0.484375,0.03125,1916.0902099609375,0.0,0.0,1916.0902099609375,nan,0.0017547004390507936,0.0017547004390507936,0.0017575938254594803,0.0017575938254594803,0.03716229647397995,0.03716229647397995,0.03673550486564636,0.03673550486564636,0.0,0.0,0.0,219.4309930045836,0.0,0.0,0,0,0,0,0.8699581027030945,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,17,0.515625,0.03125,1915.5499267578125,0.0,0.0,1915.5499267578125,nan,0.001934293657541275,0.001934293657541275,0.0019400047603994608,0.0019400047603994608,0.03673550486564636,0.03673550486564636,0.03623713180422783,0.03623713180422783,0.0,0.0,0.0,217.93744436585396,0.0,0.0,0,0,0,0,0.9301547408103943,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,18,0.546875,0.03125,1914.6082763671875,0.0,0.0,1914.6082763671875,nan,0.002162524964660406,0.002162524964660406,0.002168351085856557,0.002168351085856557,0.03623713180422783,0.03623713180422783,0.03543230518698692,0.03543230518698692,0.0,0.0,0.0,215.5036598780943,0.0,0.0,0,0,0,0,1.0085124969482422,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,19,0.578125,0.03125,1914.9996337890625,0.0,0.0,1914.9996337890625,nan,0.0024488666094839573,0.0024488666094839573,0.002464338904246688,0.002464338904246688,0.03543230518698692,0.03543230518698692,0.03403763100504875,0.03403763100504875,0.0,0.0,0.0,211.21980837594765,0.0,0.0,0,0,0,0,1.118491768836975,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,20,0.609375,0.03125,1914.9599609375,0.0,0.0,1914.9599609375,nan,0.0028150281868875027,0.0028150281868875027,0.002831463236361742,0.002831463236361742,0.03403763100504875,0.03403763100504875,0.03180930018424988,0.03180930018424988,0.0,0.0,0.0,204.18885375248374,0.0,0.0,0,0,0,0,1.223154902458191,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,21,0.640625,0.03125,1914.6224365234375,0.0,0.0,1914.6224365234375,nan,0.0032727259676903486,0.0032727259676903486,0.003286499297246337,0.003286499297246337,0.03180930018424988,0.03180930018424988,0.028678646311163902,0.028678646311163902,0.0,0.0,0.0,193.88056827169154,0.0,0.0,0,0,0,0,1.362396240234375,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,22,0.671875,0.03125,1914.731201171875,0.0,0.0,1914.731201171875,nan,0.0038159422110766172,0.0038159422110766172,0.0037662319373339415,0.0037662319373339415,0.028678646311163902,0.028678646311163902,0.024208322167396545,0.024208322167396545,0.0,0.0,0.0,178.13010335153007,0.0,0.0,0,0,0,0,1.5258270502090454,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,23,0.703125,0.03125,1915.2432861328125,0.0,0.0,1915.2432861328125,nan,0.004353292286396027,0.004353292286396027,0.004108981695026159,0.004108981695026159,0.024208322167396545,0.024208322167396545,0.01852056197822094,0.01852056197822094,0.0,0.0,0.0,155.80523128415064,0.0,0.0,0,0,0,0,1.7555652856826782,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,24,0.734375,0.03125,1913.725341796875,0.0,0.0,1913.725341796875,nan,0.004655448254197836,0.004655448254197836,0.004051672760397196,0.004051672760397196,0.01852056197822094,0.01852056197822094,0.012246270664036274,0.012246270664036274,0.0,0.0,0.0,126.69424422695973,0.0,0.0,0,0,0,0,1.9853304624557495,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,25,0.765625,0.03125,1912.6312255859375,0.0,0.0,1912.6312255859375,nan,0.004429614637047052,0.004429614637047052,0.0033852518536150455,0.0033852518536150455,0.012246270664036274,0.012246270664036274,0.00697994465008378,0.00697994465008378,0.0,0.0,0.0,95.64910991368936,0.0,0.0,0,0,0,0,2.303032398223877,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,26,0.796875,0.03125,1914.1993408203125,0.0,0.0,1914.1993408203125,nan,0.0035322566982358694,0.0035322566982358694,0.002436039736494422,0.002436039736494422,0.00697994465008378,0.00697994465008378,0.003927082754671574,0.003927082754671574,0.0,0.0,0.0,71.74472641504595,0.0,0.0,0,0,0,0,2.6379220485687256,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,27,0.828125,0.03125,1916.5841064453125,0.0,0.0,1916.5841064453125,nan,0.002470141975209117,0.002470141975209117,0.0018482141895219684,0.0018482141895219684,0.003927082754671574,0.003927082754671574,0.002740598050877452,0.002740598050877452,0.0,0.0,0.0,59.93460442514732,0.0,0.0,0,0,0,0,3.045464038848877,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,28,0.859375,0.03125,1918.863525390625,0.0,0.0,1918.863525390625,nan,0.001853026682510972,0.001853026682510972,0.0015894485404714942,0.0015894485404714942,0.002740598050877452,0.002740598050877452,0.002339665312319994,0.002339665312319994,0.0,0.0,0.0,55.377306150937535,0.0,0.0,0,0,0,0,3.5708072185516357,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,29,0.890625,0.03125,1923.323974609375,0.0,0.0,1923.323974609375,nan,0.0016242091078311205,0.0016242091078311205,0.0016693618381395936,0.0016693618381395936,0.002339665312319994,0.002339665312319994,0.0021650870330631733,0.0021650870330631733,0.0,0.0,0.0,53.27121940176092,0.0,0.0,0,0,0,0,4.213335037231445,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,30,0.921875,0.03125,1935.244384765625,0.0,0.0,1935.244384765625,nan,0.0017215441912412643,0.0017215441912412643,0.001751718926243484,0.001751718926243484,0.0021650870330631733,0.0021650870330631733,0.002068540081381798,0.002068540081381798,0.0,0.0,0.0,52.06992362627681,0.0,0.0,0,0,0,0,4.939635276794434,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
BASE,31,0.953125,0.03125,1967.671142578125,0.0,0.0,1967.671142578125,nan,0.0017750291153788567,0.0017750291153788567,0.0017790001584216952,0.0017790001584216952,0.002068540081381798,0.002068540081381798,0.001999844564124942,0.001999844564124942,0.0,0.0,0.0,51.19800972131378,0.0,0.0,0,0,0,0,5.749802112579346,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,correct
