sample_id,step,t,w_t,tau,probability_loss,probability_base_loss,probability_bce,probability_dice_loss,probability_dice_score,probability_soft_calibration_mae,loss_positive_scale,loss_negative_scale,roi_hard_core_probability_mean,roi_background_probability_mean,roi_soft_halo_probability_mean,roi_soft_halo_target_mean,probability_spatial_gradient_loss,roi_spatial_gradient_error_mean,roi_predicted_gradient_mean,roi_target_gradient_mean,roi_target_probability_mean,roi_soft_margin_mean,roi_entropy_mean,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_roi,hard_change_outside_roi,target_hard_voxels_before,target_hard_voxels_after,selected_target_recovered_after,alpha,spatial_gradient_weight,probability_loss_mode,guidance_scaling_mode,case_id,arm,source_seed
0,0,0.015625,0.0,0.49975909124103446,1.0696595907211304,1.0696595907211304,0.06965960562229156,1.0,9.103071629823489e-10,0.06659143418073654,1.0,1.0,0.0,0.06659143418073654,0.0,0.0,0.0,0.0,0.0,0.0,0.06659143418073654,-0.08365257829427719,2.5782554149627686,0.0,0.0,1769.9180908203125,0.0,1769.9180908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28860855102539,1.5360212326049805,1051.7330322265625,0,0,875,0.003337860107421875,875,0,12756,12727,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,1,0.046875,0.0,0.4978353019929562,1.069628357887268,1.069628357887268,0.06962835043668747,1.0,9.095595387975663e-10,0.06655695289373398,1.0,1.0,0.0,0.06655695289373398,0.0,0.0,0.0,0.0,0.0,0.0,0.06655695289373398,-0.08410323411226273,2.5772736072540283,0.0,0.0,1768.6693115234375,0.0,1768.6693115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.247581481933594,1.605904221534729,0.0,0,0,965,0.003681182861328125,965,0,12727,12710,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,2,0.078125,0.0,0.4940062506389088,1.0695995092391968,1.0695995092391968,0.06959956139326096,1.0,9.072454454361889e-10,0.06651882082223892,1.0,1.0,0.0,0.06651882082223892,0.0,0.0,0.0,0.0,0.0,0.0,0.06651882082223892,-0.08497049659490585,2.575294256210327,0.0,0.0,1768.2093505859375,0.0,1768.2093505859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.23293685913086,1.61503005027771,0.0,0,0,1083,0.004131317138671875,1083,0,12710,12665,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,3,0.109375,0.0,0.4883088130366042,1.0695799589157104,1.0695799589157104,0.06957990676164627,1.0,9.031592140829048e-10,0.06648283451795578,1.0,1.0,0.0,0.06648283451795578,0.0,0.0,0.0,0.0,0.0,0.0,0.06648283451795578,-0.08626434952020645,2.5722672939300537,0.0,0.0,1766.422607421875,0.0,1766.422607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.17658615112305,1.6316901445388794,0.0,0,0,1117,0.004261016845703125,1117,0,12665,12635,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,4,0.140625,0.0,0.48079785862468866,1.0695806741714478,1.0695806741714478,0.06958065181970596,1.0,8.96954954754392e-10,0.06645874679088593,1.0,1.0,0.0,0.06645874679088593,0.0,0.0,0.0,0.0,0.0,0.0,0.06645874679088593,-0.08799615502357483,2.5681188106536865,0.0,0.0,1766.161376953125,0.0,1766.161376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.16827392578125,1.6365355253219604,0.0,0,0,1366,0.00521087646484375,1366,0,12635,12619,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,5,0.171875,0.0,0.4715457220000544,1.0696041584014893,1.0696041584014893,0.06960418820381165,1.0,8.88484175121107e-10,0.06644794344902039,1.0,1.0,0.0,0.06644794344902039,0.0,0.0,0.0,0.0,0.0,0.0,0.06644794344902039,-0.09019748121500015,2.562743902206421,0.0,0.0,1766.1903076171875,0.0,1766.1903076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.16934585571289,1.6308025121688843,0.0,0,0,1550,0.00591278076171875,1550,0,12619,12599,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,6,0.203125,0.0,0.460641506296129,1.0696604251861572,1.0696604251861572,0.06966044008731842,1.0,8.774110327181006e-10,0.06645841151475906,1.0,1.0,0.0,0.06645841151475906,0.0,0.0,0.0,0.0,0.0,0.0,0.06645841151475906,-0.09290292859077454,2.556004047393799,0.0,0.0,1765.7623291015625,0.0,1765.7623291015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.15616989135742,1.6240105628967285,0.0,0,0,1669,0.006366729736328125,1669,0,12599,12641,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,7,0.234375,0.0,0.4481902250709918,1.0697401762008667,1.0697401762008667,0.06974012404680252,1.0,8.638378901082433e-10,0.06648018211126328,1.0,1.0,0.0,0.06648018211126328,0.0,0.0,0.0,0.0,0.0,0.0,0.06648018211126328,-0.09617861360311508,2.5477218627929688,0.0,0.0,1767.371337890625,0.0,1767.371337890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.20742416381836,1.591455340385437,0.0,0,0,1946,0.00742340087890625,1946,0,12641,12674,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,8,0.265625,0.06540312923014306,0.43431179096940364,1.0698384046554565,1.0698384046554565,0.06983840465545654,1.0,8.477305524223766e-10,0.06650691479444504,1.0,1.0,0.0,0.06650691479444504,0.0,0.0,0.0,0.0,0.0,0.0,0.06650691479444504,-0.10010233521461487,2.5376694202423096,0.0,0.0,1770.983154296875,0.0,1770.983154296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3210563659668,1.5662981271743774,0.0,0,0,2221,0.008472442626953125,2221,0,12674,12713,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
0,9,0.296875,0.19509032201612825,0.4191398608984867,1.0699554681777954,1.0699554681777954,0.06995546817779541,1.0,8.289408603978643e-10,0.06653634458780289,1.0,1.0,0.0,0.06653634458780289,0.0,0.0,0.0,0.0,0.0,0.0,0.06653634458780289,-0.10476764291524887,2.5255608558654785,0.0,0.0,1771.2781982421875,0.0,1771.2781982421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3307991027832,1.547906756401062,0.0,0,0,2556,0.0097503662109375,2556,0,12713,12707,0,0.0,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,FIVE_BODY,FLOW_ONLY,42
