seed,unique_decoded_samples,baseline_pairwise_disagreement,guided_pairwise_disagreement,baseline_inside_roi_disagreement,guided_inside_roi_disagreement,baseline_outside_roi_disagreement,guided_outside_roi_disagreement
42,4,0.2302710215250651,0.21701685587565103,0.32715506354967755,0.2955777595440547,0.15988751004139581,0.15994458893934885
142,4,0.22034136454264322,0.20665486653645834,0.30903879304726917,0.2766773005326589,0.1559051995476087,0.15578555564085642
242,4,0.21889940897623697,0.2050018310546875,0.31427423655986786,0.2813536872466405,0.14961230754852295,0.14953437199195227
