branch_id,probe_kind,generation,proposal_index,child_state_id,parent_state_id,ranking_id,rank_index,canonical_center_score,center_x,center_y,center_z,shape,material_label,orientation_deg,full_size_x,full_size_y,full_size_z,scale_index,scale,probe_size_x,probe_size_y,probe_size_z,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,hard_loss_improving_vs_parent,condition_violations,continuation_authorized,next_scale,termination,truth_used
branch_3137062190f4321a421a,new_center,1,0,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,4.999789234716445e-05,9.0,9.0,9.0,ellipsoid,9,33.94360557912685,9.069960482085477,12.518838106885632,9.034864313429892,0,0.25,2.2674901205213693,3.129709526721408,2.258716078357473,0.011134622618556023,0.00025174580514431,0.00025174580514431,False,0,False,,terminated_non_improving_hard_step,False
branch_a9a602a356ecaff4a274,new_center,1,1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,4.999789234716445e-05,9.0,9.0,10.0,ellipsoid,9,140.05301420081562,10.216738703467461,6.449849555799257,8.001534966156104,0,0.25,2.5541846758668654,1.6124623889498142,2.000383741539026,0.010959343053400517,7.646623998880386e-05,7.646623998880386e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_3cf9100d86439a50a686,new_center,1,2,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,4.999789234716445e-05,9.0,9.0,11.0,ellipsoid,9,88.66852277516863,7.484638497607557,9.991618598313472,11.821175332686096,0,0.25,1.8711596244018893,2.497904649578368,2.955293833171524,0.010888085700571537,5.208887159824371e-06,5.208887159824371e-06,False,0,False,,terminated_non_improving_hard_step,False
branch_ebeb76f44c003957a426,new_center,1,3,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,4.999789234716445e-05,9.0,10.0,9.0,dike_hemisphere,9,108.3784039812152,6.9602026354836335,13.792192464052157,7.862544991815387,0,0.25,1.7400506588709084,3.448048116013039,1.9656362479538467,0.010959472507238388,7.659569382667542e-05,7.659569382667542e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_c8977aee49ede6955e8c,new_center,1,4,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,4.999789234716445e-05,9.0,10.0,10.0,dike_hemisphere,9,11.694771665313839,11.416029720230092,12.882908191169253,13.24044422109909,0,0.25,2.854007430057523,3.2207270477923133,3.3101110552747723,0.01111131627112627,0.00022843945771455765,0.00022843945771455765,False,0,False,,terminated_non_improving_hard_step,False
branch_b4ad69a99544aaa4fe39,new_center,1,5,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,4.999789234716445e-05,9.0,10.0,11.0,ellipsoid,9,73.89352658062758,9.3260241652468,9.271963487293934,13.664643496505605,0,0.25,2.3315060413117,2.3179908718234836,3.416160874126401,0.010889310389757156,6.433576345443726e-06,6.433576345443726e-06,False,0,False,,terminated_non_improving_hard_step,False
branch_4ccae90f76d476c57f16,new_center,1,6,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,4.999789234716445e-05,10.0,9.0,9.0,dike_hemisphere,9,88.67712622573787,7.852049182093416,11.145289176007863,9.157355840537475,0,0.25,1.963012295523354,2.7863222940019656,2.2893389601343688,0.010960395447909832,7.751863449811935e-05,7.751863449811935e-05,False,0,False,,terminated_non_improving_hard_step,False
branch_211e1960862b8f3ec0f7,new_center,1,7,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,4.999789234716445e-05,10.0,9.0,10.0,dike_hemisphere,9,144.50235789362677,12.3065001525419,7.065688742619231,13.200821676546568,0,0.25,3.076625038135475,1.7664221856548077,3.300205419136642,0.011011913418769836,0.00012903660535812378,0.00012903660535812378,False,0,False,,terminated_non_improving_hard_step,False
branch_e7fea3095735552d32cc,new_center,1,8,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,4.999789234716445e-05,10.0,9.0,11.0,ellipsoid,9,142.09711655694812,8.55601594564268,9.118549501281159,7.592165011248599,0,0.25,2.13900398641067,2.2796373753202896,1.8980412528121497,0.010887778364121914,4.9015507102012634e-06,4.9015507102012634e-06,False,0,False,,terminated_non_improving_hard_step,False
branch_7ca81e5622b897252b26,new_center,1,9,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,4.999789234716445e-05,25.0,9.0,29.0,dike_hemisphere,9,107.71547182800337,7.0104090357618,9.086002987599725,9.12801987946564,0,0.25,1.75260225894045,2.2715007468999313,2.28200496986641,0.010983342304825783,0.00010046549141407013,0.00010046549141407013,False,0,False,,terminated_non_improving_hard_step,False
branch_4d53811623f133d028ac,new_center,1,10,g001_p000010_empty,empty,g001_b7e43f1d75130653_0000,10,4.999789234716445e-05,25.0,9.0,30.0,ellipsoid,9,110.77220670438774,13.360088129200104,7.883318812364299,11.068272044007422,0,0.25,3.340022032300026,1.9708297030910749,2.7670680110018555,0.011039809323847294,0.0001569325104355812,0.0001569325104355812,False,0,False,,terminated_non_improving_hard_step,False
branch_e63708511c2400f29f61,new_center,1,11,g001_p000011_empty,empty,g001_b7e43f1d75130653_0000,11,4.999789234716445e-05,25.0,9.0,31.0,dike_hemisphere,9,52.21242285525821,8.697609417360173,14.354844958554544,11.199660706009823,0,0.25,2.1744023543400433,3.588711239638636,2.7999151765024557,0.010902164503932,1.928769052028656e-05,1.928769052028656e-05,False,0,False,,terminated_non_improving_hard_step,False
