branch_id,ranking_id,rank_index,center_x,center_y,center_z,shape,full_size_x,full_size_y,full_size_z,v2_full_state_id,v2_full_delta_rmse_vs_parent,v2_full_delta_rmse_vs_empty,v2_full_failed_vs_parent,v3_smallest_scale,v3_smallest_delta_rmse_vs_parent,v3_smallest_improved_vs_parent,v3_best_evaluated_scale,v3_best_evaluated_delta_rmse_vs_parent,v3_full_scale_evaluated,v3_full_scale_delta_rmse_vs_parent,oracle_or_truth_used,post_selection_diagnostic_only
branch_446c7d01189700f945db,g001_b7e43f1d75130653_0000,19,41.0,9.0,18.0,dike_hemisphere,7.847048685441748,8.150579837722574,7.872388357661165,g001_p000019_empty,0.0004703095182776451,0.0004703095182776451,True,0.25,3.600958734750748e-05,False,0.25,3.600958734750748e-05,False,,False,True
branch_495009b1734e102e2472,g001_b7e43f1d75130653_0000,20,41.0,9.0,19.0,ellipsoid,6.866976562835077,13.01965842222327,12.093670773758578,g001_p000020_empty,0.0005577262490987778,0.0005577262490987778,True,0.25,6.433576345443726e-06,False,0.25,6.433576345443726e-06,False,,False,True
branch_8a8326a64745c3573549,g001_b7e43f1d75130653_0000,21,41.0,10.0,17.0,dike_hemisphere,8.55312931220255,12.042131805719643,7.192622343400261,g001_p000021_empty,0.0011171605437994003,0.0011171605437994003,True,0.25,7.659383118152618e-05,False,0.25,7.659383118152618e-05,False,,False,True
branch_45a2484ef79b8b7c9633,g001_b7e43f1d75130653_0000,22,41.0,10.0,18.0,dike_hemisphere,15.727521082664902,12.70611739433694,12.543649458583864,g001_p000022_empty,0.002311691641807556,0.002311691641807556,True,0.25,0.00018122605979442596,False,0.25,0.00018122605979442596,False,,False,True
branch_fcb06e3dbb8b35ae3f9a,g001_b7e43f1d75130653_0000,23,41.0,10.0,19.0,dike_hemisphere,15.4949785794143,8.79054516317618,6.340410897677041,g001_p000023_empty,0.0015660570934414864,0.0015660570934414864,True,0.25,7.351860404014587e-06,False,0.25,7.351860404014587e-06,False,,False,True
branch_aa74998f734cb03a07e8,g001_b7e43f1d75130653_0000,24,42.0,9.0,17.0,dike_hemisphere,14.162383720643012,10.921039813943082,12.808272739595862,g001_p000024_empty,0.0014693178236484528,0.0014693178236484528,True,0.25,0.0002300189808011055,False,0.25,0.0002300189808011055,False,,False,True
branch_ab115623124eb6553e92,g001_b7e43f1d75130653_0000,25,42.0,9.0,18.0,dike_hemisphere,10.724165173676123,9.933379992288534,12.130224306106765,g001_p000025_empty,0.0007549608126282692,0.0007549608126282692,True,0.25,7.683504372835159e-05,False,0.25,7.683504372835159e-05,False,,False,True
branch_3afb416d635fcdf3206b,g001_b7e43f1d75130653_0000,26,42.0,9.0,19.0,ellipsoid,7.0155988133818585,13.788492252932086,9.51071556944707,g001_p000026_empty,0.0006362982094287872,0.0006362982094287872,True,0.25,8.882954716682434e-06,False,0.25,8.882954716682434e-06,False,,False,True
branch_49deb0d01a540ef39255,g001_b7e43f1d75130653_0000,27,9.0,9.0,12.0,ellipsoid,13.277395392999473,15.03541459903683,11.10483900104514,g001_p000027_empty,0.0023268694058060646,0.0023268694058060646,True,0.25,6.127171218395233e-06,False,0.25,6.127171218395233e-06,False,,False,True
branch_896f4fed38706be5654c,g001_b7e43f1d75130653_0000,28,9.0,10.0,12.0,ellipsoid,11.966143278502052,14.013052934755072,6.5409084727214015,g001_p000028_empty,0.002150001935660839,0.002150001935660839,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_4a55b75818bda98d9b9a,g001_b7e43f1d75130653_0000,29,25.0,9.0,32.0,ellipsoid,12.646421280574245,11.724070690046856,9.557750592532807,g001_p000029_empty,0.0015146872028708458,0.0015146872028708458,True,0.25,1.2265518307685852e-06,False,0.25,1.2265518307685852e-06,False,,False,True
branch_6641c5bf39221639b5b9,g001_b7e43f1d75130653_0000,30,25.0,10.0,32.0,dike_hemisphere,10.931472645888741,10.382683606138892,6.273296075862198,g001_p000030_empty,0.0010926853865385056,0.0010926853865385056,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_2cfe499994ee7c4dfe28,g001_b7e43f1d75130653_0000,31,41.0,9.0,20.0,dike_hemisphere,6.609889496762972,9.372426072185188,11.012213270905512,g001_p000031_empty,0.00029807817190885544,0.00029807817190885544,True,0.25,3.676861524581909e-06,False,0.25,3.676861524581909e-06,False,,False,True
branch_0b24b6e19239f669b6ea,g001_b7e43f1d75130653_0000,32,41.0,10.0,20.0,ellipsoid,11.3959386872924,15.965647437697456,12.79548731684428,g001_p000032_empty,0.0020301518961787224,0.0020301518961787224,True,0.25,7.351860404014587e-06,False,0.25,7.351860404014587e-06,False,,False,True
branch_bb30f8068cf3ec5a0d19,g001_b7e43f1d75130653_0000,33,10.0,9.0,12.0,dike_hemisphere,10.208988122002012,7.844562040767961,8.691293616186567,g001_p000033_empty,0.0004461640492081642,0.0004461640492081642,True,0.25,4.9015507102012634e-06,False,0.25,4.9015507102012634e-06,False,,False,True
branch_bbbd0945cf0ea6651eca,g001_b7e43f1d75130653_0000,34,26.0,9.0,32.0,ellipsoid,10.620766067961842,9.114811716998187,11.282499142412842,g001_p000034_empty,0.0005877213552594185,0.0005877213552594185,True,0.25,1.2265518307685852e-06,False,0.25,1.2265518307685852e-06,False,,False,True
branch_2d9a6a1678845136fc84,g001_b7e43f1d75130653_0000,35,42.0,9.0,20.0,dike_hemisphere,15.114700163832424,11.621816942283544,13.22246284030209,g001_p000035_empty,0.0018741004168987274,0.0018741004168987274,True,0.25,9.801238775253296e-06,False,0.25,9.801238775253296e-06,False,,False,True
branch_c3a07e56402c488f64ba,g001_b7e43f1d75130653_0000,36,9.0,9.0,13.0,dike_hemisphere,11.987560962201881,7.290780726396496,12.324730663072561,g001_p000036_empty,0.0006483243778347969,0.0006483243778347969,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_3eaaf70990c5e69edd96,g001_b7e43f1d75130653_0000,37,25.0,9.0,33.0,ellipsoid,6.280125722527684,14.99211715241777,9.138252779330927,g001_p000037_empty,0.0008018920198082924,0.0008018920198082924,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_99c9f80a70adce49d01c,g001_b7e43f1d75130653_0000,38,41.0,9.0,21.0,dike_hemisphere,9.677201001023281,10.507576242178114,8.23446700254383,g001_p000038_empty,0.0007643252611160278,0.0007643252611160278,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_7d76dd3fb29939c3259f,g001_b7e43f1d75130653_0000,39,9.0,10.0,13.0,dike_hemisphere,13.010901586496999,15.814244091845861,7.927856431053774,g001_p000039_empty,0.0025569843128323555,0.0025569843128323555,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_674627c336153fabb58f,g001_b7e43f1d75130653_0000,40,25.0,10.0,33.0,dike_hemisphere,13.527499137333304,15.725571999552823,10.760084367370052,g001_p000040_empty,0.0025436803698539734,0.0025436803698539734,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_1a7ad702c78e3f2d7fe4,g001_b7e43f1d75130653_0000,41,41.0,10.0,21.0,ellipsoid,7.854317783486196,14.439095852435525,9.705885407693115,g001_p000041_empty,0.0010292837396264076,0.0010292837396264076,True,0.25,0.0,False,0.25,0.0,False,,False,True
branch_9cecc6050319e94f2d16,g001_b7e43f1d75130653_0000,42,10.0,9.0,13.0,dike_hemisphere,6.74582568363211,8.817985642329628,12.199774017905336,g001_p000042_empty,9.603798389434814e-05,9.603798389434814e-05,True,0.25,0.0,False,0.25,0.0,False,,False,True
