generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,predicted_first_order_mse_decrease,hard_rmse,delta_rmse_vs_parent,delta_rmse_vs_empty,condition_violations,truth_used
1,g001_p000030_empty,empty,g001_b7e43f1d75130653_0000,30,42.0,9.0,17.0,4.838505992665887e-05,0.018638329580426216,0.0010060574859380722,0.0010060574859380722,0,False
1,g001_p000031_empty,empty,g001_b7e43f1d75130653_0000,31,42.0,9.0,18.0,4.838505992665887e-05,0.017897894605994225,0.00026562251150608063,0.00026562251150608063,0,False
1,g001_p000032_empty,empty,g001_b7e43f1d75130653_0000,32,42.0,9.0,19.0,4.838505992665887e-05,0.018933696672320366,0.001301424577832222,0.001301424577832222,0,False
1,g001_p000033_empty,empty,g001_b7e43f1d75130653_0000,33,41.0,10.0,20.0,4.838499444304034e-05,0.017939841374754906,0.0003075692802667618,0.0003075692802667618,0,False
1,g001_p000034_empty,empty,g001_b7e43f1d75130653_0000,34,42.0,9.0,20.0,4.838498352910392e-05,0.018028700724244118,0.0003964286297559738,0.0003964286297559738,0,False
1,g001_p000035_empty,empty,g001_b7e43f1d75130653_0000,35,41.0,9.0,17.0,4.825956420972943e-05,0.018846701830625534,0.0012144297361373901,0.0012144297361373901,0,False
1,g001_p000036_empty,empty,g001_b7e43f1d75130653_0000,36,25.0,9.0,33.0,4.81230417790357e-05,0.018053971230983734,0.0004216991364955902,0.0004216991364955902,0,False
1,g001_p000037_empty,empty,g001_b7e43f1d75130653_0000,37,9.0,9.0,13.0,4.812303086509928e-05,0.018151482567191124,0.00051921047270298,0.00051921047270298,0,False
1,g001_p000038_empty,empty,g001_b7e43f1d75130653_0000,38,9.0,10.0,13.0,4.812303086509928e-05,0.018127301707863808,0.0004950296133756638,0.0004950296133756638,0,False
1,g001_p000039_empty,empty,g001_b7e43f1d75130653_0000,39,25.0,10.0,33.0,4.812303086509928e-05,0.01932964287698269,0.001697370782494545,0.001697370782494545,0,False
1,g001_p000040_empty,empty,g001_b7e43f1d75130653_0000,40,26.0,9.0,33.0,4.8123027227120474e-05,0.01931961439549923,0.0016873423010110855,0.0016873423010110855,0,False
1,g001_p000041_empty,empty,g001_b7e43f1d75130653_0000,41,10.0,9.0,13.0,4.812301631318405e-05,0.01829962059855461,0.0006673485040664673,0.0006673485040664673,0,False
1,g001_p000042_empty,empty,g001_b7e43f1d75130653_0000,42,42.0,8.0,19.0,4.767347490997054e-05,0.017765667289495468,0.00013339519500732422,0.00013339519500732422,0,False
1,g001_p000043_empty,empty,g001_b7e43f1d75130653_0000,43,43.0,9.0,19.0,4.767347490997054e-05,0.019284583628177643,0.001652311533689499,0.001652311533689499,0,False
1,g001_p000044_empty,empty,g001_b7e43f1d75130653_0000,44,40.0,9.0,19.0,4.767347127199173e-05,0.01940569095313549,0.0017734188586473465,0.0017734188586473465,0,False
1,g001_p000045_empty,empty,g001_b7e43f1d75130653_0000,45,40.0,10.0,19.0,4.767347127199173e-05,0.018579715862870216,0.0009474437683820724,0.0009474437683820724,0,False
1,g001_p000046_empty,empty,g001_b7e43f1d75130653_0000,46,41.0,9.0,21.0,4.747726779896766e-05,0.017880145460367203,0.00024787336587905884,0.00024787336587905884,0,False
1,g001_p000047_empty,empty,g001_b7e43f1d75130653_0000,47,41.0,10.0,21.0,4.731661465484649e-05,0.018485799431800842,0.0008535273373126984,0.0008535273373126984,0,False
1,g001_p000048_empty,empty,g001_b7e43f1d75130653_0000,48,42.0,9.0,21.0,4.731661101686768e-05,0.019224943593144417,0.0015926714986562729,0.0015926714986562729,0,False
1,g001_p000049_empty,empty,g001_b7e43f1d75130653_0000,49,41.0,8.0,20.0,4.718678610515781e-05,0.01830279268324375,0.0006705205887556076,0.0006705205887556076,0,False
1,g001_p000050_empty,empty,g001_b7e43f1d75130653_0000,50,8.0,9.0,10.0,4.6772227506153286e-05,0.01824573427438736,0.0006134621798992157,0.0006134621798992157,0,False
