level_id,sample_id,pair_gate_pass,improved_truth_present_classes,major_component_min_recall,major_component_mean_recall,target_volume_fraction,final_churn_fraction,global_voxel_accuracy,global_mean_iou,target_iou,target_precision,target_recall,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_absolute_volume_error,target_absolute_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,selected_target_volume,predicted_target_volume_inside_roi,selected_volume_error,selected_volume_error_fraction,selected_absolute_volume_error,selected_absolute_volume_error_fraction,selected_roi_iou,selected_roi_precision,selected_roi_recall,selected_centroid_distance,selected_roi_connected_components,selected_roi_largest_component_fraction,inside_roi_voxel_accuracy,outside_roi_voxel_accuracy,outside_roi_target_iou,outside_roi_target_precision,outside_roi_target_recall,condition_violation_count,paired_hard_change_count,paired_hard_change_fraction,paired_hard_change_inside_roi,paired_hard_change_outside_roi,paired_target_to_other_count,paired_other_to_target_count,truth_present_mean_iou,target_tiny_component_mass_le_5,target_tiny_component_mass_fraction_le_5,target_top4_component_mass_fraction,target_top8_component_mass_fraction,target_components_ge_5,target_components_ge_10,target_components_ge_20,target_components_ge_100,target_component_1_voxels,target_component_2_voxels,target_component_3_voxels,target_component_4_voxels,target_component_5_voxels,target_component_6_voxels,target_component_7_voxels,target_component_8_voxels,hard_property_loss,hard_property_mae,property_confidence_fraction,paired_hard_change_inside_property_confidence,paired_hard_change_outside_property_confidence,path,delta_global_voxel_accuracy,delta_global_mean_iou,delta_truth_present_mean_iou,delta_hard_property_loss,delta_hard_property_mae,delta_target_iou,delta_target_precision,delta_target_recall,delta_target_absolute_volume_error_fraction,delta_target_centroid_distance,delta_target_connected_components,delta_largest_component_fraction,delta_target_components_ge_20,delta_target_components_ge_100,delta_target_tiny_component_mass_fraction_le_5,delta_target_top4_component_mass_fraction,delta_inside_roi_voxel_accuracy,delta_outside_roi_voxel_accuracy,gate_primary_directions,gate_majority_classes,gate_target_thresholds,gate_major_component_recovery,gate_size_stratified_topology,gate_endpoint_churn
paired_c100,0,True,6,0.2982456140350877,0.4382615006840076,0.5230820695807314,0.0106048583984375,0.6296018958091736,0.18741922080516815,0.4259317256498591,0.8697505862289491,0.45495093666369313,8968,4691,-4277,-0.4769179304192685,4277,0.4769179304192685,4.184282302856445,224,0.22511191643572798,8968,4638,-4330,-0.4828278322925959,4330,0.4828278322925959,0.42830149065714884,0.8796895213454075,0.45495093666369313,3.9887001514434814,200,0.2276843467011643,0.6249399349030346,0.6354947397373307,0.0,0.0,nan,0,13324,0.0508270263671875,10205,3119,5317,3725,0.32798364758491516,323,0.06885525474312514,0.6587081645704541,0.8341505009592838,42,22,14,7,1056,989,534,511,303,289,152,79,0.5692590475082397,0.014128400012850761,0.7363777160644531,13324,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/phase2b_codebook_ambiguity_v1/paired_c100/seed42_n4_s32_a025_c025_followup/alpha025/sample_0.pt,0.042236328125,-0.005489453673362732,0.0627342164516449,-0.8469542264938354,-0.005607079714536667,0.39733524625416206,0.8022669000917535,0.40767172167707405,0.17752007136485282,-19.818279266357422,187.0,-0.4992235920793126,7.0,3.0,0.06344382708118021,-0.31105150437750073,0.06390019674152514,0.014852506360448325,True,True,True,True,True,True
paired_c100,1,True,6,0.38118022328548645,0.4529413295261033,0.49910793933987513,0.0110321044921875,0.6482397317886353,0.19441218674182892,0.43632478632478633,0.9124218051831993,0.4553969669937556,8968,4476,-4492,-0.5008920606601249,4492,0.5008920606601249,3.3370466232299805,169,0.33847184986595175,8968,4438,-4530,-0.5051293487957181,4530,0.5051293487957181,0.43810341128513197,0.9202343397926994,0.4553969669937556,3.192808151245117,156,0.34136998648039657,0.6347135461526605,0.6653372756652686,0.0,0.0,nan,0,10896,0.04156494140625,8461,2435,2777,3886,0.3402213454246521,242,0.054066130473637175,0.7852993744414656,0.9023681858802503,31,16,9,7,1515,1121,551,328,238,148,112,26,0.5547816157341003,0.01413770206272602,0.7363777160644531,10896,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/phase2b_codebook_ambiguity_v1/paired_c100/seed42_n4_s32_a025_c025_followup/alpha025/sample_1.pt,0.03608107566833496,0.010505050420761108,0.06436064839363098,-0.6321141123771667,-0.004254443570971489,0.41182312519521824,0.8248067175681116,0.42250223015165034,-0.12366190900981266,-21.078667640686035,130.0,-0.3918518804577786,3.0,3.0,0.044265120672627375,-0.14787555873346758,0.054135651921629724,0.013259529212221288,True,True,True,True,True,True
paired_c100,2,False,6,0.23125996810207336,0.44730719489085485,0.5244201605709188,0.010684967041015625,0.6388803124427795,0.19313231110572815,0.44315422780534147,0.8926217308101212,0.4681088314005352,8968,4703,-4265,-0.47557983942908116,4265,0.47557983942908116,4.496592998504639,241,0.28322347437805656,8968,4582,-4386,-0.4890722569134701,4386,0.4890722569134701,0.4488879384088965,0.9161938018332606,0.4681088314005352,4.053438663482666,181,0.29070274989087735,0.6343690218228963,0.6445827316693026,0.0,0.0,nan,0,13408,0.0511474609375,9434,3974,4580,4045,0.33798158168792725,383,0.08143738039549224,0.823304273867744,0.8839038911333191,28,14,10,6,1332,1195,1015,330,107,105,39,34,0.5368624329566956,0.013817635364830494,0.7363777160644531,13408,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/phase2b_codebook_ambiguity_v1/paired_c100/seed42_n4_s32_a025_c025_followup/alpha025/sample_2.pt,0.04377007484436035,0.026617437601089478,0.0673949122428894,-0.8538371920585632,-0.005115210078656673,0.4249489525759837,0.8441299400502892,0.43978590544157004,0.0596565566458519,-18.828169345855713,198.0,-0.5470552579625314,1.0,2.0,0.07170083973111652,-0.11369458065688376,0.0646345775497067,0.0173966856907104,True,True,True,False,True,True
paired_c100,3,True,6,0.3253588516746411,0.4904057471432099,0.5866413916146298,0.010807037353515625,0.6260636448860168,0.1912340223789215,0.4595343112114063,0.8515491351454096,0.49955396966993754,8968,5261,-3707,-0.4133586083853702,3707,0.4133586083853702,3.7159719467163086,227,0.3242729519102832,8968,5201,-3767,-0.42004906333630687,3767,0.42004906333630687,0.4623800185777686,0.8613728129205922,0.49955396966993754,3.857471227645874,200,0.3280138434916362,0.5965892091353346,0.6633202686286644,0.0,0.0,nan,0,15953,0.060855865478515625,12623,3330,6648,3946,0.33465954661369324,319,0.060634860292720014,0.8545903820566432,0.9032503326363809,31,14,10,5,1706,1359,1286,145,125,55,51,25,0.5457558631896973,0.014453239738941193,0.7363777160644531,15953,0,project/geodata-3d-conditional/experiments/stage2_property/runs/cond_generation_0/phase2b_codebook_ambiguity_v1/paired_c100/seed42_n4_s32_a025_c025_followup/alpha025/sample_3.pt,0.05090737342834473,0.026890084147453308,0.06760063767433167,-0.9304888248443604,-0.0065473876893520355,0.4201212103457915,0.7709262543215996,0.4279661016949152,0.3012934879571811,-6.60905647277832,161.0,-0.44428161295220575,-1.0,3.0,0.05247210756133737,-0.10183307643889872,0.07798942854293411,0.016674688853744124,True,True,True,True,True,True
