step,temperature,objective,soft_rmse,hard_rmse,soft_attainment,hard_attainment,soft_hard_attainment_gap,probability_sum,probability_entropy,selected_indices,selected_count,selected_body_count,body_true_positive,body_precision,body_recall
0,1.0,,0.19927643239498138,0.35152488946914673,0.509318685657131,0.13443505227416652,0.3748836333829645,1.430435061454773,0.3653338849544525,"0,1",2,2,0,0.0,0.0
1,1.0,0.7492026686668396,0.18382208049297333,0.30865633487701416,0.5473721655014716,0.23999092989824022,0.3073812356032314,1.5358490943908691,0.38167428970336914,"3,6",2,2,1,0.5,0.5
2,1.0,0.5776137113571167,0.17705444991588593,0.33073729276657104,0.5640362026213768,0.18562065987191778,0.378415542749459,1.577047348022461,0.3873569369316101,"5,8",2,2,0,0.0,0.0
3,1.0,0.6632136702537537,0.17465709149837494,0.2219764143228531,0.5699392538006736,0.45342418356242187,0.1165150702382517,1.5763357877731323,0.38648325204849243,"9,10",2,2,0,0.0,0.0
4,1.0,0.2987450957298279,0.17032933235168457,0.22526755928993225,0.5805955593192726,0.4453203485091204,0.13527521081015226,1.5954326391220093,0.38892197608947754,"6,10",2,2,1,0.5,0.5
5,1.0,0.307669460773468,0.1711624562740326,0.22526755928993225,0.5785441459317732,0.4453203485091204,0.13322379742265278,1.581670880317688,0.3868524730205536,"6,10",2,2,1,0.5,0.5
6,1.0,0.307669460773468,0.1749555766582489,0.22526755928993225,0.5692042893655992,0.4453203485091204,0.1238839408564788,1.5510644912719727,0.38244637846946716,"6,10",2,2,1,0.5,0.5
7,1.0,0.3076694905757904,0.1805763840675354,0.1734844595193863,0.5553640919367823,0.5728266429102404,-0.01746255097345817,1.512290596961975,0.3767218589782715,"5,6",2,2,1,0.5,0.5
8,1.0,0.18247707188129425,0.18906821310520172,0.18554569780826569,0.5344545353811021,0.5431280770283529,-0.00867354164725076,1.4543352127075195,0.36753976345062256,"6,8",2,2,1,0.5,0.5
9,1.0,0.20873191952705383,0.19735723733901978,0.18554569780826569,0.5140443481011125,0.5431280770283529,-0.029083728927240315,1.3967504501342773,0.3581393361091614,"6,8",2,2,1,0.5,0.5
10,1.0,0.20873191952705383,0.20535360276699066,0.18554569780826569,0.4943547789382844,0.5431280770283529,-0.04877329809006847,1.3406400680541992,0.3487445116043091,"6,8",2,2,1,0.5,0.5
11,1.0,0.20873191952705383,0.2129976898431778,0.18554569780826569,0.47553262998461165,0.5431280770283529,-0.06759544704374121,1.2868551015853882,0.33950597047805786,"6,8",2,2,1,0.5,0.5
12,1.0,0.20873191952705383,0.22023990750312805,0.18554569780826569,0.45770001005343,0.5431280770283529,-0.08542806697492289,1.2360342741012573,0.3305339217185974,"6,8",2,2,1,0.5,0.5
13,1.0,0.20873190462589264,0.22704073786735535,0.08934623003005981,0.44095422460536615,0.7800014529774664,-0.3390472283721002,1.1886374950408936,0.3219139277935028,"0,6",2,2,1,0.5,0.5
14,1.0,0.04839935526251793,0.23251959681510925,0.08934623003005981,0.4274635489781826,0.7800014529774664,-0.35253790399928375,1.1510162353515625,0.3148491382598877,"0,6",2,2,1,0.5,0.5
15,1.0,0.04839935526251793,0.23692850768566132,0.08934623003005981,0.41660742236660675,0.7800014529774664,-0.3633940306108596,1.1209537982940674,0.30906403064727783,"0,6",2,2,1,0.5,0.5
16,1.0,0.04839935526251793,0.24045775830745697,0.08934623003005981,0.4079172962290831,0.7800014529774664,-0.37208415674838324,1.096886157989502,0.30434638261795044,"0,6",2,2,1,0.5,0.5
17,1.0,0.04839935526251793,0.24325239658355713,0.08934623003005981,0.40103601696314506,0.7800014529774664,-0.3789654360143213,1.0776982307434082,0.30053281784057617,"0,6",2,2,1,0.5,0.5
18,1.0,0.04839935526251793,0.24542094767093658,0.08934623003005981,0.39569636146556997,0.7800014529774664,-0.3843050915118964,1.06259286403656,0.2974977195262909,"0,6",2,2,1,0.5,0.5
