run_name,guidance_mode,mu,alpha,n_samples,geo_misfit_mean,geo_misfit_std,geo_misfit_min,voxel_accuracy_mean,voxel_accuracy_std,mean_iou_mean,mean_iou_std,borehole_consistency_mean,borehole_consistency_std,best10_geo_misfit_mean,best10_voxel_accuracy_mean,best10_mean_iou_mean,worst10_geo_misfit_mean,worst10_voxel_accuracy_mean,worst10_mean_iou_mean
mu_0,absolute,0.0,,16,0.2006128365173936,0.01863982269895997,0.16963209211826324,0.60605463758111,0.017650675864609475,0.1665066024288535,0.009846240858241295,,,0.16977426409721375,0.6213940382003784,0.17942723631858826,0.23301929235458374,0.596856564283371,0.16247689723968506
mu_001,absolute,0.01,,16,0.20061035826802254,0.018636029125098978,0.16963835060596466,0.6060559079051018,0.017650118938655052,0.16650654468685389,0.009845988552506091,,,0.16977739334106445,0.6213940382003784,0.1794269159436226,0.23300909996032715,0.5968590974807739,0.1624763458967209
mu_01,absolute,0.1,,16,0.20060953125357628,0.018636102743878592,0.16963046789169312,0.60605463758111,0.017649595111488964,0.16650576051324606,0.009845723485503746,,,0.16977345198392868,0.6213915050029755,0.1794256716966629,0.2330048680305481,0.5968590974807739,0.16247627139091492
mu_1,absolute,1.0,,16,0.20061182044446468,0.018638103259225998,0.16963139176368713,0.6060536876320839,0.017649022206154233,0.16650547552853823,0.009845528107370475,,,0.1697739139199257,0.6213889718055725,0.17942451685667038,0.2330106794834137,0.596856564283371,0.16247572004795074
mu_10000,absolute,10000.0,,16,0.14604782965034246,0.010636025466584178,0.12783034145832062,0.6060935519635677,0.01761670678658362,0.16650610510259867,0.009836720792594818,,,0.12803183495998383,0.6221938133239746,0.1790759488940239,0.16188742965459824,0.6032648980617523,0.16644718497991562
mu_500,absolute,500.0,,16,0.20018431078642607,0.018371923033979422,0.16951116919517517,0.6060593910515308,0.017646398610484126,0.1665068119764328,0.009843714960757114,,,0.16965415328741074,0.6213687360286713,0.17941517382860184,0.23284701257944107,0.596889466047287,0.1624903604388237
rel_alpha_0,relative,0.01,0.0,16,0.21268601063638926,0.023654080259026804,0.16860541701316833,0.5512936227023602,0.020784538358811278,0.1459687054157257,0.0071577854544541885,0.9999638237059116,3.153366303272661e-05,0.17263837158679962,0.5692642629146576,0.1538953259587288,0.2515455111861229,0.5216192901134491,0.13975347578525543
rel_alpha_0_01,relative,0.01,0.01,16,0.2094213105738163,0.023467478244093034,0.16630586981773376,0.5513337999582291,0.02076852909337922,0.14597922563552856,0.007151877134888225,0.9999565817415714,3.3545866399703254e-05,0.16952194273471832,0.569274365901947,0.15388788282871246,0.2482083961367607,0.5216749906539917,0.13976449519395828
rel_alpha_0_03,relative,0.01,0.03,16,0.19361231289803982,0.020644006889979884,0.15505515038967133,0.5513319112360477,0.02075791170195106,0.14598028175532818,0.007149769305413484,0.9998742938041687,4.3931388015838715e-05,0.15936966985464096,0.5693174004554749,0.15392018854618073,0.22764885425567627,0.5216952264308929,0.1397649571299553
rel_alpha_0_05,relative,0.01,0.05,16,0.17848969623446465,0.02030383942118626,0.14874017238616943,0.5513426624238491,0.020757561976189602,0.14598028175532818,0.007153574984741565,0.9997603371739388,4.0922896371986516e-05,0.1497342810034752,0.560001015663147,0.14761324226856232,0.2159624919295311,0.5217331945896149,0.1397639513015747
rel_alpha_0_10,relative,0.01,0.1,16,0.1665667211636901,0.018902700101928557,0.13912861049175262,0.5513913817703724,0.020739075001412383,0.14598980825394392,0.007152730598791768,0.9996056854724884,6.737863183135596e-05,0.14024948328733444,0.559998482465744,0.1476052701473236,0.20438267290592194,0.521826833486557,0.13976338505744934
