member_id,variant,global_voxel_accuracy,target_iou,target_precision,target_recall,target_predicted_voxels,target_truth_voxels
0,prior,0.5873655676841736,0.02859647939569704,0.0674836861371956,0.04727921498661909,6283,8968
0,inverted,0.5093973875045776,0.01872692104800422,0.08132875143184422,0.023751115075825155,2619,8968
1,prior,0.6121586561203003,0.024501661129568107,0.08761508761508761,0.03289473684210526,3367,8968
1,inverted,0.5317556858062744,0.011992263056092843,0.08288770053475936,0.013826940231935772,1496,8968
2,prior,0.5951102375984192,0.018205275229357797,0.048491790759831996,0.028322925958965208,5238,8968
2,inverted,0.5151426196098328,0.009136065282951925,0.042756330427563306,0.01148528099910794,2409,8968
3,prior,0.5751562714576721,0.03941310086561483,0.08062288082381013,0.0715878679750223,7963,8968
3,inverted,0.4933461546897888,0.027336448598130843,0.08311626805588444,0.03913916146297948,4223,8968
4,prior,0.6026979684829712,0.018963765662038605,0.07301173402868318,0.024977698483496878,3068,8968
4,inverted,0.5183872580528259,0.011667178385016887,0.12431842966194111,0.012711864406779662,917,8968
5,prior,0.6133177876472473,0.04772978315214232,0.09067815330240778,0.09154772524531668,9054,8968
5,inverted,0.5327832698822021,0.028721915891696155,0.09881087202718007,0.03891614629794826,3532,8968
6,prior,0.5887119770050049,0.03848825095497164,0.07409470752089137,0.07415254237288135,8975,8968
6,inverted,0.5046948790550232,0.025706362886906992,0.07270029673590504,0.038247100802854594,4718,8968
7,prior,0.5958239436149597,0.017224199288256227,0.045454545454545456,0.026984834968777877,5324,8968
7,inverted,0.5155020356178284,0.009211126310989512,0.048141086749285036,0.011262265834076718,2098,8968
8,prior,0.5975601673126221,0.06715602061533656,0.18305661983822905,0.09589652096342552,4698,8968
8,inverted,0.5124598145484924,0.03794920939147101,0.21256038647342995,0.04415700267618198,1863,8968
9,prior,0.612254798412323,0.015047291487532245,0.06168487839266831,0.019513826940231935,2837,8968
9,inverted,0.5307990312576294,0.008005603922745921,0.07239819004524888,0.008920606601248885,1105,8968
10,prior,0.5925995111465454,0.03122217605508399,0.06258179654967282,0.05865298840321142,8405,8968
10,inverted,0.5145351886749268,0.018841436382444215,0.05289359054138146,0.02843443354148082,4821,8968
11,prior,0.5937739014625549,0.030789648307896482,0.07066707279926897,0.05173951828724353,6566,8968
11,inverted,0.5169901847839355,0.02212465564738292,0.08846815834767642,0.028657448706512042,2905,8968
-1,prior_mean,0.4259978234767914,0.003989803834644797,0.3956043956043956,0.004014272970561998,91,8968
-1,posterior_mean,0.41973626613616943,0.0034521158129175947,0.7209302325581395,0.003456735057983943,43,8968
