member_id,candidate_id,prior_condition_violation_count,inverted_condition_violation_count,prior_seismic_rmse,inverted_seismic_rmse,seismic_rmse_improved,prior_unconstrained_log_impedance_rmse,inverted_unconstrained_log_impedance_rmse,log_impedance_rmse_improved,prior_target_log_impedance_mae,inverted_target_log_impedance_mae,target_log_impedance_mae_improved
0,seed42_sample0,0,0,0.04226184011611874,0.028947979539429382,True,0.3154590049834469,0.2934387773810719,True,0.678950131103547,0.6744046206067246,True
1,seed42_sample1,0,0,0.041055709412759066,0.029478695358312344,True,0.29762788679223984,0.28045818783831306,True,0.6835537967948329,0.6757673175984671,True
2,seed42_sample2,0,0,0.04336223003173632,0.02968795996034601,True,0.3047180159323483,0.2818477192362432,True,0.6696688009916404,0.6627961693787381,True
3,seed42_sample3,0,0,0.04425578938392441,0.02934661238012595,True,0.32373828922757053,0.29964051666245867,True,0.6242823228905997,0.6189628644828915,True
4,seed142_sample0,0,0,0.04166689431335697,0.029628850784689235,True,0.2985456281320145,0.2797668081920744,True,0.657455880363782,0.6526714359485827,True
5,seed142_sample1,0,0,0.0455090021916843,0.030076587293353607,True,0.31447399802115733,0.28555279118228316,True,0.6334507117042777,0.6286634024331486,True
6,seed142_sample2,0,0,0.04317663219264602,0.02945715052718693,True,0.3109860647261721,0.2871549329728024,True,0.6401522283945734,0.6369167003249562,True
7,seed142_sample3,0,0,0.04204949620968088,0.029131887433458376,True,0.3038088072814492,0.2833166199179772,True,0.6675207345410306,0.6598459640304043,True
8,seed242_sample0,0,0,0.04282425406587573,0.029296395867321277,True,0.2969193331056042,0.27536729880971744,True,0.5970910708805321,0.5957173166521939,True
9,seed242_sample1,0,0,0.04107734599281458,0.028848013111876056,True,0.30081834847691236,0.2805603414074867,True,0.6754571565763083,0.6642375673032437,True
10,seed242_sample2,0,0,0.041570826161401814,0.029258703268058916,True,0.31724726790241514,0.29664963525046506,True,0.6470770933298275,0.6425610183792307,True
11,seed242_sample3,0,0,0.04294582383632814,0.02867645839344565,True,0.3028012150507441,0.279248831459794,True,0.6082735856552275,0.60422070264045,True
