sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall,variant
11,2,2192,27,0.012317518248175183,prior
11,3,2043,323,0.15810083210964268,prior
11,4,627,14,0.022328548644338118,prior
11,5,22,0,0.0,prior
11,6,4,0,0.0,prior
11,7,1,0,0.0,prior
11,1,4079,48,0.01176759009561167,inverted
11,2,2192,11,0.005018248175182482,inverted
11,3,2043,193,0.09446891825746451,inverted
11,4,627,5,0.007974481658692184,inverted
11,5,22,0,0.0,inverted
11,6,4,0,0.0,inverted
11,7,1,0,0.0,inverted
