sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,variant
0,0,False,0,291,291,nan,0.0,0.0,nan,prior
0,1,True,45273,36154,-9119,0.20142248139067434,0.41760097493036213,0.6634673895004702,0.5298301415854925,prior
0,2,True,24520,22811,-1709,0.06969820554649266,0.7116045275376993,0.8626539827276314,0.8025285481239804,prior
0,3,True,14533,5425,-9108,0.6267116218261887,0.15250909510885258,0.4868202764976958,0.18172435147595128,prior
0,4,True,73801,93148,19347,0.26215091936423623,0.5393530897892194,0.6279791299866878,0.7926044362542513,prior
0,5,True,18902,32984,14082,0.7450005290445455,0.25817793835932007,0.32279286926994905,0.563273727647868,prior
0,6,True,11543,280,-11263,0.9757428744693754,0.014153371075656201,0.5892857142857143,0.014294377544832365,prior
0,7,False,0,0,0,nan,nan,nan,nan,prior
0,8,False,0,0,0,nan,nan,nan,nan,prior
0,9,True,8968,6283,-2685,0.2993978590544157,0.02859647939569704,0.0674836861371956,0.04727921498661909,prior
0,10,False,0,161,161,nan,0.0,0.0,nan,prior
0,11,False,0,18,18,nan,0.0,0.0,nan,prior
0,12,False,0,0,0,nan,nan,nan,nan,prior
0,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
0,0,False,0,195,195,nan,0.0,0.0,nan,inverted
0,1,True,45273,28260,-17013,0.3757868928500431,0.38290109642111597,0.7204529370134466,0.44971616636847567,inverted
0,2,True,24520,21042,-3478,0.14184339314845024,0.6784674894087309,0.875249500998004,0.7511011419249592,inverted
0,3,True,14533,6927,-7606,0.5233606275373288,0.11065107131766898,0.3086473220730475,0.14711346590518132,inverted
0,4,True,73801,73324,-477,0.006463327055188954,0.5370993355342889,0.7011210517702253,0.6965894771073563,inverted
0,5,True,18902,21436,2534,0.13405988784255635,0.24258386470751317,0.367372644150028,0.4166225796212041,inverted
0,6,True,11543,2170,-9373,0.8120072771376592,0.01645541472092506,0.10230414746543778,0.019232435242138093,inverted
0,7,False,0,1690,1690,nan,0.0,0.0,nan,inverted
0,8,False,0,6261,6261,nan,0.0,0.0,nan,inverted
0,9,True,8968,2619,-6349,0.7079616413916147,0.01872692104800422,0.08132875143184422,0.023751115075825155,inverted
0,10,False,0,2893,2893,nan,0.0,0.0,nan,inverted
0,11,False,0,14054,14054,nan,0.0,0.0,nan,inverted
0,12,False,0,16604,16604,nan,0.0,0.0,nan,inverted
0,13,True,15,80,65,4.333333333333333,0.0,0.0,0.0,inverted
1,0,False,0,75,75,nan,0.0,0.0,nan,prior
1,1,True,45273,34462,-10811,0.23879575022640426,0.4230515250486338,0.68783007370437,0.5235791752258521,prior
1,2,True,24520,22982,-1538,0.06272430668841762,0.6775082106155313,0.8347837437994953,0.7824225122349103,prior
1,3,True,14533,10498,-4035,0.2776439826601528,0.2148611920015531,0.42169937130882074,0.30461707837335716,prior
1,4,True,73801,98549,24748,0.33533420956355603,0.5739438549067597,0.6377335132776588,0.8515873768648121,prior
1,5,True,18902,27495,8593,0.4546079779917469,0.29066985645933013,0.3800327332242226,0.5527986456459634,prior
1,6,True,11543,28,-11515,0.9975742874469375,0.002338877338877339,0.9642857142857143,0.00233907996188166,prior
1,7,False,0,0,0,nan,nan,nan,nan,prior
1,8,False,0,1,1,nan,0.0,0.0,nan,prior
1,9,True,8968,3367,-5601,0.6245539696699376,0.024501661129568107,0.08761508761508761,0.03289473684210526,prior
1,10,False,0,89,89,nan,0.0,0.0,nan,prior
1,11,False,0,9,9,nan,0.0,0.0,nan,prior
1,12,False,0,0,0,nan,nan,nan,nan,prior
1,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
1,0,False,0,31,31,nan,0.0,0.0,nan,inverted
1,1,True,45273,26886,-18387,0.4061361076138096,0.39104368276978835,0.7544818864836718,0.44805954984206925,inverted
1,2,True,24520,21531,-2989,0.1219004893964111,0.6437979653756916,0.8376759091542427,0.7355628058727569,inverted
1,3,True,14533,11312,-3221,0.22163352370467213,0.17868381447530443,0.34635785007072134,0.26959333929677287,inverted
1,4,True,73801,78289,4488,0.06081218411674639,0.5699937030958059,0.7052970404526817,0.7481876939336866,inverted
1,5,True,18902,15927,-2975,0.15739075230134378,0.2678460922427287,0.46198279650907265,0.3892709766162311,inverted
1,6,True,11543,1604,-9939,0.8610413237459933,0.00866963326684057,0.07044887780548628,0.00978948280343065,inverted
1,7,False,0,1594,1594,nan,0.0,0.0,nan,inverted
1,8,False,0,6248,6248,nan,0.0,0.0,nan,inverted
1,9,True,8968,1496,-7472,0.8331846565566459,0.011992263056092843,0.08288770053475936,0.013826940231935772,inverted
1,10,False,0,1478,1478,nan,0.0,0.0,nan,inverted
1,11,False,0,15741,15741,nan,0.0,0.0,nan,inverted
1,12,False,0,15379,15379,nan,0.0,0.0,nan,inverted
1,13,True,15,39,24,1.6,0.0,0.0,0.0,inverted
2,0,False,0,97,97,nan,0.0,0.0,nan,prior
2,1,True,45273,35865,-9408,0.20780597707242726,0.45042097924599134,0.7025512337933919,0.5565568882115168,prior
2,2,True,24520,21062,-3458,0.14102773246329528,0.7191023948708278,0.9052796505555027,0.7776101141924959,prior
2,3,True,14533,6056,-8477,0.5832931947980459,0.17476891475522083,0.505779392338177,0.2107617147182275,prior
2,4,True,73801,93815,20014,0.27118873727998266,0.5432406802132341,0.6289292757021798,0.799487811818268,prior
2,5,True,18902,35068,16166,0.8552534123373188,0.25374590563802357,0.3114805520702635,0.5778753571050682,prior
2,6,True,11543,79,-11464,0.9931560252967166,0.005189413596263622,0.759493670886076,0.005197955470848133,prior
2,7,False,0,2,2,nan,0.0,0.0,nan,prior
2,8,False,0,2,2,nan,0.0,0.0,nan,prior
2,9,True,8968,5238,-3730,0.41592328278322926,0.018205275229357797,0.048491790759831996,0.028322925958965208,prior
2,10,False,0,200,200,nan,0.0,0.0,nan,prior
2,11,False,0,71,71,nan,0.0,0.0,nan,prior
2,12,False,0,0,0,nan,nan,nan,nan,prior
2,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
2,0,False,0,41,41,nan,0.0,0.0,nan,inverted
