sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou
0,project/geodata-3d-conditional/guided-results/mu_1/sample_0.pt,0.21193473041057587,13,0.6056287884712219,0.15966476500034332
1,project/geodata-3d-conditional/guided-results/mu_1/sample_1.pt,0.21079860627651215,12,0.6173470616340637,0.1665848046541214
2,project/geodata-3d-conditional/guided-results/mu_1/sample_2.pt,0.1737981140613556,3,0.6153526902198792,0.16671434044837952
3,project/geodata-3d-conditional/guided-results/mu_1/sample_3.pt,0.23652595281600952,16,0.5766798853874207,0.15548790991306305
4,project/geodata-3d-conditional/guided-results/mu_1/sample_4.pt,0.19569259881973267,6,0.6207183003425598,0.1672823578119278
5,project/geodata-3d-conditional/guided-results/mu_1/sample_5.pt,0.20301751792430878,9,0.5749943256378174,0.1588512361049652
6,project/geodata-3d-conditional/guided-results/mu_1/sample_6.pt,0.1905408650636673,4,0.5864543914794922,0.15822336077690125
7,project/geodata-3d-conditional/guided-results/mu_1/sample_7.pt,0.1921910047531128,5,0.6026878356933594,0.15741117298603058
8,project/geodata-3d-conditional/guided-results/mu_1/sample_8.pt,0.22949540615081787,15,0.6170332431793213,0.16946353018283844
9,project/geodata-3d-conditional/guided-results/mu_1/sample_9.pt,0.20418202877044678,10,0.6323403716087341,0.1746262013912201
10,project/geodata-3d-conditional/guided-results/mu_1/sample_10.pt,0.16963139176368713,1,0.6137936115264893,0.16741034388542175
11,project/geodata-3d-conditional/guided-results/mu_1/sample_11.pt,0.19804827868938446,7,0.6049555540084839,0.1690741777420044
12,project/geodata-3d-conditional/guided-results/mu_1/sample_12.pt,0.2052963525056839,11,0.5872541666030884,0.1543075293302536
13,project/geodata-3d-conditional/guided-results/mu_1/sample_13.pt,0.2189616560935974,14,0.5892941355705261,0.16342930495738983
14,project/geodata-3d-conditional/guided-results/mu_1/sample_14.pt,0.16991643607616425,2,0.6289843320846558,0.191438689827919
15,project/geodata-3d-conditional/guided-results/mu_1/sample_15.pt,0.19975818693637848,8,0.6233403086662292,0.1841178834438324
