sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall
0,1,4079,269,0.06594753616082373
0,2,2192,150,0.06843065693430657
0,3,2043,144,0.07048458149779736
0,4,627,55,0.08771929824561403
0,5,22,3,0.13636363636363635
0,6,4,0,0.0
0,7,1,0,0.0
