sample_id,class_id,truth_present,baseline_iou,guided_iou,delta_iou,baseline_precision,guided_precision,delta_precision,baseline_recall,guided_recall,delta_recall,baseline_predicted_volume,guided_predicted_volume,delta_predicted_volume,baseline_absolute_volume_error_fraction,guided_absolute_volume_error_fraction,delta_absolute_volume_error_fraction
0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,12423.0,13809.0,1386.0,nan,nan,nan
0,1,True,0.060908341989326265,0.06235046245045174,0.0014421204611254762,0.2435199770872118,0.24548330404217927,0.0019633269549674814,0.07512203741744528,0.07713206546948512,0.0020100280520398417,13966.0,14225.0,259.0,0.6915159145627636,0.6857950654915733,-0.005720849071190304
0,2,True,0.1726176083393783,0.1778025746400675,0.005184966300689181,0.33593014744327093,0.34831520580081043,0.012385058357539502,0.2620309951060359,0.26643556280587277,0.004404567699836881,19126.0,18756.0,-370.0,0.2199836867862969,0.23507340946166394,0.01508972267536704
0,3,True,0.03903741386152903,0.03807503349709692,-0.0009623803644321083,0.07584466563858125,0.07658332085641563,0.0007386552178343803,0.07445124888185509,0.07039152274134727,-0.004059726140507813,14266.0,13358.0,-908.0,0.01837198100873873,0.08085047822197756,0.06247849721323884
0,4,True,0.06260347426425165,0.058405250245949614,-0.004198224018302041,0.41519174041297935,0.419124218051832,0.003932477638852627,0.06865760626549776,0.06354927440007588,-0.005108331865421881,12204.0,11190.0,-1014.0,0.834636387040826,0.8483760382650641,0.013739651224238147
0,5,True,0.04337022066132132,0.045003839348312355,0.0016336186869910369,0.10397966478671856,0.10871844503589,0.0047387802491714315,0.06925193101259126,0.07131520474023913,0.002063273727647863,12589.0,12399.0,-190.0,0.33398582160617923,0.3440376679716432,0.010051846365463968
0,6,True,0.03124157151847523,0.031863951667039606,0.0006223801485643748,0.06097560975609756,0.061837762723640784,0.0008621529675432241,0.06020965087065754,0.06168240492073118,0.0014727540500736394,11398.0,11514.0,116.0,0.012561725721216322,0.0025123451442432645,-0.010049380576973058
0,7,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,12144.0,12379.0,235.0,nan,nan,nan
0,8,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,14096.0,13301.0,-795.0,nan,nan,nan
0,9,True,0.02975563009103977,0.03496616830760504,0.005210538216565266,0.04958875668769464,0.052063223938223935,0.002474467250529293,0.06924620874219448,0.09623104371097235,0.026984834968777877,12523.0,16576.0,4053.0,0.3964094558429973,0.848349687778769,0.45194023193577165
0,10,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,13444.0,14522.0,1078.0,nan,nan,nan
0,11,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,15672.0,14424.0,-1248.0,nan,nan,nan
0,12,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,9264.0,8214.0,-1050.0,nan,nan,nan
0,13,True,0.00010432968179447053,0.00010536297545042672,1.0332936559561887e-06,0.00010448229025180232,0.00010551862403714256,1.0363337853402368e-06,0.06666666666666667,0.06666666666666667,0.0,9571.0,9477.0,-94.0,637.0666666666667,630.8,-6.266666666666765
