sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall
0,0,False,0,13809,13809,nan,0.0,0.0,nan
0,1,True,45273,14225,-31048,0.6857950654915733,0.06235046245045174,0.24548330404217927,0.07713206546948512
0,2,True,24520,18756,-5764,0.23507340946166394,0.1778025746400675,0.34831520580081043,0.26643556280587277
0,3,True,14533,13358,-1175,0.08085047822197756,0.03807503349709692,0.07658332085641563,0.07039152274134727
0,4,True,73801,11190,-62611,0.8483760382650641,0.058405250245949614,0.419124218051832,0.06354927440007588
0,5,True,18902,12399,-6503,0.3440376679716432,0.045003839348312355,0.10871844503589,0.07131520474023913
0,6,True,11543,11514,-29,0.0025123451442432645,0.031863951667039606,0.061837762723640784,0.06168240492073118
0,7,False,0,12379,12379,nan,0.0,0.0,nan
0,8,False,0,13301,13301,nan,0.0,0.0,nan
0,9,True,8968,16576,7608,0.848349687778769,0.03496616830760504,0.052063223938223935,0.09623104371097235
0,10,False,0,14522,14522,nan,0.0,0.0,nan
0,11,False,0,14424,14424,nan,0.0,0.0,nan
0,12,False,0,8214,8214,nan,0.0,0.0,nan
0,13,True,15,9477,9462,630.8,0.00010536297545042672,0.00010551862403714256,0.06666666666666667
