sample_id,source_seed,baseline_target_iou,guided_target_iou,delta_target_iou,baseline_target_precision,guided_target_precision,delta_target_precision,baseline_target_recall,guided_target_recall,delta_target_recall,baseline_target_centroid_distance,guided_target_centroid_distance,delta_target_centroid_distance,baseline_target_connected_components,guided_target_connected_components,delta_target_connected_components,baseline_largest_component_fraction,guided_largest_component_fraction,delta_largest_component_fraction,baseline_predicted_target_volume,guided_predicted_target_volume,delta_predicted_target_volume,baseline_global_voxel_accuracy,guided_global_voxel_accuracy,delta_global_voxel_accuracy,baseline_global_mean_iou,guided_global_mean_iou,delta_global_mean_iou,paired_hard_change_count,baseline_condition_violations,guided_condition_violations
0,42,0.02859647939569704,0.053253574555004374,0.024657095159307335,0.0674836861371956,0.13345521023765997,0.06597152410046436,0.04727921498661909,0.08140053523639608,0.03412132024977699,24.002561569213867,15.600130081176758,-8.40243148803711,37,839,802.0,0.7243355085150406,0.24826325411334552,-0.4760722544016951,6283,5470,-813.0,0.5873655676841736,0.5872997641563416,-6.580352783203125e-05,0.19290867447853088,0.152772456407547,-0.04013621807098389,9420,0,0
1,142,0.018963765662038605,0.053886859953789966,0.03492309429175136,0.07301173402868318,0.13979118329466358,0.06677944926598041,0.024977698483496878,0.0806199821587868,0.05564228367528992,22.13328742980957,12.452923774719238,-9.680363655090332,45,890,845.0,0.7297913950456323,0.1883217324052591,-0.5414696626403732,3068,5172,2104.0,0.6026979684829712,0.5987244248390198,-0.003973543643951416,0.17453131079673767,0.17575503885746002,0.001223728060722351,7475,0,0
2,242,0.06715602061533656,0.06756856113521065,0.00041254051987409113,0.18305661983822905,0.16552593659942363,-0.01753068323880541,0.09589652096342552,0.10247546833184656,0.006578947368421045,9.063100814819336,12.552560806274414,3.489459991455078,50,822,772.0,0.3918688803746275,0.21920028818443804,-0.17266859219018948,4698,5552,854.0,0.5975601673126221,0.5921794176101685,-0.005380749702453613,0.17301097512245178,0.17036202549934387,-0.00264894962310791,7656,0,0
3,342,0.06186990747134374,0.0686148116315714,0.006744904160227667,0.13978159126365056,0.1609543010752688,0.021172709811618257,0.09991079393398751,0.1068242640499554,0.006913470115967893,17.45408058166504,13.604090690612793,-3.849989891052246,89,860,771.0,0.4681747269890796,0.18850806451612903,-0.2796666624729506,6410,5952,-458.0,0.5988104343414307,0.595186173915863,-0.003624260425567627,0.17262697219848633,0.15890423953533173,-0.013722732663154602,9799,0,0
4,442,0.03756613756613757,0.0572905292276334,0.01972439166149583,0.08452380952380953,0.14164866810655147,0.05712485858274194,0.06333630686886708,0.0877564674397859,0.024420160570918822,12.513631820678711,11.334318161010742,-1.1793136596679688,57,809,752.0,0.8933035714285714,0.1880849532037437,-0.7052186182248277,6720,5556,-1164.0,0.6201564073562622,0.6197261810302734,-0.00043022632598876953,0.18673819303512573,0.1865236461162567,-0.00021454691886901855,10139,0,0
5,542,0.030725214578927726,0.0534120250829952,0.022686810504067477,0.06496580746975276,0.13632084353229146,0.0713550360625387,0.05508474576271186,0.08073148974130241,0.02564674397859055,13.655550956726074,13.76476001739502,0.10920906066894531,56,884,828.0,0.6354550236717517,0.16079834306157031,-0.47465668061018135,7604,5311,-2293.0,0.5864898562431335,0.5862266421318054,-0.000263214111328125,0.17288048565387726,0.16003617644309998,-0.012844309210777283,11598,0,0
6,642,0.03685636856368564,0.05572267583440768,0.01886630727072204,0.08585858585858586,0.1347886347886348,0.04893004893004893,0.060660124888492414,0.0867528991971454,0.02609277430865299,16.720596313476562,12.91766357421875,-3.8029327392578125,71,834,763.0,0.4897411616161616,0.17013167013167013,-0.31960949148449147,6336,5772,-564.0,0.6113335490226746,0.6081192493438721,-0.0032142996788024902,0.17684242129325867,0.16346171498298645,-0.013380706310272217,10058,0,0
7,742,0.0312403499742666,0.05142774940660289,0.020187399432336293,0.05483783539615141,0.12654867256637167,0.07171083717022025,0.06768510258697591,0.07972792149866191,0.012042818911686001,21.167274475097656,14.337150573730469,-6.8301239013671875,32,857,825.0,0.9285391634293975,0.1561061946902655,-0.772432968739132,11069,5650,-5419.0,0.6021512746810913,0.6057755947113037,0.0036243200302124023,0.19359569251537323,0.16573616862297058,-0.02785952389240265,13949,0,0
