sample_id,step,t,w_t,tau,probability_loss,probability_base_loss,probability_bce,probability_dice_loss,probability_dice_score,probability_soft_calibration_mae,loss_positive_scale,loss_negative_scale,roi_hard_core_probability_mean,roi_background_probability_mean,roi_soft_halo_probability_mean,roi_soft_halo_target_mean,probability_spatial_gradient_loss,roi_spatial_gradient_error_mean,roi_predicted_gradient_mean,roi_target_gradient_mean,roi_target_probability_mean,roi_soft_margin_mean,roi_entropy_mean,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_roi,hard_change_outside_roi,target_hard_voxels_before,target_hard_voxels_after,selected_target_recovered_after,alpha,spatial_gradient_weight,probability_loss_mode,guidance_scaling_mode,case_id,arm,source_seed
0,0,0.015625,0.0,0.49975909124103446,1.0136265754699707,1.0136265754699707,0.10620030015707016,0.9074262976646423,0.09257370978593826,0.07801872491836548,1.0,1.0,0.06628194451332092,0.06659556925296783,0.0,0.0,0.0,0.0,0.0,0.0,0.06659143418073654,-0.08365257829427719,2.5782554149627686,0.0,0.0,1773.8297119140625,0.0,1773.8297119140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.41111373901367,1.5281816720962524,1051.717041015625,0,0,901,0.003437042236328125,901,0,12726,12682,154,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,1,0.046875,0.0,0.4978353019929562,1.0136867761611938,1.0136867761611938,0.10615996271371841,0.9075267910957336,0.09247322380542755,0.07795082032680511,1.0,1.0,0.06620632857084274,0.06652574986219406,0.0,0.0,0.0,0.0,0.0,0.0,0.0665215402841568,-0.08414379507303238,2.5772736072540283,0.0,0.0,1772.5784912109375,0.0,1772.5784912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3699951171875,1.5990351438522339,0.0,0,0,1008,0.00384521484375,1008,0,12682,12621,151,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,2,0.078125,0.0,0.4940062506389088,1.01382315158844,1.01382315158844,0.10613302886486053,0.907690167427063,0.09230984002351761,0.07787496596574783,1.0,1.0,0.06611724197864532,0.0664476826786995,0.0,0.0,0.0,0.0,0.0,0.0,0.06644333153963089,-0.08505719155073166,2.575294017791748,0.0,0.0,1772.4095458984375,0.0,1772.4095458984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.364410400390625,1.6095050573349,0.0,0,0,1104,0.00421142578125,1104,0,12621,12550,151,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,3,0.109375,0.0,0.4883088130366042,1.014040470123291,1.014040470123291,0.10612064599990845,0.9079198241233826,0.09208019077777863,0.07779127359390259,1.0,1.0,0.06601361185312271,0.06636149436235428,0.0,0.0,0.0,0.0,0.0,0.0,0.06635691225528717,-0.08640968054533005,2.5722670555114746,0.0,0.0,1771.3690185546875,0.0,1771.3690185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.33136749267578,1.626985788345337,0.0,0,0,1133,0.004322052001953125,1133,0,12550,12485,151,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,4,0.140625,0.0,0.48079785862468866,1.014341115951538,1.014341115951538,0.10612547397613525,0.9082156419754028,0.09178433567285538,0.0777013823390007,1.0,1.0,0.06589880585670471,0.06626886874437332,0.0,0.0,0.0,0.0,0.0,0.0,0.06626399606466293,-0.08822228759527206,2.568118095397949,0.0,0.0,1771.4541015625,0.0,1771.4541015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.333797454833984,1.6347711086273193,0.0,0,0,1407,0.005367279052734375,1407,0,12485,12397,150,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,5,0.171875,0.0,0.4715457220000544,1.0147346258163452,1.0147346258163452,0.10615004599094391,0.9085845947265625,0.0914154201745987,0.07760544866323471,1.0,1.0,0.06577123701572418,0.06616994738578796,0.0,0.0,0.0,0.0,0.0,0.0,0.06616470217704773,-0.09052873402833939,2.5627424716949463,0.0,0.0,1771.552490234375,0.0,1771.552490234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.336936950683594,1.6325490474700928,0.0,0,0,1579,0.006023406982421875,1579,0,12397,12311,148,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,6,0.203125,0.0,0.460641506296129,1.015239953994751,1.015239953994751,0.10620039701461792,0.9090396165847778,0.09096035361289978,0.07750578224658966,1.0,1.0,0.06562701612710953,0.06606703251600266,0.0,0.0,0.0,0.0,0.0,0.0,0.06606123596429825,-0.0933709517121315,2.556002140045166,0.0,0.0,1770.80322265625,0.0,1770.80322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.31361770629883,1.6290686130523682,0.0,0,0,1726,0.00658416748046875,1726,0,12311,12264,148,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,7,0.234375,0.0,0.4481902250709918,1.0158764123916626,1.0158764123916626,0.10627516359090805,0.9096012711524963,0.09039872139692307,0.07739561796188354,1.0,1.0,0.06545261293649673,0.06595306843519211,0.0,0.0,0.0,0.0,0.0,0.0,0.06594647467136383,-0.09681310504674911,2.547718048095703,0.0,0.0,1771.9571533203125,0.0,1771.9571533203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.35060501098633,1.5977320671081543,0.0,0,0,1959,0.007472991943359375,1959,0,12264,12175,147,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,8,0.265625,0.06540312923014306,0.43431179096940364,1.016653060913086,1.016653060913086,0.10637019574642181,0.9102828502655029,0.08971717208623886,0.0772654190659523,1.0,1.0,0.06523922830820084,0.06581828743219376,0.0,0.0,0.0,0.0,0.0,0.0,0.0658106580376625,-0.10093838721513748,2.5376627445220947,0.0018622120842337608,0.0018622120842337608,1775.399658203125,29.029016494750977,1775.62548828125,0.016350782307535765,0.01635078154504299,0.01635078154504299,0.0,0.0018622120842337608,1.0,0.016350694000720978,55.465999603271484,1.5729620456695557,0.0,0,0,2317,0.008838653564453125,2317,0,12175,12076,163,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
0,9,0.296875,0.19509032201612825,0.4191398608984867,1.015742301940918,1.015742301940918,0.10626891255378723,0.9094733595848083,0.09052663296461105,0.07706858217716217,1.0,1.0,0.06615906208753586,0.06563109904527664,0.0,0.0,0.0,0.0,0.0,0.0,0.06563805043697357,-0.10585983842611313,2.5255510807037354,0.002041466301307082,0.002041466301307082,1775.6185302734375,94.93717956542969,1778.1278076171875,0.04877258050403206,0.05346737056970596,0.05346737056970596,0.0,0.0018622120842337608,1.0962587594985962,0.053467102348804474,55.54471969604492,1.5553488731384277,0.0,0,0,2702,0.01030731201171875,2702,0,12076,11922,220,0.25,0.0,calibrated_soft_bce_hard_dice_v2,reference_norm_relative_v2,A_SOLID,ORACLE_GUIDED,42
