scope,count,spearman_canonical_score_vs_actual_mask_predicted_decrease,spearman_actual_mask_predicted_decrease_vs_hard_delta,canonical_actual_sign_agreement_fraction,actual_first_order_hard_sign_agreement_fraction,actual_mask_predicts_improvement_count,hard_improves_parent_count
all_correct,2240,0.15419017932149015,-0.08248442048809694,0.9401785714285714,0.059821428571428574,2106,0
all_controls,6530,0.7957308690725079,-0.5789724491610644,0.9537519142419602,0.2679938744257274,4784,4
control_zero,2050,0.9675371655136061,-0.7565040661448618,0.9970731707317073,0.708780487804878,600,3
control_shuffled_xy,2240,0.7361400635991332,-0.33888327055579237,0.9196428571428571,0.08035714285714286,2060,0
control_wrong_case_observation,2240,0.193928728352793,-0.053066454044909755,0.9482142857142857,0.05223214285714286,2124,1
