case_id,observation_kind,observation_group,trace_index,generation,state_id,parent_id,ranking_id,rank_index,center_x,center_y,center_z,canonical_center_score,hard_rmse,hard_delta_rmse_vs_parent,hard_delta_rmse_vs_empty,hard_improves_parent,hard_improves_empty,condition_violations,shape,material_label,size_x,size_y,size_z,orientation_deg,truth_used
analytic_five_body,correct,correct,1,1,g001_p000000_empty,empty,g001_b7e43f1d75130653_0000,0,41.0,41.0,39.0,6.173095607664436e-05,0.01064186543226242,0.0017560413107275963,0.0017560413107275963,False,False,0,ellipsoid,9,9.069960482085477,12.518838106885632,9.034864313429892,33.94360557912685,False
analytic_five_body,correct,correct,2,1,g001_p000001_empty,empty,g001_b7e43f1d75130653_0000,1,41.0,42.0,39.0,6.173095607664436e-05,0.010239830240607262,0.0013540061190724373,0.0013540061190724373,False,False,0,ellipsoid,9,10.216738703467461,6.449849555799257,8.001534966156104,140.05301420081562,False
analytic_five_body,correct,correct,3,1,g001_p000002_empty,empty,g001_b7e43f1d75130653_0000,2,42.0,41.0,39.0,6.173095607664436e-05,0.010207399725914001,0.001321575604379177,0.001321575604379177,False,False,0,ellipsoid,9,7.484638497607557,9.991618598313472,11.821175332686096,88.66852277516863,False
analytic_five_body,correct,correct,4,1,g001_p000003_empty,empty,g001_b7e43f1d75130653_0000,3,42.0,42.0,39.0,6.173094880068675e-05,0.011033470742404461,0.0021476466208696365,0.0021476466208696365,False,False,0,dike_hemisphere,9,6.9602026354836335,13.792192464052157,7.862544991815387,108.3784039812152,False
analytic_five_body,correct,correct,5,1,g001_p000004_empty,empty,g001_b7e43f1d75130653_0000,4,9.0,41.0,21.0,6.169795233290642e-05,0.01189323328435421,0.0030074091628193855,0.0030074091628193855,False,False,0,dike_hemisphere,9,11.416029720230092,12.882908191169253,13.24044422109909,11.694771665313839,False
analytic_five_body,correct,correct,6,1,g001_p000005_empty,empty,g001_b7e43f1d75130653_0000,5,9.0,42.0,21.0,6.169795233290642e-05,0.01081767026335001,0.0019318461418151855,0.0019318461418151855,False,False,0,ellipsoid,9,9.3260241652468,9.271963487293934,13.664643496505605,73.89352658062758,False
analytic_five_body,correct,correct,7,1,g001_p000006_empty,empty,g001_b7e43f1d75130653_0000,6,10.0,41.0,21.0,6.169795233290642e-05,0.010613402351737022,0.001727578230202198,0.001727578230202198,False,False,0,dike_hemisphere,9,7.852049182093416,11.145289176007863,9.157355840537475,88.67712622573787,False
analytic_five_body,correct,correct,8,1,g001_p000007_empty,empty,g001_b7e43f1d75130653_0000,7,10.0,42.0,21.0,6.169794505694881e-05,0.01089664176106453,0.002010817639529705,0.002010817639529705,False,False,0,dike_hemisphere,9,12.3065001525419,7.065688742619231,13.200821676546568,144.50235789362677,False
analytic_five_body,correct,correct,9,1,g001_p000008_empty,empty,g001_b7e43f1d75130653_0000,8,40.0,41.0,39.0,5.569587301579304e-05,0.010384234599769115,0.001498410478234291,0.001498410478234291,False,False,0,ellipsoid,9,8.55601594564268,9.118549501281159,7.592165011248599,142.09711655694812,False
analytic_five_body,correct,correct,10,1,g001_p000009_empty,empty,g001_b7e43f1d75130653_0000,9,40.0,42.0,39.0,5.569587301579304e-05,0.010406355373561382,0.001520531252026558,0.001520531252026558,False,False,0,dike_hemisphere,9,7.0104090357618,9.086002987599725,9.12801987946564,107.71547182800337,False
