oracle_label,candidate_id,successful_center_x,successful_center_y,successful_center_z,nearest_ranked_center_x,nearest_ranked_center_y,nearest_ranked_center_z,nearest_grid_distance_voxels,sensitivity_rank,rank_percentile_from_top,score_percentile,canonical_center_score,top_ranked_center_distance_voxels,nearest_top96_rank,nearest_top96_distance_voxels,used_for_selection,affects_gate,used_for_tuning
ORACLE_POSTMORTEM_ONLY,candidate_04,9.5,41.5,20.5,9,41,21,0.8660254037844386,5,0.0035464765755222187,99.99716281873958,6.169795233290642e-05,36.53423052426313,5,0.8660254037844386,False,False,False
ORACLE_POSTMORTEM_ONLY,candidate_06,41.5,41.5,38.5,41,41,39,0.8660254037844386,1,0.0007092953151044437,100.0,6.173095607664436e-05,0.8660254037844386,1,0.8660254037844386,False,False,False
