sample_id,truth_component_rank,truth_component_voxels,recovered_voxels,recall,candidate_id,retrospective_only,used_for_ranking
0,1,463,432,0.9330453563714903,candidate_000000,True,False
0,2,397,0,0.0,candidate_000000,True,False
0,3,383,328,0.856396866840731,candidate_000000,True,False
0,4,367,14,0.03814713896457766,candidate_000000,True,False
0,5,217,193,0.8894009216589862,candidate_000000,True,False
1,1,463,427,0.9222462203023758,candidate_000001,True,False
1,2,397,0,0.0,candidate_000001,True,False
1,3,383,382,0.9973890339425587,candidate_000001,True,False
1,4,367,187,0.5095367847411444,candidate_000001,True,False
1,5,217,117,0.5391705069124424,candidate_000001,True,False
2,1,463,381,0.8228941684665226,candidate_000002,True,False
2,2,397,12,0.030226700251889168,candidate_000002,True,False
2,3,383,358,0.9347258485639687,candidate_000002,True,False
2,4,367,3,0.008174386920980926,candidate_000002,True,False
2,5,217,92,0.423963133640553,candidate_000002,True,False
3,1,463,459,0.9913606911447084,candidate_000003,True,False
3,2,397,210,0.5289672544080605,candidate_000003,True,False
3,3,383,274,0.7154046997389034,candidate_000003,True,False
3,4,367,1,0.0027247956403269754,candidate_000003,True,False
3,5,217,173,0.7972350230414746,candidate_000003,True,False
