observation,metric,subset,fraction,count,mean,full_mean,enrichment
correct,label9_iou,full,1.0,4,0.05530970450899323,0.05530970450899323,0.0
correct,label9_iou,top_10pct,0.1,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
correct,label9_iou,top_5pct,0.05,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
correct,label9_iou,top_1pct,0.01,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
correct,label9_recall,full,1.0,4,0.5532293377120963,0.5532293377120963,0.0
correct,label9_recall,top_10pct,0.1,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
correct,label9_recall,top_5pct,0.05,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
correct,label9_recall,top_1pct,0.01,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
correct,major_component_mean_recall,full,1.0,4,0.5182024966436398,0.5182024966436398,0.0
correct,major_component_mean_recall,top_10pct,0.1,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
correct,major_component_mean_recall,top_5pct,0.05,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
correct,major_component_mean_recall,top_1pct,0.01,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
zero,label9_iou,full,1.0,4,0.05530970450899323,0.05530970450899323,0.0
zero,label9_iou,top_10pct,0.1,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
zero,label9_iou,top_5pct,0.05,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
zero,label9_iou,top_1pct,0.01,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
zero,label9_recall,full,1.0,4,0.5532293377120963,0.5532293377120963,0.0
zero,label9_recall,top_10pct,0.1,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
zero,label9_recall,top_5pct,0.05,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
zero,label9_recall,top_1pct,0.01,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
zero,major_component_mean_recall,full,1.0,4,0.5182024966436398,0.5182024966436398,0.0
zero,major_component_mean_recall,top_10pct,0.1,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
zero,major_component_mean_recall,top_5pct,0.05,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
zero,major_component_mean_recall,top_1pct,0.01,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
shuffled_xy,label9_iou,full,1.0,4,0.05530970450899323,0.05530970450899323,0.0
shuffled_xy,label9_iou,top_10pct,0.1,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
shuffled_xy,label9_iou,top_5pct,0.05,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
shuffled_xy,label9_iou,top_1pct,0.01,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
shuffled_xy,label9_recall,full,1.0,4,0.5532293377120963,0.5532293377120963,0.0
shuffled_xy,label9_recall,top_10pct,0.1,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
shuffled_xy,label9_recall,top_5pct,0.05,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
shuffled_xy,label9_recall,top_1pct,0.01,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
shuffled_xy,major_component_mean_recall,full,1.0,4,0.5182024966436398,0.5182024966436398,0.0
shuffled_xy,major_component_mean_recall,top_10pct,0.1,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
shuffled_xy,major_component_mean_recall,top_5pct,0.05,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
shuffled_xy,major_component_mean_recall,top_1pct,0.01,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
wrong_case,label9_iou,full,1.0,4,0.05530970450899323,0.05530970450899323,0.0
wrong_case,label9_iou,top_10pct,0.1,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
wrong_case,label9_iou,top_5pct,0.05,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
wrong_case,label9_iou,top_1pct,0.01,1,0.06278813064086748,0.05530970450899323,0.007478426131874251
wrong_case,label9_recall,full,1.0,4,0.5532293377120963,0.5532293377120963,0.0
wrong_case,label9_recall,top_10pct,0.1,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
wrong_case,label9_recall,top_5pct,0.05,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
wrong_case,label9_recall,top_1pct,0.01,1,0.5292829775588396,0.5532293377120963,-0.023946360153256685
wrong_case,major_component_mean_recall,full,1.0,4,0.5182024966436398,0.5182024966436398,0.0
wrong_case,major_component_mean_recall,top_10pct,0.1,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
wrong_case,major_component_mean_recall,top_5pct,0.05,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
wrong_case,major_component_mean_recall,top_1pct,0.01,1,0.4568973405441997,0.5182024966436398,-0.061305156099440095
