iteration,seismic_mse,seismic_rmse,gradient_norm,q_min,q_mean,q_max
0,0.0009199375635944307,0.030330471694469452,0.00038310137460939586,0.08202449977397919,0.4905446767807007,0.8750903010368347
10,0.0007746621849946678,0.0278327539563179,0.00020908412989228964,0.11347109824419022,0.4487687349319458,0.7701625823974609
20,0.0007334299734793603,0.027081912383437157,8.50147771416232e-05,0.1030445396900177,0.4332644045352936,0.7795501947402954
30,0.0007147882133722305,0.026735523715615273,2.8505099180620164e-05,0.11968914419412613,0.441846638917923,0.7778850197792053
40,0.0007104929536581039,0.026655074208974838,1.3267322174215224e-05,0.1297696828842163,0.4460185766220093,0.7701625823974609
50,0.0007075179601088166,0.026599209755659103,2.259306529595051e-05,0.13432098925113678,0.4486768841743469,0.7701625823974609
60,0.0007056661415845156,0.026564376428723335,5.220282673690235e-06,0.1502697765827179,0.448421448469162,0.7701625823974609
70,0.0007051233551464975,0.026554159820079803,1.676224769653345e-06,0.1556570678949356,0.44679492712020874,0.7701625823974609
80,0.0007050863350741565,0.026553461328148842,1.728649522192427e-06,0.15600401163101196,0.44671306014060974,0.7701625823974609
90,0.0007050462882034481,0.026552706956863403,8.785665954746946e-07,0.1556755155324936,0.44702064990997314,0.7701625823974609
100,0.0007050234125927091,0.02655227668583393,5.849884701092378e-07,0.15499566495418549,0.4468500018119812,0.7701625823974609
110,0.0007050178246572614,0.026552172377705574,7.192411430878565e-07,0.15505538880825043,0.4465952515602112,0.7701625823974609
120,0.0007050170097500086,0.02655215561389923,4.4863398329653137e-07,0.1552574187517166,0.4465675354003906,0.7701625823974609
130,0.0007050140993669629,0.026552101597189903,2.3897356982161e-07,0.1546841561794281,0.44654324650764465,0.7701625823974609
140,0.000705013400875032,0.02655208855867386,2.6712524459071574e-07,0.15424904227256775,0.44650617241859436,0.7701625823974609
150,0.0007050139829516411,0.026552099734544754,6.135244348115521e-07,0.1539299488067627,0.4464905261993408,0.7701625823974609
160,0.0007050135172903538,0.026552090421319008,3.322575992115162e-07,0.15346670150756836,0.4464966952800751,0.7701625823974609
170,0.0007050124113447964,0.026552069932222366,2.8514250516309403e-07,0.15280374884605408,0.44645899534225464,0.7701625823974609
180,0.00070501200389117,0.02655206248164177,2.3509338120675238e-07,0.15229664742946625,0.4464184045791626,0.7701625823974609
190,0.0007050125277601182,0.026552071794867516,3.0043653964639816e-07,0.15195217728614807,0.4464135766029358,0.7701625823974609
200,0.000705012702383101,0.026552075520157814,6.255475000216393e-07,0.1517016887664795,0.44637370109558105,0.7701625823974609
210,0.0007050123531371355,0.026552068069577217,2.930735263362294e-07,0.15148168802261353,0.4463898837566376,0.7701625823974609
220,0.0007050128770060837,0.026552079245448112,6.289246243795787e-07,0.1512429118156433,0.44633936882019043,0.7701625823974609
230,0.0007050120620988309,0.02655206248164177,3.084270758790808e-07,0.15098105370998383,0.4463547468185425,0.7701625823974609
240,0.0007050112471915781,0.026552047580480576,2.3066023402407154e-07,0.1506926268339157,0.4463352560997009,0.7701625823974609
250,0.0007050113053992391,0.026552049443125725,2.427725007692061e-07,0.15041957795619965,0.4463199973106384,0.7701625823974609
260,0.0007050115964375436,0.026552055031061172,2.7237686595071864e-07,0.1501736044883728,0.4463141858577728,0.7701625823974609
270,0.0007050122367218137,0.026552066206932068,6.263811656026519e-07,0.1499466747045517,0.44626927375793457,0.7701625823974609
280,0.0007050120620988309,0.02655206248164177,3.058013078316435e-07,0.14974159002304077,0.44630688428878784,0.7701625823974609
290,0.0007050124113447964,0.026552069932222366,6.233626663743053e-07,0.14955534040927887,0.4462468922138214,0.7701625823974609
299,0.0007050112471915781,0.026552047580480576,2.686199707113701e-07,0.149399995803833,0.44626063108444214,0.7701625823974609
