sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,role
0,1,True,45273,36154,-9119,0.20142248139067434,0.41760097493036213,0.6634673895004702,0.5298301415854925,baseline
0,2,True,24520,22811,-1709,0.06969820554649266,0.7116045275376993,0.8626539827276314,0.8025285481239804,baseline
0,3,True,14533,5425,-9108,0.6267116218261887,0.15250909510885258,0.4868202764976958,0.18172435147595128,baseline
0,4,True,73801,93148,19347,0.26215091936423623,0.5393530897892194,0.6279791299866878,0.7926044362542513,baseline
0,5,True,18902,32984,14082,0.7450005290445455,0.25817793835932007,0.32279286926994905,0.563273727647868,baseline
0,6,True,11543,280,-11263,0.9757428744693754,0.014153371075656201,0.5892857142857143,0.014294377544832365,baseline
0,9,True,8968,6283,-2685,0.2993978590544157,0.02859647939569704,0.0674836861371956,0.04727921498661909,baseline
0,13,True,15,0,-15,1.0,0.0,nan,0.0,baseline
1,1,True,45273,36134,-9139,0.20186424579771609,0.4169814276513899,0.6629766978469032,0.5291454067545778,physics_best
1,2,True,24520,22779,-1741,0.07100326264274062,0.7139181795122658,0.8649194433469424,0.8035073409461664,physics_best
1,3,True,14533,5405,-9128,0.6280878001789032,0.15108827434905606,0.4841813135985199,0.18007293745269387,physics_best
1,4,True,73801,93126,19325,0.2618528204224875,0.5395051139455311,0.6281596976139854,0.7926450861099443,physics_best
1,5,True,18902,32953,14051,0.7433604909533382,0.259197202593429,0.32391588019300216,0.5647021479208549,physics_best
1,6,True,11543,285,-11258,0.9753097115134713,0.014234265134625279,0.5824561403508772,0.014381010136013167,physics_best
1,9,True,8968,6393,-2575,0.28713202497769846,0.029143775961409622,0.0680431722196152,0.04850579839429081,physics_best
1,13,True,15,0,-15,1.0,0.0,nan,0.0,physics_best
