case_id,trace_index,is_initial,generation,state_id,parent_id,move_type,body_count,edited_voxels,changed_voxels,hard_rmse,empty_hard_rmse,delta_rmse,delta_rmse_lt_zero,zero_edit,truth_used_for_selection,bodies_json
analytic_five_body,14,False,1,g001_p000013_empty,empty,birth,1,418,418,0.010529891587793827,0.008885824121534824,0.0016440674662590027,False,False,False,"[{""body_id"": ""body_01000013"", ""center_x"": 56.945065652652424, ""center_y"": 15.905038950965462, ""center_z"": 19.305761939507455, ""material_label"": 9, ""orientation_deg"": 174.71832456044808, ""shape"": ""dike_hemisphere"", ""size_x"": 9.571871857949091, ""size_y"": 7.160739040984092, ""size_z"": 11.376243859799143}]"
analytic_five_body,15,False,1,g001_p000014_empty,empty,birth,1,639,639,0.011179763823747635,0.008885824121534824,0.0022939397022128105,False,False,False,"[{""body_id"": ""body_01000014"", ""center_x"": 54.112895552253455, ""center_y"": 32.1388312637623, ""center_z"": 33.96849625280151, ""material_label"": 9, ""orientation_deg"": 159.63060883025153, ""shape"": ""dike_hemisphere"", ""size_x"": 11.33455489022586, ""size_y"": 8.151513453478163, ""size_z"": 13.286836865297733}]"
analytic_five_body,16,False,1,g001_p000015_empty,empty,birth,1,480,480,0.01087094098329544,0.008885824121534824,0.0019851168617606163,False,False,False,"[{""body_id"": ""body_01000015"", ""center_x"": 12.59017695114096, ""center_y"": 31.901625223747796, ""center_z"": 7.721315545207373, ""material_label"": 9, ""orientation_deg"": 87.29187828979056, ""shape"": ""ellipsoid"", ""size_x"": 12.471258676360954, ""size_y"": 6.952710364086431, ""size_z"": 10.660282162596085}]"
analytic_five_body,17,False,1,g001_p000016_empty,empty,birth,1,340,340,0.010702540166676044,0.008885824121534824,0.00181671604514122,False,False,False,"[{""body_id"": ""body_01000016"", ""center_x"": 34.97810995687091, ""center_y"": 42.00400229439285, ""center_z"": 32.314951302700145, ""material_label"": 9, ""orientation_deg"": 12.41297095544968, ""shape"": ""ellipsoid"", ""size_x"": 10.874120076267408, ""size_y"": 7.343850586969914, ""size_z"": 8.199546644911543}]"
analytic_five_body,18,False,1,g001_p000017_empty,empty,birth,1,718,718,0.011863053776323795,0.008885824121534824,0.002977229654788971,False,False,False,"[{""body_id"": ""body_01000017"", ""center_x"": 13.913555050778744, ""center_y"": 22.730173553461064, ""center_z"": 10.681232085988137, ""material_label"": 9, ""orientation_deg"": 39.35387470278744, ""shape"": ""dike_hemisphere"", ""size_x"": 15.568984308983818, ""size_y"": 8.401667265695245, ""size_z"": 10.893816953246827}]"
analytic_five_body,19,False,1,g001_p000018_empty,empty,birth,1,363,363,0.010928397066891193,0.008885824121534824,0.002042572945356369,False,False,False,"[{""body_id"": ""body_01000018"", ""center_x"": 52.0443217667883, ""center_y"": 55.47176590614754, ""center_z"": 37.61801790380633, ""material_label"": 9, ""orientation_deg"": 172.45712541101338, ""shape"": ""dike_hemisphere"", ""size_x"": 13.221076156955991, ""size_y"": 6.423416583396705, ""size_z"": 7.317005077734772}]"
analytic_five_body,20,False,1,g001_p000019_empty,empty,birth,1,256,256,0.010425856336951256,0.008885824121534824,0.0015400322154164314,False,False,False,"[{""body_id"": ""body_01000019"", ""center_x"": 8.65456566524079, ""center_y"": 30.708151945019196, ""center_z"": 11.237439657059653, ""material_label"": 9, ""orientation_deg"": 62.23226789086255, ""shape"": ""dike_hemisphere"", ""size_x"": 7.847048685441748, ""size_y"": 8.150579837722574, ""size_z"": 7.872388357661165}]"
analytic_five_body,21,False,1,g001_p000020_empty,empty,birth,1,573,573,0.011165174655616283,0.008885824121534824,0.002279350534081459,False,False,False,"[{""body_id"": ""body_01000020"", ""center_x"": 9.481419946124948, ""center_y"": 40.66427707953339, ""center_z"": 24.544134015473375, ""material_label"": 9, ""orientation_deg"": 120.3570059864107, ""shape"": ""ellipsoid"", ""size_x"": 6.866976562835077, ""size_y"": 13.01965842222327, ""size_z"": 12.093670773758578}]"
analytic_five_body,22,False,1,g001_p000021_empty,empty,birth,1,424,424,0.011180800385773182,0.008885824121534824,0.0022949762642383575,False,False,False,"[{""body_id"": ""body_01000021"", ""center_x"": 18.924447087459654, ""center_y"": 6.904867139658929, ""center_z"": 7.528384584542573, ""material_label"": 9, ""orientation_deg"": 74.62073140176355, ""shape"": ""dike_hemisphere"", ""size_x"": 8.55312931220255, ""size_y"": 12.042131805719643, ""size_z"": 7.192622343400261}]"
analytic_five_body,23,False,1,g001_p000022_empty,empty,birth,1,1322,1322,0.013241127133369446,0.008885824121534824,0.004355303011834621,False,False,False,"[{""body_id"": ""body_01000022"", ""center_x"": 46.69700686303311, ""center_y"": 19.964693126165656, ""center_z"": 35.82498284235457, ""material_label"": 9, ""orientation_deg"": 24.046316962221205, ""shape"": ""dike_hemisphere"", ""size_x"": 15.727521082664902, ""size_y"": 12.70611739433694, ""size_z"": 12.543649458583864}]"
