case_id,trace_index,generation,move_type,state_id,body_index,body_id,shape,material_label,center_x,center_y,center_z,size_x,size_y,size_z,orientation_deg,hard_rmse,delta_rmse
analytic_five_body,1,1,birth,g001_p000000_empty,0,body_01000000,ellipsoid,9,22.265072507189835,20.266810368637362,48.16949342133458,9.069960482085477,12.518838106885632,9.034864313429892,33.94360557912685,0.0114369448274374,0.0025511207059025764
analytic_five_body,2,1,birth,g001_p000001_empty,0,body_01000001,ellipsoid,9,4.407166228745681,22.412836388130653,28.841878642647497,10.216738703467461,6.449849555799257,8.001534966156104,140.05301420081562,0.010503452271223068,0.0016176281496882439
analytic_five_body,3,1,birth,g001_p000002_empty,0,body_01000002,ellipsoid,9,20.870297619766802,43.03037455063857,18.22084300047298,7.484638497607557,9.991618598313472,11.821175332686096,88.66852277516863,0.010703330859541893,0.0018175067380070686
analytic_five_body,4,1,birth,g001_p000003_empty,0,body_01000003,dike_hemisphere,9,23.67590017654717,28.427604659843947,25.31857835937484,6.9602026354836335,13.792192464052157,7.862544991815387,108.3784039812152,0.011157498694956303,0.0022716745734214783
analytic_five_body,5,1,birth,g001_p000004_empty,0,body_01000004,dike_hemisphere,9,51.9035088482455,25.503162398714522,8.845363682759425,11.416029720230092,12.882908191169253,13.24044422109909,11.694771665313839,0.012251455336809158,0.003365631215274334
analytic_five_body,6,1,birth,g001_p000005_empty,0,body_01000005,ellipsoid,9,6.536280029563548,15.120647037293894,47.609086013604085,9.3260241652468,9.271963487293934,13.664643496505605,73.89352658062758,0.011710693128407001,0.002824869006872177
analytic_five_body,7,1,birth,g001_p000006_empty,0,body_01000006,dike_hemisphere,9,7.245410807437912,29.073486023030277,19.473560785205606,7.852049182093416,11.145289176007863,9.157355840537475,88.67712622573787,0.010900784283876419,0.0020149601623415947
analytic_five_body,8,1,birth,g001_p000007_empty,0,body_01000007,dike_hemisphere,9,43.823785391752956,41.4038398901681,23.220974867820974,12.3065001525419,7.065688742619231,13.200821676546568,144.50235789362677,0.01099314447492361,0.0021073203533887863
analytic_five_body,9,1,birth,g001_p000008_empty,0,body_01000008,ellipsoid,9,40.675741101501686,57.236239648800066,41.24345334273213,8.55601594564268,9.118549501281159,7.592165011248599,142.09711655694812,0.010786975733935833,0.0019011516124010086
analytic_five_body,10,1,birth,g001_p000009_empty,0,body_01000009,dike_hemisphere,9,53.53724182074942,40.11960167603105,13.789964555598559,7.0104090357618,9.086002987599725,9.12801987946564,107.71547182800337,0.010349113494157791,0.0014632893726229668
analytic_five_body,11,1,birth,g001_p000010_empty,0,body_01000010,ellipsoid,9,16.882242031662393,16.146666306221377,28.917386623140946,13.360088129200104,7.883318812364299,11.068272044007422,110.77220670438774,0.011384985409677029,0.0024991612881422043
analytic_five_body,12,1,birth,g001_p000011_empty,0,body_01000011,dike_hemisphere,9,7.875634040629633,35.42528806298451,38.96924856615898,8.697609417360173,14.354844958554544,11.199660706009823,52.21242285525821,0.011700013652443886,0.0028141895309090614
analytic_five_body,13,1,birth,g001_p000012_empty,0,body_01000012,ellipsoid,9,16.95060102235007,22.92690232000206,42.63091782431474,12.806527380318517,14.472271475228657,12.957059957475643,85.97105246644753,0.013040181249380112,0.004154357127845287
analytic_five_body,14,1,birth,g001_p000013_empty,0,body_01000013,dike_hemisphere,9,56.945065652652424,15.905038950965462,19.305761939507455,9.571871857949091,7.160739040984092,11.376243859799143,174.71832456044808,0.010529891587793827,0.0016440674662590027
analytic_five_body,15,1,birth,g001_p000014_empty,0,body_01000014,dike_hemisphere,9,54.112895552253455,32.1388312637623,33.96849625280151,11.33455489022586,8.151513453478163,13.286836865297733,159.63060883025153,0.011179763823747635,0.0022939397022128105
analytic_five_body,16,1,birth,g001_p000015_empty,0,body_01000015,ellipsoid,9,12.59017695114096,31.901625223747796,7.721315545207373,12.471258676360954,6.952710364086431,10.660282162596085,87.29187828979056,0.01087094098329544,0.0019851168617606163
analytic_five_body,17,1,birth,g001_p000016_empty,0,body_01000016,ellipsoid,9,34.97810995687091,42.00400229439285,32.314951302700145,10.874120076267408,7.343850586969914,8.199546644911543,12.41297095544968,0.010702540166676044,0.00181671604514122
analytic_five_body,18,1,birth,g001_p000017_empty,0,body_01000017,dike_hemisphere,9,13.913555050778744,22.730173553461064,10.681232085988137,15.568984308983818,8.401667265695245,10.893816953246827,39.35387470278744,0.011863053776323795,0.002977229654788971
analytic_five_body,19,1,birth,g001_p000018_empty,0,body_01000018,dike_hemisphere,9,52.0443217667883,55.47176590614754,37.61801790380633,13.221076156955991,6.423416583396705,7.317005077734772,172.45712541101338,0.010928397066891193,0.002042572945356369
analytic_five_body,20,1,birth,g001_p000019_empty,0,body_01000019,dike_hemisphere,9,8.65456566524079,30.708151945019196,11.237439657059653,7.847048685441748,8.150579837722574,7.872388357661165,62.23226789086255,0.010425856336951256,0.0015400322154164314
analytic_five_body,21,1,birth,g001_p000020_empty,0,body_01000020,ellipsoid,9,9.481419946124948,40.66427707953339,24.544134015473375,6.866976562835077,13.01965842222327,12.093670773758578,120.3570059864107,0.011165174655616283,0.002279350534081459
analytic_five_body,22,1,birth,g001_p000021_empty,0,body_01000021,dike_hemisphere,9,18.924447087459654,6.904867139658929,7.528384584542573,8.55312931220255,12.042131805719643,7.192622343400261,74.62073140176355,0.011180800385773182,0.0022949762642383575
analytic_five_body,23,1,birth,g001_p000022_empty,0,body_01000022,dike_hemisphere,9,46.69700686303311,19.964693126165656,35.82498284235457,15.727521082664902,12.70611739433694,12.543649458583864,24.046316962221205,0.013241127133369446,0.004355303011834621
analytic_five_body,24,1,birth,g001_p000023_empty,0,body_01000023,dike_hemisphere,9,23.099688235490962,19.449117549165052,12.719817468913202,15.4949785794143,8.79054516317618,6.340410897677041,29.431657523885622,0.011904832907021046,0.0030190087854862213
analytic_five_body,25,1,birth,g001_p000024_empty,0,body_01000024,dike_hemisphere,9,44.47379524631206,44.49308212125715,10.840960594991659,14.162383720643012,10.921039813943082,12.808272739595862,104.6165805034426,0.012441820465028286,0.0035559963434934616
analytic_five_body,26,1,birth,g001_p000025_empty,0,body_01000025,dike_hemisphere,9,37.53320147737666,4.21721083333179,31.630124007706716,10.724165173676123,9.933379992288534,12.130224306106765,97.28757733917105,0.011658478528261185,0.0027726544067263603
analytic_five_body,27,1,birth,g001_p000026_empty,0,body_01000026,ellipsoid,9,43.942590446303235,35.48017038051889,15.926467399807514,7.0155988133818585,13.788492252932086,9.51071556944707,54.01640594060518,0.011176944710314274,0.0022911205887794495
analytic_five_body,28,1,birth,g001_p000027_empty,0,body_01000027,ellipsoid,9,37.469649718785185,16.91560042241423,27.784350531715386,13.277395392999473,15.03541459903683,11.10483900104514,76.32087457784891,0.013351342640817165,0.004465518519282341
analytic_five_body,29,1,birth,g001_p000028_empty,0,body_01000028,ellipsoid,9,32.08126550702526,21.504531531902074,21.355373998308103,11.966143278502052,14.013052934755072,6.5409084727214015,59.23849876696286,0.01254954468458891,0.0036637205630540848
analytic_five_body,30,1,birth,g001_p000029_empty,0,body_01000029,ellipsoid,9,41.35545787022319,58.007185412904676,21.798275859968196,12.646421280574245,11.724070690046856,9.557750592532807,106.61882671995619,0.012264366261661053,0.0033785421401262283
analytic_five_body,31,1,birth,g001_p000030_empty,0,body_01000030,dike_hemisphere,9,10.254147073862448,49.239285687953675,16.164051346299104,10.931472645888741,10.382683606138892,6.273296075862198,23.109184532493337,0.011583822779357433,0.002697998657822609
analytic_five_body,32,1,birth,g001_p000031_empty,0,body_01000031,dike_hemisphere,9,47.26240955642483,54.87567202890718,17.299803516560598,6.609889496762972,9.372426072185188,11.012213270905512,124.44187828219665,0.010373864322900772,0.0014880402013659477
analytic_five_body,33,1,birth,g001_p000032_empty,0,body_01000032,ellipsoid,9,12.63385582138299,36.98229341370944,21.024808590600784,11.3959386872924,15.965647437697456,12.79548731684428,55.25495035585992,0.012676925398409367,0.0037911012768745422
analytic_five_body,34,1,birth,g001_p000033_empty,0,body_01000033,dike_hemisphere,9,25.921923939619575,29.91868292985692,18.611150087224026,10.208988122002012,7.844562040767961,8.691293616186567,143.19978604127047,0.010852883569896221,0.001967059448361397
analytic_five_body,35,1,birth,g001_p000034_empty,0,body_01000034,ellipsoid,9,15.6523148290319,5.676085971240174,36.31184667836082,10.620766067961842,9.114811716998187,11.282499142412842,157.45947639507557,0.0117193553596735,0.0028335312381386757
analytic_five_body,36,1,birth,g001_p000035_empty,0,body_01000035,dike_hemisphere,9,12.501302603209883,48.38844571802242,11.70931360279202,15.114700163832424,11.621816942283544,13.22246284030209,178.50468683093086,0.012918495573103428,0.0040326714515686035
analytic_five_body,37,1,birth,g001_p000036_empty,0,body_01000036,dike_hemisphere,9,51.72379735888031,32.643106632346786,17.60621102497752,11.987560962201881,7.290780726396496,12.324730663072561,124.1237304614537,0.010967662557959557,0.002081838436424732
analytic_five_body,38,1,birth,g001_p000037_empty,0,body_01000037,ellipsoid,9,7.435231552651674,21.069056429826436,15.985189983942462,6.280125722527684,14.99211715241777,9.138252779330927,109.21714624205705,0.011044351384043694,0.002158527262508869
analytic_five_body,39,1,birth,g001_p000038_empty,0,body_01000038,dike_hemisphere,9,48.17112199271838,24.110556080538796,15.867362999508458,9.677201001023281,10.507576242178114,8.23446700254383,74.11549294220575,0.011210497468709946,0.0023246733471751213
analytic_five_body,40,1,birth,g001_p000039_empty,0,body_01000039,dike_hemisphere,9,21.086658186500916,14.500917716487296,25.825521095000692,13.010901586496999,15.814244091845861,7.927856431053774,106.85754356051324,0.01318278443068266,0.004296960309147835
analytic_five_body,41,1,birth,g001_p000040_empty,0,body_01000040,dike_hemisphere,9,31.076820095309046,11.165472679783099,13.882940279926414,13.527499137333304,15.725571999552823,10.760084367370052,113.2905653951444,0.013202948495745659,0.0043171243742108345
analytic_five_body,42,1,birth,g001_p000041_empty,0,body_01000041,ellipsoid,9,48.490909154731526,20.908340161735982,22.71722720356588,7.854317783486196,14.439095852435525,9.705885407693115,154.53250232778123,0.011439329013228416,0.002553504891693592
analytic_five_body,43,1,birth,g001_p000042_empty,0,body_01000042,dike_hemisphere,9,17.679202952481777,9.593823983755861,41.79470923156214,6.74582568363211,8.817985642329628,12.199774017905336,45.14251231531185,0.010411849245429039,0.0015260251238942146
analytic_five_body,44,1,birth,g001_p000043_empty,0,body_01000043,ellipsoid,9,45.60692203565862,5.004957884196218,44.351174149135566,14.694905421238037,13.434483924612586,10.191159308776573,56.28451642053706,0.01412250380963087,0.0052366796880960464
analytic_five_body,45,1,birth,g001_p000044_empty,0,body_01000044,ellipsoid,9,9.464062000714433,42.83909162283795,24.803465061344316,13.871859006438143,15.237550661523914,8.649215858954182,63.24678491642504,0.013574349693953991,0.0046885255724191666
analytic_five_body,46,1,birth,g001_p000045_empty,0,body_01000045,dike_hemisphere,9,41.64345157340854,46.30726711033547,10.426480731502995,13.546548875203555,9.8335090825125,11.509238105906935,30.69380163653439,0.011926280334591866,0.003040456213057041
analytic_five_body,47,1,birth,g001_p000046_empty,0,body_01000046,dike_hemisphere,9,53.345888005948346,56.071796077208525,23.491398772358863,7.873545290577424,9.20824788872492,8.093637787844166,105.67337356054055,0.010606775060296059,0.0017209509387612343
analytic_five_body,48,1,birth,g001_p000047_empty,0,body_01000047,dike_hemisphere,9,47.669550648598594,30.712052598348194,18.163086604157947,12.486908506675062,11.137833839182145,9.433253410924252,54.89387169138166,0.012014825828373432,0.003129001706838608
analytic_five_body,49,1,birth,g001_p000048_empty,0,body_01000048,ellipsoid,9,9.062467817135651,23.597443639084034,16.593027687934956,11.830173338036658,15.692692288167056,11.737385580209871,11.511516162896097,0.012872486375272274,0.00398666225373745
analytic_five_body,50,1,birth,g001_p000049_empty,0,body_01000049,dike_hemisphere,9,35.75474237649013,46.152171462669806,42.64735975670446,9.91898471571345,11.863813094322051,9.31467274924572,86.50424091128035,0.011525895446538925,0.002640071325004101
analytic_five_body,51,1,birth,g001_p000050_empty,0,body_01000050,dike_hemisphere,9,20.2414674034979,21.155560498914877,11.410261070074608,7.050800582496871,13.18444838366674,8.042981569926994,8.562174382815204,0.011122580617666245,0.00223675649613142
analytic_five_body,52,1,birth,g001_p000051_empty,0,body_01000051,dike_hemisphere,9,49.23366020214936,16.550910525692473,18.369988765994954,6.0543425869012415,11.793585515572703,6.405522688230285,160.32217081930264,0.010696080513298512,0.0018102563917636871
analytic_five_body,53,1,birth,g001_p000052_empty,0,body_01000052,ellipsoid,9,14.568249700122218,54.996641690754764,6.3038558347778935,13.666273890508705,9.216372998005763,8.946329621200327,134.41318663822463,0.011697085574269295,0.0028112614527344704
