case_id,move_type,count,delta_rmse_count,delta_rmse_min,delta_rmse_p01,delta_rmse_p05,delta_rmse_median,delta_rmse_p95,delta_rmse_max,delta_rmse_mean,delta_rmse_lt_zero_count,zero_edit_count,changed_voxels_count,changed_voxels_min,changed_voxels_p01,changed_voxels_p05,changed_voxels_median,changed_voxels_p95,changed_voxels_max,changed_voxels_mean
analytic_five_body,birth,560,560,0.0009371321648359299,0.0011722336150705814,0.0015115582384169102,0.002856795210391283,0.004876566492021083,0.007005718536674976,0.003002488606476358,0,0,560,113.0,187.95,265.9,622.5,1240.3499999999997,1612.0,671.2428571428571
analytic_five_body,change_shape,80,80,0.0009394381195306778,0.0009394381195306778,0.0011075763031840324,0.0014295140281319618,0.0016496001742780208,0.0023921970278024673,0.001406393526121974,0,0,80,100.0,100.0,164.05,273.5,399.15,697.0,287.875
analytic_five_body,death,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analytic_five_body,resize,80,80,0.0009091431275010109,0.001002840232104063,0.001071644574403763,0.001397507730871439,0.0017411987297236919,0.0017971061170101166,0.0013938458054326476,0,0,80,113.0,113.0,160.75,277.5,447.94999999999993,702.0,292.525
analytic_five_body,rotate,80,80,0.0009371321648359299,0.0009371321648359299,0.0010919836815446616,0.0014411048032343388,0.0016397955827414988,0.0017588911578059196,0.0013878415105864406,0,0,80,113.0,113.0,162.65,275.0,421.04999999999995,732.0,287.6375
analytic_five_body,translate,80,80,0.0009334897622466087,0.0009825749788433314,0.001058795303106308,0.0014098058454692364,0.001649471651762724,0.002124706283211708,0.0013853934011422097,0,0,80,148.0,153.53,161.9,273.0,417.34999999999997,734.0,285.5
native_seed20260807,birth,560,560,0.0006267968565225601,0.000783891836181283,0.0009759180247783661,0.0018672812730073929,0.0031786106526851656,0.004088317044079304,0.0019702064538640635,0,0,560,172.0,212.35999999999999,290.65000000000003,629.5,1243.1,1722.0,680.9107142857143
native_seed20260807,change_shape,80,80,0.0006432570517063141,0.0006432570517063141,0.0006975231226533651,0.0009581577032804489,0.0010731701739132404,0.0011557573452591896,0.0009145763935521245,0,0,80,166.0,166.0,176.55,274.5,396.2,513.0,287.4
native_seed20260807,death,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
native_seed20260807,resize,80,80,0.0006413888186216354,0.0006452639866620302,0.0006774029228836299,0.0009522275067865849,0.0011396091431379318,0.0012557441368699074,0.0009197820792905987,0,0,80,160.0,165.53,175.0,279.5,416.54999999999995,529.0,290.2125
