sample_id,path,target_label,target_iou,target_precision,target_recall,target_f1,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,ensemble_probability_overlap_inside_truth,global_geo_misfit,global_voxel_accuracy,global_mean_iou
0,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_0.pt,10,0.5237177014350891,0.6121348738670349,0.783822774887085,0.6874209046363831,9705.0,12427.0,2722.0,0.28047398248325606,5.046106338500977,134,0.9429468093667015,0.682161271572113,0.1784818023443222,0.7007179260253906,0.21386298537254333
1,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_1.pt,10,0.44014450907707214,0.5747074484825134,0.6527563333511353,0.6112505197525024,9705.0,11023.0,1318.0,0.13580628541988665,5.567445755004883,124,0.9584505125646375,0.682161271572113,0.19962672889232635,0.6617698669433594,0.19818463921546936
2,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_2.pt,10,0.4459706246852875,0.5650236010551453,0.6791344881057739,0.6168460845947266,9705.0,11665.0,1960.0,0.20195775373518804,9.71264934539795,115,0.9457351050150021,0.682161271572113,0.310174822807312,0.6892547607421875,0.20766761898994446
3,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_3.pt,10,0.38315004110336304,0.4789663553237915,0.6569809317588806,0.5540252923965454,9705.0,13312.0,3607.0,0.37166409067490985,6.226458549499512,153,0.7449669471153846,0.682161271572113,0.22929692268371582,0.672454833984375,0.19858089089393616
4,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_4.pt,10,0.47002068161964417,0.5866666436195374,0.7027305364608765,0.6394748687744141,9705.0,11625.0,1920.0,0.19783616692426584,4.844157695770264,137,0.927483870967742,0.682161271572113,0.24201242625713348,0.6461448669433594,0.19357334077358246
5,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_5.pt,10,0.5152462124824524,0.5669302344322205,0.849665105342865,0.6800824999809265,9705.0,14545.0,4840.0,0.49871200412158684,2.890495538711548,126,0.9462358198693709,0.682161271572113,0.17919288575649261,0.6841659545898438,0.21183046698570251
6,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_6.pt,10,0.43365827202796936,0.5001009702682495,0.76548171043396,0.6049674153327942,9705.0,14855.0,5150.0,0.5306543019062339,6.6267242431640625,146,0.9432514304947829,0.682161271572113,0.17456568777561188,0.6856422424316406,0.20348338782787323
7,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_7.pt,10,0.37039050459861755,0.520717978477478,0.5619783401489258,0.5405619740486145,9705.0,10474.0,769.0,0.07923750643997939,8.409685134887695,200,0.894118770288333,0.682161271572113,0.2239060252904892,0.6491165161132812,0.18730060756206512
8,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_8.pt,10,0.40411749482154846,0.5169839262962341,0.6492529511451721,0.575617790222168,9705.0,12188.0,2483.0,0.2558475012879959,6.688357353210449,205,0.8723334427305547,0.682161271572113,0.31095850467681885,0.6620597839355469,0.1946593075990677
9,/home/mcy/Geoflow/flowtrain_stochastic_interpolation-main/project/geodata-3d-conditional/dike-demo-manual/candidate_screening/cond_generation_1_label10/guided_alpha0_05/sample_9.pt,10,0.43590614199638367,0.5605267882347107,0.6622359752655029,0.6071512699127197,9705.0,11466.0,1761.0,0.18145285935085007,9.41621208190918,121,0.6283795569509856,0.682161271572113,0.322909951210022,0.6616249084472656,0.19761154055595398
