sample_id,class_id,truth_present,baseline_iou,guided_iou,delta_iou,baseline_precision,guided_precision,delta_precision,baseline_recall,guided_recall,delta_recall,baseline_predicted_volume,guided_predicted_volume,delta_predicted_volume,baseline_absolute_volume_error_fraction,guided_absolute_volume_error_fraction,delta_absolute_volume_error_fraction
7,0,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,291.0,100.0,-191.0,nan,nan,nan
7,1,True,0.41760097493036213,0.446662943311924,0.029061968381561887,0.6634673895004702,0.6803668749169215,0.016899485416451254,0.5298301415854925,0.5652817352505909,0.035451593665098424,36154.0,37615.0,1461.0,0.20142248139067434,0.16915159145627637,-0.03227088993439797
7,2,True,0.7116045275376993,0.720457807382328,0.008853279844628692,0.8626539827276314,0.8806567701304543,0.018002787402822906,0.8025285481239804,0.7984094616639478,-0.004119086460032673,22811.0,22230.0,-581.0,0.06969820554649266,0.0933931484502447,0.023694942903752042
7,3,True,0.15250909510885258,0.15529452409742614,0.002785428988573563,0.4868202764976958,0.48761525944675466,0.0007949829490588312,0.18172435147595128,0.1855776508635519,0.0038532993876006227,5425.0,5531.0,106.0,0.6267116218261887,0.6194178765568018,-0.007293745269386864
7,4,True,0.5393530897892194,0.5379071646285484,-0.001445925160670991,0.6279791299866878,0.6252107475937426,-0.00276838239294519,0.7926044362542513,0.7939052316364277,0.0013007953821764229,93148.0,93714.0,566.0,0.26215091936423623,0.2698201921383179,0.007669272774081692
7,5,True,0.25817793835932007,0.2552489723582839,-0.0029289660010361485,0.32279286926994905,0.32310328711637326,0.00031041784642421577,0.563273727647868,0.5486191937361126,-0.014654533911755419,32984.0,32095.0,-889.0,0.7450005290445455,0.6979684689450851,-0.04703206009946037
7,6,True,0.014153371075656201,0.015766923736075408,0.0016135526604192062,0.5892857142857143,0.5916398713826366,0.002354157096922327,0.014294377544832365,0.015940396777267607,0.0016460192324352415,280.0,311.0,31.0,0.9757428744693754,0.9730572641427705,-0.002685610326604859
7,7,False,nan,0.0,nan,nan,0.0,nan,nan,nan,nan,0.0,1.0,1.0,nan,nan,nan
7,8,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
7,9,True,0.02859647939569704,0.025298031605212087,-0.0032984477904849513,0.0674836861371956,0.06266094420600858,-0.004822741931187022,0.04727921498661909,0.04070026761819804,-0.006578947368421052,6283.0,5825.0,-458.0,0.2993978590544157,0.35046833184656556,0.05107047279214988
7,10,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,161.0,112.0,-49.0,nan,nan,nan
7,11,False,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,18.0,20.0,2.0,nan,nan,nan
7,12,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan
7,13,True,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
