sample_id,global_voxel_accuracy,global_mean_iou,target_iou,target_precision,target_recall,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_absolute_volume_error,target_absolute_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,selected_target_volume,predicted_target_volume_inside_roi,selected_volume_error,selected_volume_error_fraction,selected_absolute_volume_error,selected_absolute_volume_error_fraction,selected_roi_iou,selected_roi_precision,selected_roi_recall,selected_centroid_distance,selected_roi_connected_components,selected_roi_largest_component_fraction,inside_roi_voxel_accuracy,outside_roi_voxel_accuracy,outside_roi_target_iou,outside_roi_target_precision,outside_roi_target_recall,condition_violation_count,truth_present_mean_iou,target_tiny_component_mass_le_5,target_tiny_component_mass_fraction_le_5,target_top4_component_mass_fraction,target_top8_component_mass_fraction,target_components_ge_5,target_components_ge_10,target_components_ge_20,target_components_ge_100,target_component_1_voxels,target_component_2_voxels,target_component_3_voxels,target_component_4_voxels,target_component_5_voxels,target_component_6_voxels,target_component_7_voxels,target_component_8_voxels,hard_property_loss,hard_property_mae,property_confidence_fraction,hard_seismic_loss,hard_seismic_rmse_amplitude,hard_seismic_mae_amplitude,hard_observation_loss,hard_observation_mae,retained_role,paired_hard_change_count,paired_hard_change_fraction,paired_hard_change_inside_roi,paired_hard_change_outside_roi,paired_target_to_other_count,paired_other_to_target_count,paired_hard_change_inside_property_confidence,paired_hard_change_outside_property_confidence
0,0.5873655676841736,0.19290867447853088,0.02859647939569704,0.0674836861371956,0.04727921498661909,8968,6283,-2685,-0.2993978590544157,2685,0.2993978590544157,24.002561569213867,37,0.7243355085150406,8968,4825,-4143,-0.4619759143621766,4143,0.4619759143621766,0.03171516194180567,0.08787564766839379,0.04727921498661909,23.993736267089844,33,0.7231088082901554,0.5610397381615094,0.6206422333768824,0.0,0.0,nan,0,0.26524943113327026,34,0.005411427661944931,0.9697596689479548,0.9912462199586185,10,9,7,4,4551,979,350,213,63,36,21,15,1.325160026550293,1003584.125,0.7363777160644531,17.860631942749023,0.042261842638254166,0.013078358955681324,17.860631942749023,0.013078358955681324,initial_baseline,,,,,,,,
1,0.5898458361625671,0.17735008895397186,0.03210432249950354,0.07321859903381643,0.05408117752007136,8968,6624,-2344,-0.26137377341659235,2344,0.26137377341659235,25.244916915893555,39,0.7945350241545893,8968,5174,-3794,-0.42305976806422835,3794,0.42305976806422835,0.0355129237753533,0.0937379203710862,0.05408117752007136,25.44410514831543,32,0.781793583301121,0.5622637061751453,0.6247106282518509,0.0,0.0,nan,0,0.2660250961780548,40,0.006038647342995169,0.986262077294686,0.9939613526570048,8,8,4,3,5263,936,299,35,16,13,12,10,1.3411788940429688,1002474.6875,0.7363777160644531,17.792306900024414,0.042180925607681274,0.013012563809752464,17.792306900024414,0.013012563809752464,retained,5341,0.020374298095703125,2989,2352,514,855,5341,0
2,0.586732804775238,0.17695869505405426,0.03139327559857361,0.06819753769539355,0.054973238180196254,8968,7229,-1739,-0.19391168599464764,1739,0.19391168599464764,24.946685791015625,48,0.7981740213030848,8968,5641,-3327,-0.370985727029438,3327,0.370985727029438,0.034924907905922356,0.08739585179932637,0.054973238180196254,25.129838943481445,36,0.7890444956567985,0.5590451236207694,0.6217309587659584,0.0,0.0,nan,0,0.265438050031662,53,0.007331581131553465,0.9871351500899156,0.9926684188684466,9,6,4,3,5770,959,379,28,18,10,6,6,1.3632779121398926,1020261.5,0.7363777160644531,18.272897720336914,0.042746808379888535,0.0132478978484869,18.272897720336914,0.0132478978484869,retained,7796,0.0297393798828125,4367,3429,465,1411,7796,0
3,0.5880134701728821,0.16390466690063477,0.03062088735422503,0.06860312363158663,0.0524085637823372,8968,6851,-2117,-0.2360615521855486,2117,0.2360615521855486,24.40793228149414,65,0.879141731134141,8968,5348,-3620,-0.40365744870651205,3620,0.40365744870651205,0.03394482160912899,0.08788332086761406,0.0524085637823372,24.416261672973633,42,0.762902019446522,0.563841264948276,0.6185679250040111,0.0,0.0,nan,0,0.2663450539112091,67,0.009779594219821924,0.9556269157787184,0.9747482119398628,16,13,9,2,6023,372,99,53,49,29,28,25,1.3484210968017578,1008230.4375,0.7363777160644531,18.280004501342773,0.0427551195025444,0.013190396130084991,18.280004501342773,0.013190396130084991,retained,8677,0.033100128173828125,4649,4028,628,1196,8677,0
4,0.5893902778625488,0.19399389624595642,0.029201946796453097,0.0677075282114701,0.048840321141837645,8968,6469,-2499,-0.27865744870651205,2499,0.27865744870651205,24.50493621826172,66,0.8805070335445974,8968,4982,-3986,-0.4444692239072257,3986,0.4444692239072257,0.03241563055062167,0.08791649939783219,0.048840321141837645,24.8162841796875,39,0.755921316740265,0.5664161309917768,0.61843040179697,0.0,0.0,nan,0,0.2667416036128998,59,0.009120420466841861,0.9543978976657906,0.9701654042355851,22,15,7,3,5696,298,104,76,33,31,22,16,1.3288018703460693,1000258.5625,0.7363777160644531,18.18021011352539,0.04263825714588165,0.013169082812964916,18.18021011352539,0.013169082812964916,retained,9601,0.036624908447265625,5217,4384,819,1005,9601,0
5,0.5893902778625488,0.19399389624595642,0.029201946796453097,0.0677075282114701,0.048840321141837645,8968,6469,-2499,-0.27865744870651205,2499,0.27865744870651205,24.50493621826172,66,0.8805070335445974,8968,4982,-3986,-0.4444692239072257,3986,0.4444692239072257,0.03241563055062167,0.08791649939783219,0.048840321141837645,24.8162841796875,39,0.755921316740265,0.5664161309917768,0.61843040179697,0.0,0.0,nan,0,0.2667416036128998,59,0.009120420466841861,0.9543978976657906,0.9701654042355851,22,15,7,3,5696,298,104,76,33,31,22,16,1.3288018703460693,1000258.5625,0.7363777160644531,18.18021011352539,0.04263825714588165,0.013169082812964916,18.18021011352539,0.013169082812964916,retained,9601,0.036624908447265625,5217,4384,819,1005,9601,0
6,0.5917997360229492,0.17820803821086884,0.02518688127146609,0.05979216626698641,0.041703835860838534,8968,6255,-2713,-0.3025200713648528,2713,0.3025200713648528,25.172203063964844,63,0.8898481215027978,8968,4685,-4283,-0.47758697591436217,4283,0.47758697591436217,0.028164771443632802,0.07982924226254003,0.041703835860838534,25.70061492919922,46,0.7671291355389541,0.5700427028840312,0.6193013821082307,0.0,0.0,nan,0,0.26731204986572266,57,0.009112709832134292,0.9573141486810551,0.9720223820943246,21,13,8,3,5566,219,138,65,25,24,22,21,1.3088762760162354,993311.375,0.7363777160644531,17.711315155029297,0.04208480939269066,0.012984584085643291,17.711315155029297,0.012984584085643291,retained,11561,0.044101715087890625,6407,5154,1187,1159,11561,0
7,0.5941433906555176,0.1797197014093399,0.025298031605212087,0.06266094420600858,0.04070026761819804,8968,5825,-3143,-0.35046833184656556,3143,0.35046833184656556,25.05970573425293,62,0.711931330472103,8968,4297,-4671,-0.5208519179304193,4671,0.5208519179304193,0.028294573643410852,0.08494298347684431,0.04070026761819804,25.414424896240234,49,0.7398184780079125,0.5751743021115715,0.6181209745811272,0.0,0.0,nan,0,0.26957955956459045,58,0.009957081545064377,0.944892703862661,0.976137339055794,17,11,9,4,4147,892,282,183,74,54,30,24,1.2870452404022217,980774.6875,0.7363777160644531,17.653818130493164,0.042016446590423584,0.01294139213860035,17.653818130493164,0.01294139213860035,minimum_likelihood,12659,0.048290252685546875,7314,5345,1538,1080,12659,0
8,0.5931360721588135,0.1660347580909729,0.025826516124670407,0.06156325543916197,0.042595896520963426,8968,6205,-2763,-0.30809545049063336,2763,0.30809545049063336,24.362459182739258,74,0.8399677679290894,8968,4631,-4337,-0.4836083853702052,4337,0.4836083853702052,0.028902171445865172,0.08248758367523214,0.042595896520963426,24.833349227905273,45,0.7080544158928957,0.5749748406574975,0.6160925072772697,0.0,0.0,nan,0,0.26980647444725037,76,0.012248186946011281,0.9298952457695407,0.9593875906526994,22,15,11,3,5212,323,149,86,61,59,32,31,1.3042137622833252,989749.0,0.7363777160644531,17.73748207092285,0.04211588576436043,0.012972679920494556,17.73748207092285,0.012972679920494556,final,13639,0.052028656005859375,7813,5826,1527,1449,13639,0
