sample_id,delta_global_voxel_accuracy,delta_global_mean_iou,delta_truth_present_mean_iou,delta_hard_property_loss,delta_hard_property_mae,delta_target_iou,delta_target_precision,delta_target_recall,delta_target_absolute_volume_error_fraction,delta_target_centroid_distance,delta_target_connected_components,delta_largest_component_fraction,delta_target_components_ge_20,delta_target_components_ge_100,delta_target_tiny_component_mass_fraction_le_5,delta_target_top4_component_mass_fraction,delta_inside_roi_voxel_accuracy,delta_outside_roi_voxel_accuracy,delta_hard_seismic_loss,delta_hard_seismic_rmse_amplitude,delta_hard_seismic_mae_amplitude
1,0.0024802684783935547,-0.015558585524559021,0.0007756650447845459,0.01601886749267578,-1109.4375,0.0035078431038065017,0.005734912896620828,0.00680196253345227,-0.038024085637823335,1.2423553466796875,2.0,0.07019951563954874,-3.0,-1.0,0.000627219681050238,0.016502408346731112,0.00122396801363589,0.004068394874968462,-0.06832504272460938,-8.091703057289124e-05,-6.579514592885971e-05
2,-0.0006327629089355469,-0.015949979424476624,0.00018861889839172363,0.03811788558959961,16677.375,0.002796796202876574,0.0007138515581979477,0.0076940231935771625,-0.10548617305976804,0.9441242218017578,11.0,0.07383851278804421,-3.0,-1.0,0.0019201534696085343,0.017375481141960747,-0.001994614540740014,0.0010887253890760062,0.4122657775878906,0.0004849657416343689,0.00016953889280557632
3,0.0006479024887084961,-0.029004007577896118,0.0010956227779388428,0.023261070251464844,4646.3125,0.002024407958527992,0.001119437494391029,0.005129348795718108,-0.06333630686886707,0.40537071228027344,28.0,0.15480622261910038,2.0,-2.0,0.004368166557876993,-0.014132753169236456,0.002801526786766595,-0.0020743083728712586,0.41937255859375,0.0004932768642902374,0.00011203717440366745
4,0.002024710178375244,0.0010852217674255371,0.0014921724796295166,0.003641843795776367,-3325.5625,0.0006054674007560587,0.0002238420742744912,0.001561106155218553,-0.020740410347903637,0.5023746490478516,29.0,0.15617152502955678,0.0,-1.0,0.00370899280489693,-0.015361771282164205,0.0053763928302673625,-0.002211831579912449,0.3195781707763672,0.0003764145076274872,9.072385728359222e-05
5,0.002024710178375244,0.0010852217674255371,0.0014921724796295166,0.003641843795776367,-3325.5625,0.0006054674007560587,0.0002238420742744912,0.001561106155218553,-0.020740410347903637,0.5023746490478516,29.0,0.15617152502955678,0.0,-1.0,0.00370899280489693,-0.015361771282164205,0.0053763928302673625,-0.002211831579912449,0.3195781707763672,0.0003764145076274872,9.072385728359222e-05
6,0.004434168338775635,-0.014700636267662048,0.0020626187324523926,-0.016283750534057617,-10272.75,-0.0034095981242309482,-0.00769151987020919,-0.005575379125780558,0.0031222123104371335,1.1696414947509766,26.0,0.1655126129877572,1.0,-1.0,0.003701282170189361,-0.012445520266899712,0.009002964722521822,-0.0013408512686516882,-0.14931678771972656,-0.00017703324556350708,-9.377487003803253e-05
7,0.006777822971343994,-0.013188973069190979,0.00433012843132019,-0.03811478614807129,-22809.4375,-0.0032984477904849513,-0.004822741931187022,-0.006578947368421052,0.05107047279214988,1.0571441650390625,25.0,-0.012404178042937586,2.0,0.0,0.004545653883119446,-0.024866965085293846,0.014134563950062073,-0.0025212587957551547,-0.20681381225585938,-0.00024539604783058167,-0.00013696681708097458
8,0.005770504474639893,-0.026873916387557983,0.0045570433139801025,-0.020946264266967773,-13835.125,-0.002769963271026632,-0.005920430698033635,-0.004683318465655666,0.008697591436217678,0.3598976135253906,37.0,0.11563225941404887,4.0,-1.0,0.00683675928406635,-0.0398644231784141,0.013935102495988061,-0.004549726099612683,-0.12314987182617188,-0.0001459568738937378,-0.00010567903518676758
