level,control,step,temperature,soft_loss,hard_loss,soft_baseline_loss,hard_baseline_loss,truth_loss,soft_attainment,hard_attainment,soft_distance_to_baseline,soft_distance_to_truth,soft_distance_baseline_to_truth,soft_closer_to,soft_truth_direction_fraction,soft_orthogonal_response_fraction,hard_distance_to_baseline,hard_distance_to_truth,hard_distance_baseline_to_truth,hard_closer_to,hard_truth_direction_fraction,hard_orthogonal_response_fraction,raw_gradient_norm,gradient_norm_before_clip,actual_update_norm,cosine_negative_gradient_oracle_state_direction,directional_derivative_along_oracle,pre_projection_soft_loss,post_projection_soft_loss,pre_projection_hard_loss,post_projection_hard_loss,condition_projection_change_norm,projection_erasure_fraction,hard_label_flip_count,gradient_hidden_energy_fraction,gradient_fixed_drilled_energy_fraction,gradient_condition_energy_fraction,gradient_unconstrained_background_energy_fraction,gradient_outside_all_target_rois_energy_fraction,applied_update_hidden_energy_fraction,applied_update_fixed_drilled_energy_fraction,applied_update_condition_energy_fraction,applied_update_unconstrained_background_energy_fraction,applied_update_outside_all_target_rois_energy_fraction,hard_crossing_count,hard_crossing_rate,crossing_into_target,crossing_out_of_target,crossing_into_wrong_class,similarity_margin_mean,entropy_mean,target_probability_change_mean,margin_near_voxel_count,margin_near_target_probability_change_mean,margin_near_crossing_rate,margin_medium_voxel_count,margin_medium_target_probability_change_mean,margin_medium_crossing_rate,margin_high_voxel_count,margin_high_target_probability_change_mean,margin_high_crossing_rate,hard_flip_into_raw_label_-1,hard_flip_into_raw_label_0,hard_flip_into_raw_label_1,hard_flip_into_raw_label_2,hard_flip_into_raw_label_3,hard_flip_into_raw_label_4,hard_flip_into_raw_label_5,hard_flip_into_raw_label_6,hard_flip_into_raw_label_7,hard_flip_into_raw_label_8,hard_flip_into_raw_label_9,hard_flip_into_raw_label_10,hard_flip_into_raw_label_11,hard_flip_into_raw_label_12,hard_flip_into_raw_label_13,valid_interface_count,in_recording_window_interface_count,out_of_window_interface_count,cropped_interface_fraction,time_sample_boundary_distance_mean,reflectivity_rmse,arrival_twt_rmse_ms,deposited_spike_rmse,wavelet_amplitude_rmse
seismic,shuffled_xy,1,0.5,0.0004696001415140927,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.06858122433475622,nan,0.2753608469195874,24.89251146319859,24.985617885664062,baseline,0.003780186337875504,0.010352180924081031,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.9343664209591225e-06,2.9343664209591225e-06,2.256819725036621,1.7282826547670993e-06,-2.656016517832427e-10,0.0004696001415140927,0.0004696001415140927,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.005375878643246695,0.0,0.0,0.9946241213567534,0.9946241213567534,0.0032012668108879626,0.0,0.0,0.9967987331891119,0.9967987331891119,0,0.0,0,0,0,1.0714287757873535,2.303640365600586,-2.685398794710636e-05,0,nan,nan,0,nan,nan,161920,-2.685398794710636e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24183668196201324,0.03939202427864075,267.9895935058594,0.017545195296406746,0.02174271270632744
seismic,shuffled_xy,2,0.5,0.00046394867240451276,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.1326088977900935,nan,0.5342756061086209,24.812316709513336,24.985617885664062,baseline,0.007140606244838109,0.02015585181119729,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.7984353891952196e-06,2.7984353891952196e-06,2.2182302474975586,-0.039493538439273834,5.793614036520012e-06,0.00046394867240451276,0.00046394867240451276,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.006178136312858266,0.0,0.0,0.9938218636871415,0.9938218636871415,0.0033118374934876745,0.0,0.0,0.9966881625065125,0.9966881625065125,0,0.0,0,0,0,1.071085810661316,2.303656816482544,-2.6957290174323134e-05,0,nan,nan,0,nan,nan,161920,-2.6957290174323134e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.2414768785238266,0.039238180965185165,267.94476318359375,0.017484622076153755,0.02167266607284546
seismic,shuffled_xy,3,0.5,0.0004585734277497977,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.1935071178495897,nan,0.7815017402715684,24.743944054969937,24.985617885664062,baseline,0.010114897503827769,0.02959740019715075,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.726297907429398e-06,2.726297907429398e-06,2.188328981399536,-0.07602245360612869,1.0894245860981755e-05,0.0004585734277497977,0.0004585734277497977,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.00704284941608474,0.0,0.0,0.9929571505839152,0.9929571505839152,0.00341493988775745,0.0,0.0,0.9965850601122427,0.9965850601122427,0,0.0,0,0,0,1.0706859827041626,2.3037047386169434,-2.7090512958238833e-05,0,nan,nan,0,nan,nan,161920,-2.7090512958238833e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24109932780265808,0.0391075499355793,267.9039611816406,0.017432579770684242,0.021612947806715965
seismic,shuffled_xy,4,0.5,0.0004534300824161619,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.2517780610512141,nan,1.0200310793713903,24.68647999350142,24.985617885664062,baseline,0.012734063255331008,0.038787912187762605,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.715229584282497e-06,2.715229584282497e-06,2.163544178009033,-0.10838516056537628,1.5536381397396326e-05,0.0004534300824161619,0.0004534300824161619,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.007871033768057109,0.0,0.0,0.9921289662319431,0.9921289662319431,0.0035103742445409115,0.0,0.0,0.996489625755459,0.996489625755459,0,0.0,0,0,0,1.070230484008789,2.3037819862365723,-2.6730847821454518e-05,0,nan,nan,0,nan,nan,161920,-2.6730847821454518e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24093790352344513,0.03899865970015526,267.8677673339844,0.017388489097356796,0.02156275324523449
seismic,shuffled_xy,5,0.5,0.0004484887176658958,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.30776068831488285,nan,1.253608532787206,24.63923037151196,24.985617885664062,baseline,0.015026053285566507,0.04787032735356525,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.7956411940976977e-06,2.7956411940976977e-06,2.1086058616638184,-0.13169614970684052,1.9551775039872155e-05,0.0004484887176658958,0.0004484887176658958,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.008342344449501111,0.0,0.0,0.991657655550499,0.991657655550499,0.003713584457215146,0.0,0.0,0.9962864155427846,0.9962864155427846,0,0.0,0,0,0,1.0697276592254639,2.303886890411377,-2.261095869471319e-05,0,nan,nan,0,nan,nan,161920,-2.261095869471319e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.2408115416765213,0.03891034796833992,267.8433532714844,0.017351845279335976,0.02152148261666298
seismic,shuffled_xy,6,0.5,0.00044371714466251433,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.361819679385175,nan,1.485185516621135,24.601454319824416,24.985617885664062,baseline,0.01702383946780524,0.056951687095973896,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.886562697312911e-06,2.886562697312911e-06,2.0759031772613525,-0.1527525782585144,2.358480924158357e-05,0.00044371714466251433,0.00044371714466251433,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.008819440077307865,0.0,0.0,0.991180559922692,0.991180559922692,0.00384823615258974,0.0,0.0,0.9961517638474102,0.9961517638474102,0,0.0,0,0,0,1.0692272186279297,2.3040153980255127,-1.9768312995438464e-05,0,nan,nan,0,nan,nan,161920,-1.9768312995438464e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.2406356781721115,0.038841333240270615,267.8274841308594,0.017322078347206116,0.021488485857844353
seismic,shuffled_xy,7,0.5,0.0004390314279589802,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.4149059713175754,nan,1.718301122358701,24.57261359838852,24.985617885664062,baseline,0.018757832631384672,0.06616402195362543,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.9551035822805716e-06,2.9551035822805716e-06,2.0268940925598145,-0.17346788942813873,2.764997407211922e-05,0.0004390314279589802,0.0004390314279589802,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.009779661919927655,0.0,0.0,0.9902203380800723,0.9902203380800723,0.004056767713288087,0.0,0.0,0.995943232286712,0.995943232286712,0,0.0,0,0,0,1.068699598312378,2.304164409637451,-1.9042427084059455e-05,0,nan,nan,0,nan,nan,161920,-1.9042427084059455e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24051690101623535,0.038790371268987656,267.81524658203125,0.017298726364970207,0.021463295444846153
seismic,shuffled_xy,8,0.5,0.00043455377453938127,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.4656350340510644,nan,1.951623638685483,24.55199083506635,24.985617885664062,baseline,0.02025504371716347,0.07543796595300895,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.9151483431633096e-06,2.9151483431633096e-06,1.9947938919067383,-0.19080112874507904,3.028528044524137e-05,0.00043455377453938127,0.00043455377453938127,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.0062229768415048604,0.0,0.0,0.9937770231584954,0.9937770231584954,0.004092702782846146,0.0,0.0,0.995907297217154,0.995907297217154,0,0.0,0,0,0,1.0681360960006714,2.3043313026428223,-1.9172115571564063e-05,0,nan,nan,0,nan,nan,161920,-1.9172115571564063e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24049445986747742,0.03875623270869255,267.80413818359375,0.017281118780374527,0.02144528180360794
seismic,shuffled_xy,9,0.5,0.00043007644126191735,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.5163604697708188,nan,2.193214171053803,24.539546161181406,24.985617885664062,baseline,0.02154635442523232,0.0850935886264925,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.8978020054637454e-06,2.8978020054637454e-06,1.992020606994629,-0.20602747797966003,3.284394188085571e-05,0.00043007644126191735,0.00043007644126191735,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.00591540614717751,0.0,0.0,0.9940845938528226,0.9940845938528226,0.00404825410023254,0.0,0.0,0.9959517458997674,0.9959517458997674,0,0.0,0,0,0,1.0675524473190308,2.3045125007629395,-2.08032888622256e-05,0,nan,nan,0,nan,nan,161920,-2.08032888622256e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24051620066165924,0.038737647235393524,267.7911682128906,0.017269419506192207,0.02143441140651703
seismic,shuffled_xy,10,0.5,0.00042549590580165386,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.5682551228271715,nan,2.4463915925771715,24.53522439884954,24.985617885664062,baseline,0.02265701828840682,0.09525448806347044,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.961396148748463e-06,2.961396148748463e-06,2.019810676574707,-0.19976095855236053,3.290853783255443e-05,0.00042549590580165386,0.00042549590580165386,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.005298828302770376,0.0,0.0,0.9947011716972293,0.9947011716972293,0.003888563676504047,0.0,0.0,0.9961114363234961,0.9961114363234961,0,0.0,0,0,0,1.0669270753860474,2.3047070503234863,-2.377985219936818e-05,0,nan,nan,0,nan,nan,161920,-2.377985219936818e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24060285091400146,0.038732968270778656,267.7729187011719,0.017263758927583694,0.021430637687444687
seismic,shuffled_xy,11,0.5,0.0004218147078063339,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.6099608348462378,nan,2.6807689925134794,24.535534094399136,24.985617885664062,baseline,0.023607306203037096,0.1046631362531974,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,3.4189272355433786e-06,3.4189272355433786e-06,1.975773572921753,-0.17175588011741638,3.305634163552895e-05,0.0004218147078063339,0.0004218147078063339,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.0036786834266205578,0.0,0.0,0.9963213165733794,0.9963213165733794,0.004000598109189779,0.0,0.0,0.99599940189081,0.99599940189081,0,0.0,0,0,0,1.0662784576416016,2.3049137592315674,-2.1402278434834443e-05,0,nan,nan,0,nan,nan,161920,-2.1402278434834443e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24076469242572784,0.03874093294143677,267.7593688964844,0.017260344699025154,0.021430907770991325
seismic,shuffled_xy,12,0.5,0.0004184477438684553,0.0003108970704488456,0.0004756535345222801,0.0003108970704488456,0.00038738749572075903,0.6481064680206199,nan,2.9180407736987757,24.54214725435591,24.985617885664062,baseline,0.02441133583557382,0.11420908297899228,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.931436483777361e-06,2.931436483777361e-06,1.8993076086044312,-0.20998956263065338,3.507678411551751e-05,0.0004184477438684553,0.0004184477438684553,0.0003108970704488456,0.0003108970704488456,0.0,0.0,0,0.00456471993672967,0.0,0.0,0.9954352800632702,0.9954352800632702,0.004238405779289546,0.0,0.0,0.9957615942207104,0.9957615942207104,0,0.0,0,0,0,1.0656009912490845,2.305121898651123,-1.7884680346469395e-05,0,nan,nan,0,nan,nan,161920,-1.7884680346469395e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24097025394439697,0.0387599803507328,267.75384521484375,0.017261162400245667,0.02143668383359909
