level,control,step,temperature,soft_loss,hard_loss,soft_baseline_loss,hard_baseline_loss,truth_loss,soft_attainment,hard_attainment,soft_distance_to_baseline,soft_distance_to_truth,soft_distance_baseline_to_truth,soft_closer_to,soft_truth_direction_fraction,soft_orthogonal_response_fraction,hard_distance_to_baseline,hard_distance_to_truth,hard_distance_baseline_to_truth,hard_closer_to,hard_truth_direction_fraction,hard_orthogonal_response_fraction,raw_gradient_norm,gradient_norm_before_clip,actual_update_norm,cosine_negative_gradient_oracle_state_direction,directional_derivative_along_oracle,pre_projection_soft_loss,post_projection_soft_loss,pre_projection_hard_loss,post_projection_hard_loss,condition_projection_change_norm,projection_erasure_fraction,hard_label_flip_count,gradient_hidden_energy_fraction,gradient_fixed_drilled_energy_fraction,gradient_condition_energy_fraction,gradient_unconstrained_background_energy_fraction,gradient_outside_all_target_rois_energy_fraction,applied_update_hidden_energy_fraction,applied_update_fixed_drilled_energy_fraction,applied_update_condition_energy_fraction,applied_update_unconstrained_background_energy_fraction,applied_update_outside_all_target_rois_energy_fraction,hard_crossing_count,hard_crossing_rate,crossing_into_target,crossing_out_of_target,crossing_into_wrong_class,similarity_margin_mean,entropy_mean,target_probability_change_mean,margin_near_voxel_count,margin_near_target_probability_change_mean,margin_near_crossing_rate,margin_medium_voxel_count,margin_medium_target_probability_change_mean,margin_medium_crossing_rate,margin_high_voxel_count,margin_high_target_probability_change_mean,margin_high_crossing_rate,hard_flip_into_raw_label_-1,hard_flip_into_raw_label_0,hard_flip_into_raw_label_1,hard_flip_into_raw_label_2,hard_flip_into_raw_label_3,hard_flip_into_raw_label_4,hard_flip_into_raw_label_5,hard_flip_into_raw_label_6,hard_flip_into_raw_label_7,hard_flip_into_raw_label_8,hard_flip_into_raw_label_9,hard_flip_into_raw_label_10,hard_flip_into_raw_label_11,hard_flip_into_raw_label_12,hard_flip_into_raw_label_13,valid_interface_count,in_recording_window_interface_count,out_of_window_interface_count,cropped_interface_fraction,time_sample_boundary_distance_mean,reflectivity_rmse,arrival_twt_rmse_ms,deposited_spike_rmse,wavelet_amplitude_rmse
seismic,correct,1,0.5,0.00047116351197473705,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.01076066801689321,0.0,0.25047435503700444,24.850824327046833,24.985617885664062,baseline,0.005430541453961001,0.00842642612603958,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.679832732610521e-06,2.679832732610521e-06,2.094417095184326,-6.544613279402256e-05,9.185299632008537e-09,0.00047116351197473705,0.00047116351197473705,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.27633471478645877,0.0,0.0,0.7236652852135411,0.7236652852135411,0.17632879446927163,0.0,0.0,0.8236712055307284,0.8236712055307284,0,0.0,0,0,0,1.0714287757873535,2.303640365600586,-2.6954136046697386e-05,0,nan,nan,0,nan,nan,161920,-2.6954136046697386e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24184726178646088,0.039398062974214554,267.98944091796875,0.017520591616630554,0.02170630171895027
seismic,correct,2,0.5,0.0004664404259528965,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.020677103272165768,0.0,0.4822998623698694,24.725954011166564,24.985617885664062,baseline,0.010524836087125938,0.01618139260902924,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.529218818381196e-06,2.529218818381196e-06,2.0530004501342773,-0.020427750423550606,2.7098224109067814e-06,0.0004664404259528965,0.0004664404259528965,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.33047549119468683,0.0,0.0,0.6695245088053132,0.6695245088053132,0.185579227205948,0.0,0.0,0.8144207727940519,0.8144207727940519,0,0.0,0,0,0,1.0711404085159302,2.303654432296753,-2.668257184268441e-05,0,nan,nan,0,nan,nan,161920,-2.668257184268441e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24149814248085022,0.039248157292604446,267.9452209472656,0.01743290200829506,0.021597232669591904
seismic,correct,3,0.5,0.00046200930955819786,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.02998052875148448,0.0,0.6995328067723063,24.608225568696493,24.985617885664062,baseline,0.01538223854734968,0.023393208291278052,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.4374564873141935e-06,2.4374564873141935e-06,2.018531084060669,-0.03588085621595383,4.599502062774263e-06,0.00046200930955819786,0.00046200930955819786,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.39251876993340723,0.0,0.0,0.6074812300665927,0.6074812300665927,0.19613724878941208,0.0,0.0,0.8038627512105879,0.8038627512105879,0,0.0,0,0,0,1.070807695388794,2.3036954402923584,-2.633509211591445e-05,0,nan,nan,0,nan,nan,161920,-2.633509211591445e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24112549424171448,0.03911922872066498,267.9060363769531,0.01734967902302742,0.02149440161883831
seismic,correct,4,0.5,0.000457810761872679,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.03879566065827057,0.0,0.9058852628871602,24.496156914147843,24.985617885664062,baseline,0.020055088669285417,0.030204476511503726,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.403635335213039e-06,2.403635335213039e-06,1.9893901348114014,-0.04601559787988663,5.839626282977406e-06,0.000457810761872679,0.000457810761872679,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.45596320948350094,0.0,0.0,0.5440367905164991,0.5440367905164991,0.20751453774364312,0.0,0.0,0.7924854622563569,0.7924854622563569,0,0.0,0,0,0,1.0704337358474731,2.3037619590759277,-2.590514486655593e-05,0,nan,nan,0,nan,nan,161920,-2.590514486655593e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24094605445861816,0.03900959715247154,267.8713684082031,0.017269760370254517,0.021396512165665627
seismic,correct,5,0.5,0.000453889457276091,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.04702870214183734,0.0,1.1033877926084796,24.39102231741994,24.985617885664062,baseline,0.02448944554396028,0.03674851873797646,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.4532448605896207e-06,2.4532448605896207e-06,1.9266045093536377,-0.026777062565088272,3.4858323942899005e-06,0.000453889457276091,0.000453889457276091,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.5293586532281582,0.0,0.0,0.47064134677184183,0.47064134677184183,0.21895296805917447,0.0,0.0,0.7810470319408256,0.7810470319408256,0,0.0,0,0,0,1.0700223445892334,2.3038511276245117,-2.330544521100819e-05,0,nan,nan,0,nan,nan,161920,-2.330544521100819e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24081489443778992,0.038918860256671906,267.8431396484375,0.017195124179124832,0.02130468189716339
seismic,correct,6,0.5,0.00045011480688117445,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.05495383331230288,0.0,1.2986224443998244,24.28939062591259,24.985617885664062,baseline,0.028827578104066904,0.04324754762580635,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.499494712537853e-06,2.499494712537853e-06,1.8707540035247803,-0.023050250485539436,3.074957248827559e-06,0.00045011480688117445,0.00045011480688117445,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.5913876031116979,0.0,0.0,0.40861239688830214,0.40861239688830214,0.23187024119347385,0.0,0.0,0.7681297588065261,0.7681297588065261,0,0.0,0,0,0,1.069603443145752,2.3039603233337402,-2.114741255354602e-05,0,nan,nan,0,nan,nan,161920,-2.114741255354602e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24061961472034454,0.03884553164243698,267.8203125,0.01712343841791153,0.021215910091996193
seismic,correct,7,0.5,0.0004465128295123577,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.0625164259061402,0.0,1.493565928539358,24.192008788209073,24.985617885664062,baseline,0.03304485033100303,0.04981295712086714,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.586215259725577e-06,2.586215259725577e-06,1.818048357963562,-0.015226970426738262,2.1153571196919074e-06,0.0004465128295123577,0.0004465128295123577,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.646849250012264,0.0,0.0,0.3531507499877359,0.3531507499877359,0.24625253595605662,0.0,0.0,0.7537474640439433,0.7537474640439433,0,0.0,0,0,0,1.0691757202148438,2.3040857315063477,-1.9198570953449234e-05,0,nan,nan,0,nan,nan,161920,-1.9198570953449234e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24046479165554047,0.03878818824887276,267.8021545410156,0.01705530285835266,0.021130850538611412
seismic,correct,8,0.5,0.0004432322457432747,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.06940423112399485,0.0,1.6823994697389386,24.102973956013454,24.985617885664062,baseline,0.03696909572987076,0.05627832496272698,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.476720055710757e-06,2.476720055710757e-06,1.7755577564239502,-0.049893222749233246,6.684363142994698e-06,0.0004432322457432747,0.0004432322457432747,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.5758617338361767,0.0,0.0,0.42413826616382333,0.42413826616382333,0.25469521845147924,0.0,0.0,0.7453047815485209,0.7453047815485209,0,0.0,0,0,0,1.0687403678894043,2.304224729537964,-1.849522413976956e-05,0,nan,nan,0,nan,nan,161920,-1.849522413976956e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.2403973937034607,0.0387452207505703,267.7873840332031,0.016993120312690735,0.02105308137834072
seismic,correct,9,0.5,0.00043992549763061106,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.07634697013257742,0.0,1.8791474831231916,24.01289404978923,24.985617885664062,baseline,0.04100173435717265,0.06304979325742972,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.3648833575862227e-06,2.3648833575862227e-06,1.7683275938034058,-0.0938478633761406,1.2097941180400085e-05,0.00043992549763061106,0.00043992549763061106,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.5181509194039078,0.0,0.0,0.48184908059609205,0.48184908059609205,0.26117901664427223,0.0,0.0,0.7388209833557278,0.7388209833557278,0,0.0,0,0,0,1.0682896375656128,2.3043739795684814,-2.01725160877686e-05,0,nan,nan,0,nan,nan,161920,-2.01725160877686e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.2403915673494339,0.03871357440948486,267.77301025390625,0.016927937045693398,0.020974401384592056
seismic,correct,10,0.5,0.00043676942004822195,7.895786984590814e-05,0.00047628869651816785,7.895786984590814e-05,0.0,0.08297336627731298,0.0,2.080718862624825,23.92660455908096,24.985617885664062,baseline,0.04495417712118067,0.07010081626160257,0.0,10.173084561171867,10.173084561171867,baseline,0.0,0.0,2.3656205030420097e-06,2.3656205030420097e-06,1.7779793739318848,-0.09671957045793533,1.2579552276292816e-05,0.00043676942004822195,0.00043676942004822195,7.895786984590814e-05,7.895786984590814e-05,0.0,0.0,0,0.5107491796641409,0.0,0.0,0.48925082033585904,0.48925082033585904,0.26484495070698844,0.0,0.0,0.7351550492930117,0.7351550492930117,0,0.0,0,0,0,1.0677947998046875,2.3045337200164795,-2.1144131096662022e-05,0,nan,nan,0,nan,nan,161920,-2.1144131096662022e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225280,225280,0,0.0,0.24044376611709595,0.03869212046265602,267.7593688964844,0.016864268109202385,0.020899029448628426
