iteration,accepted,accepted_flip_count,hard_rmse,hard_attainment,positive_action_count,gradient_norm,predicted_hidden_voxels,truth_hidden_voxels,hidden_true_positive_voxels,hidden_precision,hidden_recall,hidden_iou,hidden_false_positive_voxels,hidden_body_0_recall,hidden_body_1_recall
0,True,0,0.06987712532281876,0.0,0,,0,1280,0,0.0,0.0,0.0,0,0.0,0.0
1,True,512,0.05412658676505089,0.22540335603394435,1280,0.055901702493429184,512,1280,512,1.0,0.4,0.4,0,0.800000011920929,0.0
2,True,512,0.03125,0.552786411066124,768,0.04330126941204071,1024,1280,1024,1.0,0.8,0.8,0,1.0,0.6000000238418579
3,True,256,0.0,1.0,256,0.02500000223517418,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
4,False,0,0.0,1.0,0,0.0,1280,1280,1280,1.0,1.0,1.0,0,1.0,1.0
