run_index,seed,initial_seismic_mse,final_seismic_mse,initial_seismic_rmse,final_seismic_rmse,loss_reduction_fraction,final_q_min,final_q_mean,final_q_max,runtime_seconds,coarse_occupancy_tensor_sha256
0,151700,0.0009456343832425773,0.0007050923886708915,0.03075116881099932,0.02655357581703247,0.25437103264674876,0.14497129619121552,0.5545685291290283,0.9378423690795898,2.984948816942051,3c0ef79bc691a38e33cdea6bc963d6b756efeeacb8c552d1246b426d759aa5a0
1,151701,0.0008542230352759361,0.0007050076383166015,0.029227094198293748,0.026551979932136916,0.17467966888897368,0.1743469089269638,0.45952922105789185,0.8071348071098328,2.7807506741955876,7cbde0398361abfa4a5192c1baf290860bb9ad8b988791c33de8fb37ff1be77e
2,151702,0.0009134454885497689,0.0007049764390103519,0.03022326072001115,0.02655139241189343,0.22822275894141505,0.20287160575389862,0.5332818627357483,0.8682494163513184,2.7697623940184712,e6fc26e530516cc124b34f89538a703eb57db2c079bd932b33629e4142ce970f
3,151703,0.0009199375635944307,0.0007050119456835091,0.03033047252507667,0.026552061043985064,0.23363065757544715,0.14938344061374664,0.4462674558162689,0.7701625823974609,2.7701874510385096,4b1002136d5fb5449c807a67e8f917e7b07854bbd348a30f3d772fefe6e5316a
4,151704,0.000861811451613903,0.0007049376145005226,0.029356625344441466,0.02655066128179339,0.18202802575854016,0.15946844220161438,0.6029275059700012,0.9584218263626099,2.7711337280925363,52c1ac1c638cd6c039b77070cf83fe025d599458676f5b06efe96dc51e63cb15
5,151705,0.0008815953624434769,0.0007049159030430019,0.02969167160069431,0.026550252410156138,0.20040878948226404,0.16504719853401184,0.5050092339515686,0.815523624420166,2.7592175561003387,322875623c9690862bcf9001c44407555782f8bed066bac8c7efb9446cf83bd5
6,151706,0.0009120152681134641,0.0007048845291137695,0.030199590528903933,0.02654966156307401,0.22711323619411752,0.2010536938905716,0.5659648180007935,0.894764244556427,2.758897945052013,dc756a4a422eb97c4204d79d23549f51a4c16f7717ea1c46b78052a14b0268f7
7,151707,0.001013430766761303,0.0007047647377476096,0.03183442738233724,0.026547405480528783,0.3045753485461277,0.19109009206295013,0.48027604818344116,0.8203464150428772,2.7508762390352786,f59e870305687340868b571dd53091819b91c7e9a9e20b1735225934f17ce2c0
