sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,retrospective_only,used_for_ranking
0,0,True,226903,216097,-10806,0.04762387451906762,0.9385781426408423,0.9925265043013092,0.9452585466036147,candidate_000000,True,False
0,9,True,2473,10754,8281,3.348564496562879,0.06928051738075991,0.07969127766412498,0.34654266073594825,candidate_000000,True,False
1,0,True,226903,211303,-15600,0.06875184550226308,0.9223524147521638,0.995030832501195,0.9266206264350846,candidate_000001,True,False
1,9,True,2473,15758,13285,5.372017792155277,0.08112435509695784,0.08681304734103312,0.5531742822482815,candidate_000001,True,False
2,0,True,226903,205939,-20964,0.09239190314804123,0.8993295069594369,0.9951976070584008,0.9032494061338986,candidate_000002,True,False
2,9,True,2473,20924,18451,7.460978568540234,0.06592255125284738,0.06915503727776716,0.5851192883137889,candidate_000002,True,False
3,0,True,226903,217630,-9273,0.04086768354759523,0.9500824720560108,0.9951615126591004,0.954491566881002,candidate_000003,True,False
3,9,True,2473,10430,7957,3.21754953497776,0.11338338079213046,0.12598274209012464,0.5313384553174282,candidate_000003,True,False
4,0,True,226903,211673,-15230,0.06712119275637607,0.9247185833717333,0.9954552540947593,0.9286391101043177,candidate_000004,True,False
4,9,True,2473,16158,13685,5.533764658309745,0.08813222754351127,0.09339027107315262,0.6101900525677315,candidate_000004,True,False
5,0,True,226903,211989,-14914,0.0657285271679969,0.924711660746393,0.9946836864176914,0.929304592711423,candidate_000005,True,False
5,9,True,2473,16152,13679,5.531338455317428,0.07752386462250506,0.0829618623080733,0.5418520016174687,candidate_000005,True,False
6,0,True,226903,215907,-10996,0.04846123673992852,0.9403704498946142,0.9939510993159092,0.9457829997840487,candidate_000006,True,False
6,9,True,2473,10818,8345,3.374443995147594,0.07863983119623438,0.08957293399889074,0.3918317832591994,candidate_000006,True,False
7,0,True,226903,212700,-14203,0.06259502959414376,0.9267650204246217,0.9941090738128819,0.9318827869177578,candidate_000007,True,False
7,9,True,2473,13792,11319,4.577031945006065,0.08065909241910836,0.08802204176334107,0.49090173877881116,candidate_000007,True,False
8,0,True,226903,216809,-10094,0.044485969775631,0.943181967478749,0.9933582092994294,0.9491677060241601,candidate_000008,True,False
8,9,True,2473,12041,9568,3.8689850384148805,0.07662636302944885,0.08579021675940536,0.41771128184391426,candidate_000008,True,False
9,0,True,226903,200121,-26782,0.11803281578471858,0.8711068267461222,0.9934189815161827,0.8761629418738404,candidate_000009,True,False
9,9,True,2473,27220,24747,10.006874241811564,0.04036298658070846,0.042321822189566496,0.4658309745248686,candidate_000009,True,False
10,0,True,226903,207226,-19677,0.08671987589410453,0.9060307508583371,0.9958354646617702,0.9094767367553536,candidate_000010,True,False
10,9,True,2473,20495,18022,7.287505054589567,0.07497893850042123,0.07816540619663333,0.6477961989486454,candidate_000010,True,False
11,0,True,226903,213717,-13186,0.05811293812774622,0.9290073461811241,0.9929111862884095,0.935210199953284,candidate_000011,True,False
11,9,True,2473,12824,10351,4.185604528912252,0.06681079573191993,0.07470368059887711,0.3873837444399515,candidate_000011,True,False
12,0,True,226903,209974,-16929,0.07460897387870588,0.9148338403008495,0.9940421195005096,0.9198776569723627,candidate_000012,True,False
12,9,True,2473,15609,13136,5.311767084512738,0.07241563371093054,0.07822410147991543,0.4937323089365144,candidate_000012,True,False
13,0,True,226903,203045,-23858,0.10514625192262773,0.8838612434111652,0.9934792779925632,0.8890186555488468,candidate_000013,True,False
