sample_id,step,t,w_t,tau,scale_0_sigma,scale_0_loss,scale_0_target_std_mean,property_loss,property_mae_mean,confidence_fraction,soft_class_entropy_confident_mean,predicted_property_min,predicted_property_max,raw_grad_norm,used_grad_norm,prior_velocity_norm,guidance_velocity_norm,guided_velocity_norm,requested_guidance_ratio,used_guidance_ratio,uncapped_guidance_ratio,guidance_cap_fraction,guidance_gradient_reference_norm,guidance_gradient_reference_ratio,effective_guidance_ratio,continuous_step_norm,condition_projection_norm,initial_condition_projection_norm,pre_projection_condition_violations,post_projection_condition_violations,hard_change_count,hard_change_fraction,hard_change_inside_confidence,hard_change_outside_confidence,alpha,property_loss_mode,guidance_scaling_mode,guidance_reference_policy
0,0,0.015625,0.0,0.49975909124103446,0.0,30.032344818115234,0.1537216603755951,30.032344818115234,0.74573814868927,0.7363777160644531,2.57822585105896,12.296625137329102,16.0828800201416,0.0,0.0,1773.5841064453125,0.0,1773.5841064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4033317565918,1.5318021774291992,1051.72021484375,0,0,904,0.003448486328125,904,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,1,0.046875,0.0,0.4978353019929562,0.0,30.119789123535156,0.1537216603755951,30.119789123535156,0.7463276386260986,0.7363777160644531,2.5772457122802734,12.276958465576172,16.08430290222168,0.0,0.0,1772.2952880859375,0.0,1772.2952880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.361026763916016,1.6029452085494995,0.0,0,0,996,0.0037994384765625,996,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,2,0.078125,0.0,0.4940062506389088,0.0,30.256128311157227,0.1537216603755951,30.256128311157227,0.746970534324646,0.7363777160644531,2.5752670764923096,12.237226486206055,16.087255477905273,0.0,0.0,1772.0030517578125,0.0,1772.0030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.351600646972656,1.6130620241165161,0.0,0,0,1100,0.0041961669921875,1100,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,3,0.109375,0.0,0.4883088130366042,0.0,30.445545196533203,0.1537216603755951,30.445545196533203,0.7476893067359924,0.7363777160644531,2.5722408294677734,12.176660537719727,16.091758728027344,0.0,0.0,1770.676513671875,0.0,1770.676513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30962371826172,1.6300691366195679,0.0,0,0,1133,0.004322052001953125,1133,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,4,0.140625,0.0,0.48079785862468866,0.0,30.689252853393555,0.1537216603755951,30.689252853393555,0.7484519481658936,0.7363777160644531,2.5680925846099854,12.094098091125488,16.097829818725586,0.0,0.0,1770.586669921875,0.0,1770.586669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.306617736816406,1.6368591785430908,0.0,0,0,1412,0.0053863525390625,1412,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,5,0.171875,0.0,0.4715457220000544,0.0,30.994770050048828,0.1537216603755951,30.994770050048828,0.749287486076355,0.7363777160644531,2.5627174377441406,11.987942695617676,16.105491638183594,0.0,0.0,1770.6107177734375,0.0,1770.6107177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.307491302490234,1.6327883005142212,0.0,0,0,1580,0.0060272216796875,1580,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,6,0.203125,0.0,0.460641506296129,0.0,31.3615665435791,0.1537216603755951,31.3615665435791,0.7500995993614197,0.7363777160644531,2.5559773445129395,11.856217384338379,16.114776611328125,0.0,0.0,1769.9136962890625,0.0,1769.9136962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28583908081055,1.6279182434082031,0.0,0,0,1690,0.00644683837890625,1690,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,7,0.234375,0.0,0.4481902250709918,0.0,31.79759979248047,0.1537216603755951,31.79759979248047,0.7508755326271057,0.7363777160644531,2.54769229888916,11.696510314941406,16.125722885131836,0.0,0.0,1771.181640625,0.0,1771.181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.326419830322266,1.595818281173706,0.0,0,0,1974,0.00753021240234375,1974,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,8,0.265625,0.06540312923014306,0.43431179096940364,0.0,32.312225341796875,0.1537216603755951,32.312225341796875,0.7515914440155029,0.7363777160644531,2.5376346111297607,11.506089210510254,16.138370513916016,0.0,0.0,1774.704345703125,0.0,1774.704345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.43724822998047,1.5711978673934937,0.0,0,0,2275,0.008678436279296875,2275,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,9,0.296875,0.19509032201612825,0.4191398608984867,0.0,32.92145919799805,0.1537216603755951,32.92145919799805,0.7522661089897156,0.7363777160644531,2.5255167484283447,11.281942367553711,16.153844833374023,0.0,0.0,1774.9305419921875,0.0,1774.9305419921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44480895996094,1.5537446737289429,0.0,0,0,2583,0.009853363037109375,2583,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,10,0.328125,0.3214394653031616,0.4028205488386443,0.0,33.6419677734375,0.1537216603755951,33.6419677734375,0.7528887987136841,0.7363777160644531,2.510974884033203,11.021017074584961,16.173370361328125,0.0,0.0,1774.3590087890625,0.0,1774.3590087890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4256477355957,1.5994468927383423,0.0,0,0,3180,0.0121307373046875,3180,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,11,0.359375,0.4422886902190013,0.3855110186860564,0.0,34.49162292480469,0.1537216603755951,34.49162292480469,0.7534090280532837,0.7363777160644531,2.493541955947876,10.720544815063477,16.19515609741211,0.0,0.0,1772.5709228515625,0.0,1772.5709228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.36854553222656,1.640450358390808,0.0,0,0,3684,0.0140533447265625,3684,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,12,0.390625,0.5555702330196022,0.367377970678444,0.0,35.49559020996094,0.1537216603755951,35.49559020996094,0.7538099884986877,0.7363777160644531,2.4726295471191406,10.378625869750977,16.219287872314453,0.0,0.0,1770.695556640625,0.0,1770.695556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.30827713012695,1.6947987079620361,0.0,0,0,4349,0.016590118408203125,4349,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,13,0.421875,0.6593458151000688,0.3485960359806528,0.0,36.6673583984375,0.1537216603755951,36.6673583984375,0.7538933157920837,0.7363777160644531,2.4474849700927734,9.99500560760498,16.24580192565918,0.0,0.0,1769.729736328125,0.0,1769.729736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.27592849731445,1.7637226581573486,0.0,0,0,5178,0.01975250244140625,5178,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,14,0.453125,0.7518398074789773,0.32934609489107236,0.0,38.035194396972656,0.1537216603755951,38.035194396972656,0.7535309791564941,0.7363777160644531,2.417128562927246,9.572144508361816,16.280574798583984,0.0,0.0,1768.8878173828125,0.0,1768.8878173828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.24646759033203,1.8591753244400024,0.0,0,0,6001,0.022891998291015625,6001,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
0,15,0.484375,0.8314696123025452,0.3098135348654836,0.0,39.60078811645508,0.1537216603755951,39.60078811645508,0.7522649168968201,0.7363777160644531,2.38027286529541,9.116488456726074,16.34561538696289,0.0,0.0,1769.0050048828125,0.0,1769.0050048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.24460983276367,2.0166473388671875,0.0,0,0,7289,0.027805328369140625,7289,0,0.0,matched_multiscale_normalized_mse_v1,reference_norm_relative_v2,first_nonzero_active_used_gradient_norm_per_sample_v1
