arm,source_seed,full_true_positive,full_false_positive,full_false_negative,full_precision,full_recall,full_iou,hidden_true_positive,hidden_false_positive,hidden_false_negative,hidden_precision,hidden_recall,hidden_iou,predicted_label9_voxels,hard_seismic_rmse,predicted_component_count,truth_body_merged_pair_count,body_0_recall,body_0_dominant_component,body_1_recall,body_1_dominant_component,body_2_recall,body_2_dominant_component,body_3_recall,body_3_dominant_component,body_4_recall,body_4_dominant_component
FLOW_ONLY,42,1725,11855,1475,0.12702503681885124,0.5390625,0.11457987379608103,259,11855,1021,0.021380221231632822,0.20234375,0.01971830985915493,13580,0.0446082167327404,78,2,0.723437488079071,3,0.6640625,5,0.903124988079071,5,0.4046874940395355,3,0.0,0
FLOW_ONLY,142,1571,8021,1629,0.16378231859883235,0.4909375,0.14000534711701274,23,8021,1257,0.0028592739930382895,0.01796875,0.0024728523814643586,9592,0.038379985839128494,71,4,0.801562488079071,1,0.668749988079071,20,0.948437511920929,20,0.02187499962747097,1,0.01406249962747097,20
FLOW_ONLY,242,1853,15294,1347,0.10806555082521724,0.5790625,0.10019465772683032,176,15294,1104,0.011376858435681965,0.1375,0.010619041872812839,17147,0.04511510953307152,41,10,0.8999999761581421,2,0.7203124761581421,2,1.0,2,0.004687500186264515,2,0.27031248807907104,2
SEISMIC_GUIDED,42,3030,15645,170,0.16224899598393575,0.946875,0.1607853542053595,1149,15645,131,0.0684172918899607,0.89765625,0.06788774002954209,18675,0.04800916090607643,71,10,0.9937499761581421,2,0.9781249761581421,2,0.9671875238418579,2,0.9671875238418579,2,0.828125,2
SEISMIC_GUIDED,142,3028,11895,172,0.20290826241372378,0.94625,0.2005962239152037,1154,11895,126,0.0884358954709173,0.9015625,0.08759013282732447,14923,0.0430951751768589,69,4,0.9859374761581421,1,0.9515625238418579,19,0.9906250238418579,19,0.918749988079071,1,0.8843749761581421,19
SEISMIC_GUIDED,242,3111,19047,89,0.14040075819117248,0.9721875,0.13983907942643953,1198,19047,82,0.059175104964188686,0.9359375,0.058936390023121954,22158,0.04816605523228645,38,10,0.9921875,1,0.996874988079071,1,1.0,1,0.9125000238418579,1,0.9593750238418579,1
ORACLE_GUIDED,42,3200,204,0,0.9400705052878966,1.0,0.9400705052878966,1280,204,0,0.862533692722372,1.0,0.862533692722372,3404,0.013644839636981487,63,0,1.0,13,1.0,26,1.0,42,1.0,15,1.0,27
ORACLE_GUIDED,142,3200,183,0,0.9459060005911912,1.0,0.9459060005911912,1280,183,0,0.8749145591250854,1.0,0.8749145591250854,3383,0.012146067805588245,47,0,1.0,5,1.0,17,1.0,29,1.0,6,1.0,20
ORACLE_GUIDED,242,3200,130,0,0.960960960960961,1.0,0.960960960960961,1280,130,0,0.9078014184397163,1.0,0.9078014184397163,3330,0.01159735582768917,68,0,1.0,2,1.0,21,1.0,54,1.0,3,1.0,26
