case_id,arm,source_seed,initial_noise_sha256,sample_sha256,condition_violations
FIVE_BODY,SEISMIC_GUIDED,42,5b3e3cc13e70f1477679559ea82781e02fc58130469ff39d5c71b5db647f9eea,2a2fcf4523e0deff61ffddedc595067abc6231903782f8a1102e09c952f066bc,0
FIVE_BODY,SEISMIC_GUIDED,142,9e3fe8095b7f2705dfa4353f4606f4b4cb9d6a00c3ed5cbb0d450674e650e9cb,aa88b65f79b10b29ea994d8228ec4437361c95cefe7beb60dc34510f64dfc3de,0
FIVE_BODY,SEISMIC_GUIDED,242,e6f10761b6eee07b0a77a58fc4f2170c9a107a156a7d8db89b83ebc4b1ac2c49,57cc4200ac10a325d13adf3d4fdda361521fe34ca4100751ac7174ea1a0db175,0
