member_id,candidate_index,source_seed,prior_seismic_rmse,inverted_seismic_rmse,delta_seismic_rmse,condition_violations,underground_air_voxels_replaced,neutral_category,neutral_raw_label,normal_diagonal_mean,prior_lambda,smoothness_lambda,correction_abs_max_time,correction_rms_time,correction_abs_max_depth,correction_rms_depth_subsurface
0,100,9311100,0.047185853123664856,0.025406574830412865,-0.02177927829325199,0,0,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.3612691164016724,0.08195698261260986,1.1839635372161865,0.11436982452869415
1,101,9311101,0.04194994643330574,0.022676659747958183,-0.019273286685347557,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.412229061126709,0.0730285495519638,1.2251180410385132,0.10312200337648392
2,102,9311102,0.04580330848693848,0.024901235476136208,-0.02090207301080227,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.3290246725082397,0.07983054965734482,1.1779801845550537,0.11124104261398315
3,103,9311103,0.0391709990799427,0.021871648728847504,-0.0172993503510952,0,3,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.1681815385818481,0.06772559881210327,1.1007906198501587,0.0934423878788948
4,104,9311104,0.056413762271404266,0.029958203434944153,-0.026455558836460114,0,0,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.2790589332580566,0.09774112701416016,1.2175416946411133,0.13698559999465942
5,105,9311105,0.05008936673402786,0.026442181318998337,-0.023647185415029526,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.4098536968231201,0.08660601079463959,1.34661865234375,0.12169814854860306
6,106,9311106,0.046095605939626694,0.024891436100006104,-0.02120416983962059,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.291066288948059,0.0799553394317627,1.1085186004638672,0.11192134022712708
7,107,9311107,0.052106283605098724,0.027895890176296234,-0.02421039342880249,0,2,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.4049705266952515,0.0905098170042038,1.3193918466567993,0.12680812180042267
8,108,9311108,0.04678500071167946,0.02476188726723194,-0.022023113444447517,0,3,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.2134668827056885,0.08072689920663834,1.1834348440170288,0.11306634545326233
9,109,9311109,0.045031141489744186,0.02381511591374874,-0.021216025575995445,0,2,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.1160825490951538,0.07796009629964828,1.100692629814148,0.10891079157590866
10,110,9311110,0.045628972351551056,0.02403646521270275,-0.021592507138848305,0,0,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.322597861289978,0.07995868474245071,1.267548680305481,0.11273343116044998
11,111,9311111,0.04896378144621849,0.02667900361120701,-0.022284777835011482,0,1,4,3,0.5866422057151794,0.0005866422434337437,0.005866421852260828,1.2090984582901,0.08425086736679077,0.9580656290054321,0.11718563735485077
