source_label,destination_label,changed_voxels,condition_violation_count,hard_seismic_loss,hard_seismic_rmse_amplitude,hard_seismic_mae_amplitude,hard_observation_loss,hard_observation_mae
1,0,45179,0,9.25664234161377,0.030424730852246284,0.005159950815141201,9.25664234161377,0.005159950815141201
1,2,45179,0,4.908073425292969,0.022154171019792557,0.003478928003460169,4.908073425292969,0.003478928003460169
1,3,45179,0,5.08193826675415,0.022543154656887054,0.00373285380192101,5.08193826675415,0.00373285380192101
1,4,45179,0,5.530609130859375,0.023517247289419174,0.004355388227850199,5.530609130859375,0.004355388227850199
1,5,45179,0,7.142066955566406,0.026724642142653465,0.005118886474519968,7.142066955566406,0.005118886474519968
1,6,45179,0,8.998189926147461,0.029996981844305992,0.005767342634499073,8.998189926147461,0.005767342634499073
1,7,45179,0,5.447101593017578,0.023339025676250458,0.0033270467538386583,5.447101593017578,0.0033270467538386583
1,8,45179,0,4.513281345367432,0.021244484931230545,0.003054011845961213,4.513281345367432,0.003054011845961213
1,9,45179,0,13.721193313598633,0.037042126059532166,0.007044109515845776,13.721193313598633,0.007044109515845776
1,10,45179,0,10.231718063354492,0.031987059861421585,0.0061528654769063,10.231718063354492,0.0061528654769063
1,11,45179,0,5.255879878997803,0.022925706580281258,0.004110381472855806,5.255879878997803,0.004110381472855806
1,12,45179,0,6.287762641906738,0.025075411424040794,0.00477618956938386,6.287762641906738,0.00477618956938386
1,13,45179,0,6.540070533752441,0.02557355910539627,0.0039099035784602165,6.540070533752441,0.0039099035784602165
2,0,20383,0,23.50301742553711,0.04847990721464157,0.016729319468140602,23.50301742553711,0.016729319468140602
2,1,20383,0,29.633377075195312,0.05443654581904411,0.01593458279967308,29.633377075195312,0.01593458279967308
2,3,20383,0,17.479991912841797,0.0418090783059597,0.011566629633307457,17.479991912841797,0.011566629633307457
2,4,20383,0,22.347179412841797,0.04727280139923096,0.014216628856956959,22.347179412841797,0.014216628856956959
2,5,20383,0,16.896099090576172,0.041104864329099655,0.013111663050949574,16.896099090576172,0.013111663050949574
2,6,20383,0,18.258991241455078,0.04273054376244545,0.014370468445122242,18.258991241455078,0.014370468445122242
2,7,20383,0,23.11325454711914,0.04807624965906143,0.015454454347491264,23.11325454711914,0.015454454347491264
2,8,20383,0,13.261045455932617,0.036415718495845795,0.01006289105862379,13.261045455932617,0.01006289105862379
2,9,20383,0,22.002090454101562,0.04690638557076454,0.016569867730140686,22.002090454101562,0.016569867730140686
2,10,20383,0,19.21265983581543,0.04383224621415138,0.015114431269466877,19.21265983581543,0.015114431269466877
2,11,20383,0,25.14016342163086,0.05013996362686157,0.014326086267828941,25.14016342163086,0.014326086267828941
2,12,20383,0,17.51182746887207,0.04184713214635849,0.013280299492180347,17.51182746887207,0.013280299492180347
2,13,20383,0,22.012155532836914,0.046917106956243515,0.015160633251070976,22.012155532836914,0.015160633251070976
3,0,14499,0,7.452950954437256,0.027300093322992325,0.004928096197545528,7.452950954437256,0.004928096197545528
3,1,14499,0,5.964961051940918,0.024423271417617798,0.003862088080495596,5.964961051940918,0.003862088080495596
