sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,candidate_id,seed,local_sample_id
3,11,False,0,209,209,nan,0.0,0.0,nan,seed42_sample3,42,3
3,12,False,0,0,0,nan,nan,nan,nan,seed42_sample3,42,3
3,13,True,15,0,-15,1.0,0.0,nan,0.0,seed42_sample3,42,3
4,0,False,0,383,383,nan,0.0,0.0,nan,seed142_sample0,142,0
4,1,True,45273,34748,-10525,0.23247851920570758,0.44254759157773293,0.7064867042707494,0.542243721423365,seed142_sample0,142,0
4,2,True,24520,19815,-4705,0.191884176182708,0.7067677856482907,0.9265203128942721,0.7487357259380097,seed142_sample0,142,0
4,3,True,14533,9097,-5436,0.3740452762678043,0.2551790077552321,0.5280861822578872,0.33055804032202574,seed142_sample0,142,0
4,4,True,73801,95208,21407,0.290063820273438,0.5286769959930897,0.6139189984034955,0.7919946884188561,seed142_sample0,142,0
4,5,True,18902,34832,15930,0.8427679610623214,0.30415999223338674,0.3597841065686725,0.6629986244841816,seed142_sample0,142,0
4,6,True,11543,340,-11203,0.9705449189985272,0.012611844908393694,0.43529411764705883,0.012821623494758728,seed142_sample0,142,0
4,7,False,0,1,1,nan,0.0,0.0,nan,seed142_sample0,142,0
4,8,False,0,4,4,nan,0.0,0.0,nan,seed142_sample0,142,0
4,9,True,8968,3068,-5900,0.6578947368421053,0.018963765662038605,0.07301173402868318,0.024977698483496878,seed142_sample0,142,0
4,10,False,0,26,26,nan,0.0,0.0,nan,seed142_sample0,142,0
4,11,False,0,31,31,nan,0.0,0.0,nan,seed142_sample0,142,0
4,12,False,0,0,0,nan,nan,nan,nan,seed142_sample0,142,0
4,13,True,15,0,-15,1.0,0.0,nan,0.0,seed142_sample0,142,0
5,0,False,0,12,12,nan,0.0,0.0,nan,seed142_sample1,142,1
5,1,True,45273,35006,-10267,0.22677975835486935,0.4544878066456499,0.716591441467177,0.5540830075320832,seed142_sample1,142,1
5,2,True,24520,21640,-2880,0.11745513866231648,0.7254784688995215,0.8968576709796673,0.7915171288743883,seed142_sample1,142,1
5,3,True,14533,10822,-3711,0.2553498933461777,0.280814305920388,0.5136758454999076,0.38250877313699855,seed142_sample1,142,1
5,4,True,73801,91814,18013,0.24407528353274346,0.5486576710522625,0.639052867754373,0.7950298776439344,seed142_sample1,142,1
5,5,True,18902,28733,9831,0.5201036927309279,0.3198581363774902,0.40176800194897855,0.6107290233837689,seed142_sample1,142,1
5,6,True,11543,137,-11406,0.9881313350082301,0.006202618883528601,0.5255474452554745,0.00623754656501776,seed142_sample1,142,1
5,7,False,0,1,1,nan,0.0,0.0,nan,seed142_sample1,142,1
5,8,False,0,0,0,nan,nan,nan,nan,seed142_sample1,142,1
5,9,True,8968,9054,86,0.00958965209634255,0.04772978315214232,0.09067815330240778,0.09154772524531668,seed142_sample1,142,1
5,10,False,0,220,220,nan,0.0,0.0,nan,seed142_sample1,142,1
5,11,False,0,112,112,nan,0.0,0.0,nan,seed142_sample1,142,1
5,12,False,0,0,0,nan,nan,nan,nan,seed142_sample1,142,1
5,13,True,15,0,-15,1.0,0.0,nan,0.0,seed142_sample1,142,1
6,0,False,0,141,141,nan,0.0,0.0,nan,seed142_sample2,142,2
6,1,True,45273,37290,-7983,0.1763302630707044,0.4645061728395062,0.7022526146419952,0.5784242263600822,seed142_sample2,142,2
6,2,True,24520,21210,-3310,0.13499184339314846,0.7121569508405406,0.8967939651107968,0.7757340946166394,seed142_sample2,142,2
6,3,True,14533,7334,-7199,0.4953553980595885,0.23976641342555846,0.5766293973275157,0.29099291268148353,seed142_sample2,142,2
6,4,True,73801,92705,18904,0.2561482906735681,0.5199780911953992,0.6144328784855185,0.7718188100432244,seed142_sample2,142,2
6,5,True,18902,29367,10465,0.5536451169188445,0.2326412829745397,0.3102121428814656,0.4819595809967199,seed142_sample2,142,2
6,6,True,11543,291,-11252,0.9747899159663865,0.011107313738892685,0.44673539518900346,0.011262236853504288,seed142_sample2,142,2
6,7,False,0,13,13,nan,0.0,0.0,nan,seed142_sample2,142,2
6,8,False,0,5,5,nan,0.0,0.0,nan,seed142_sample2,142,2
6,9,True,8968,8975,7,0.0007805530776092774,0.03848825095497164,0.07409470752089137,0.07415254237288135,seed142_sample2,142,2
6,10,False,0,58,58,nan,0.0,0.0,nan,seed142_sample2,142,2
6,11,False,0,163,163,nan,0.0,0.0,nan,seed142_sample2,142,2
6,12,False,0,0,0,nan,nan,nan,nan,seed142_sample2,142,2
