sample_id,path,geo_misfit,geo_rank,voxel_accuracy,mean_iou
0,samples/jupyter-demo/paper_cond_gen_0/sample_0.pt,0.12738637626171112,18,0.8192680478096008,0.29416725039482117
1,samples/jupyter-demo/paper_cond_gen_0/sample_1.pt,0.14277274906635284,42,0.7974300980567932,0.2784494459629059
2,samples/jupyter-demo/paper_cond_gen_0/sample_2.pt,0.14142102003097534,39,0.8058446049690247,0.27784669399261475
3,samples/jupyter-demo/paper_cond_gen_0/sample_3.pt,0.13701224327087402,31,0.795542299747467,0.2784637212753296
4,samples/jupyter-demo/paper_cond_gen_0/sample_4.pt,0.1712857037782669,87,0.7952956557273865,0.27331745624542236
5,samples/jupyter-demo/paper_cond_gen_0/sample_5.pt,0.1516832560300827,62,0.805104672908783,0.2811134159564972
6,samples/jupyter-demo/paper_cond_gen_0/sample_6.pt,0.12442410737276077,12,0.8079459071159363,0.2827703654766083
7,samples/jupyter-demo/paper_cond_gen_0/sample_7.pt,0.1971878707408905,99,0.7986443638801575,0.27798038721084595
8,samples/jupyter-demo/paper_cond_gen_0/sample_8.pt,0.14693960547447205,52,0.8082589507102966,0.2630937695503235
9,samples/jupyter-demo/paper_cond_gen_0/sample_9.pt,0.1659751981496811,82,0.7793536186218262,0.2668614089488983
10,samples/jupyter-demo/paper_cond_gen_0/sample_10.pt,0.1657690703868866,81,0.7983313202857971,0.27858424186706543
11,samples/jupyter-demo/paper_cond_gen_0/sample_11.pt,0.14949658513069153,55,0.7825647592544556,0.24534468352794647
12,samples/jupyter-demo/paper_cond_gen_0/sample_12.pt,0.1918017417192459,98,0.7747336626052856,0.26267293095588684
13,samples/jupyter-demo/paper_cond_gen_0/sample_13.pt,0.2252969741821289,100,0.7853443026542664,0.27360063791275024
14,samples/jupyter-demo/paper_cond_gen_0/sample_14.pt,0.16468389332294464,77,0.7799559831619263,0.2665347754955292
15,samples/jupyter-demo/paper_cond_gen_0/sample_15.pt,0.15082813799381256,61,0.7999535202980042,0.2784084975719452
16,samples/jupyter-demo/paper_cond_gen_0/sample_16.pt,0.1523437201976776,63,0.7991044521331787,0.26049473881721497
17,samples/jupyter-demo/paper_cond_gen_0/sample_17.pt,0.1400204747915268,36,0.7921461462974548,0.2747661769390106
18,samples/jupyter-demo/paper_cond_gen_0/sample_18.pt,0.17338047921657562,88,0.7821758389472961,0.26792922616004944
19,samples/jupyter-demo/paper_cond_gen_0/sample_19.pt,0.165321484208107,79,0.7911216020584106,0.27322056889533997
20,samples/jupyter-demo/paper_cond_gen_0/sample_20.pt,0.12467005103826523,13,0.8024674654006958,0.2827012836933136
21,samples/jupyter-demo/paper_cond_gen_0/sample_21.pt,0.15311382710933685,66,0.8004183769226074,0.2829875648021698
22,samples/jupyter-demo/paper_cond_gen_0/sample_22.pt,0.17352597415447235,89,0.799270510673523,0.2809446454048157
23,samples/jupyter-demo/paper_cond_gen_0/sample_23.pt,0.14771480858325958,53,0.8031694293022156,0.29980412125587463
