candidate_0,candidate_1,candidate_ids,is_truth_pair,hard_rmse,hard_attainment,selected_body_count,body_true_positive,body_precision,body_recall,rank
2,11,"candidate_02,candidate_11",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,53
3,7,"candidate_03,candidate_07",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,54
3,8,"candidate_03,candidate_08",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,55
3,9,"candidate_03,candidate_09",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,56
3,11,"candidate_03,candidate_11",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,57
7,8,"candidate_07,candidate_08",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,58
7,9,"candidate_07,candidate_09",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,59
8,9,"candidate_08,candidate_09",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,60
8,11,"candidate_08,candidate_11",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,61
9,11,"candidate_09,candidate_11",False,0.07153353095054626,-0.4142135185098852,2,0,0.0,0.0,62
1,5,"candidate_01,candidate_05",False,0.07153353840112686,-0.4142136658074065,2,0,0.0,0.0,63
2,3,"candidate_02,candidate_03",False,0.07153353840112686,-0.4142136658074065,2,0,0.0,0.0,64
5,9,"candidate_05,candidate_09",False,0.07153483480215073,-0.4142392955761178,2,0,0.0,0.0,65
7,11,"candidate_07,candidate_11",False,0.07154932618141174,-0.4145257892551024,2,0,0.0,0.0,66
