sample_id,global_voxel_accuracy,global_mean_iou,target_iou,target_precision,target_recall,target_volume,predicted_target_volume,target_volume_error,target_volume_error_fraction,target_absolute_volume_error,target_absolute_volume_error_fraction,target_centroid_distance,target_connected_components,largest_component_fraction,selected_target_volume,predicted_target_volume_inside_roi,selected_volume_error,selected_volume_error_fraction,selected_absolute_volume_error,selected_absolute_volume_error_fraction,selected_roi_iou,selected_roi_precision,selected_roi_recall,selected_centroid_distance,selected_roi_connected_components,selected_roi_largest_component_fraction,inside_roi_voxel_accuracy,outside_roi_voxel_accuracy,outside_roi_target_iou,outside_roi_target_precision,outside_roi_target_recall,condition_violation_count,truth_present_mean_iou,target_tiny_component_mass_le_5,target_tiny_component_mass_fraction_le_5,target_top4_component_mass_fraction,target_top8_component_mass_fraction,target_components_ge_5,target_components_ge_10,target_components_ge_20,target_components_ge_100,target_component_1_voxels,target_component_2_voxels,target_component_3_voxels,target_component_4_voxels,target_component_5_voxels,target_component_6_voxels,target_component_7_voxels,target_component_8_voxels,role,paired_hard_change_count,paired_hard_change_fraction,paired_hard_change_inside_roi,paired_hard_change_outside_roi,paired_target_to_other_count,paired_other_to_target_count
0,0.5873655676841736,0.19290867447853088,0.02859647939569704,0.0674836861371956,0.04727921498661909,8968,6283,-2685,-0.2993978590544157,2685,0.2993978590544157,24.002561569213867,37,0.7243355085150406,8968,4825,-4143,-0.4619759143621766,4143,0.4619759143621766,0.03171516194180567,0.08787564766839379,0.04727921498661909,23.993736267089844,33,0.7231088082901554,0.5610397381615094,0.6206422333768824,0.0,0.0,nan,0,0.26524943113327026,34,0.005411427661944931,0.9697596689479548,0.9912462199586185,10,9,7,4,4551,979,350,213,63,36,21,15,baseline,,,,,,
1,0.589719295501709,0.15180285274982452,0.02593026662760035,0.0702659785629218,0.039473684210526314,8968,5038,-3930,-0.4382247992863515,3930,0.4382247992863515,24.330116271972656,31,0.7022628026994839,8968,3898,-5070,-0.5653434433541481,5070,0.5653434433541481,0.028292838874680308,0.09081580297588507,0.039473684210526314,24.178457260131836,26,0.7095946639302206,0.5630887512806332,0.6233812372504527,0.0,0.0,nan,0,0.265654981136322,26,0.005160778086542279,0.9603017070265979,0.9870980547836443,12,10,8,3,3538,889,318,93,53,31,29,22,ratio025,3737,0.014255523681640625,2314,1423,1438,193
2,0.5891726613044739,0.15153086185455322,0.02349652462979752,0.06791875955448788,0.03467885816235504,8968,4579,-4389,-0.4894067796610169,4389,0.4894067796610169,24.281789779663086,60,0.863507316007862,8968,3547,-5421,-0.6044826048171276,5421,0.6044826048171276,0.02548344804981973,0.08767972934874542,0.03467885816235504,24.11016273498535,39,0.6859317733295743,0.5618738496967279,0.6236792041990419,0.0,0.0,nan,0,0.2651790380477905,68,0.014850404018344617,0.9512994103516051,0.9755405110286088,15,9,7,2,3954,288,69,45,34,32,30,15,ratio050,5707,0.021770477294921875,3602,2105,1961,257
3,0.5825213193893433,0.14941203594207764,0.021828861724083187,0.07042253521126761,0.03066458519179304,8968,3905,-5063,-0.5645628902765388,5063,0.5645628902765388,24.011585235595703,171,0.6033290653008963,8968,3060,-5908,-0.6587867975022301,5908,0.6587867975022301,0.023398281289883433,0.08986928104575163,0.03066458519179304,23.9531307220459,108,0.6624183006535947,0.5535327343445424,0.6191638589011895,0.0,0.0,nan,0,0.26147106289863586,235,0.06017925736235595,0.8855313700384123,0.917797695262484,17,11,7,4,2356,696,213,193,51,30,26,19,ratio100,10854,0.04140472412109375,6891,3963,2872,494
4,0.5460251569747925,0.1385442316532135,0.014332071389940509,0.06958424507658643,0.017729705619982158,8968,2285,-6683,-0.7452051739518287,6683,0.7452051739518287,20.319902420043945,533,0.12560175054704595,8968,1766,-7202,-0.8030776092774309,7202,0.8030776092774309,0.015035460992907802,0.09003397508493771,0.017729705619982158,20.512128829956055,380,0.14269535673839184,0.5096602808779931,0.5919915652433014,0.0,0.0,nan,0,0.24245238304138184,784,0.34310722100656454,0.40175054704595187,0.5185995623632386,38,21,13,5,287,263,224,144,126,61,41,39,ratio200,27183,0.10369491577148438,17625,9558,4746,748
5,0.40049099922180176,0.10201365500688553,0.013342758681629407,0.0604,0.01683764495985727,8968,2500,-6468,-0.7212310437109724,6468,0.7212310437109724,12.897700309753418,1096,0.0288,8968,1847,-7121,-0.7940454950936664,7121,0.7940454950936664,0.014159789947486871,0.08175419599350298,0.01683764495985727,11.610616683959961,751,0.03898213318895506,0.34923887322411307,0.46527539022209996,0.0,0.0,nan,0,0.17852389812469482,1723,0.6892,0.0768,0.1152,97,24,8,0,72,50,37,33,28,28,20,20,ratio400,78390,0.29903411865234375,49160,29230,5774,1991
