sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,role
0,1,True,45273,36154,-9119,0.20142248139067434,0.41760097493036213,0.6634673895004702,0.5298301415854925,baseline
0,2,True,24520,22811,-1709,0.06969820554649266,0.7116045275376993,0.8626539827276314,0.8025285481239804,baseline
0,3,True,14533,5425,-9108,0.6267116218261887,0.15250909510885258,0.4868202764976958,0.18172435147595128,baseline
0,4,True,73801,93148,19347,0.26215091936423623,0.5393530897892194,0.6279791299866878,0.7926044362542513,baseline
0,5,True,18902,32984,14082,0.7450005290445455,0.25817793835932007,0.32279286926994905,0.563273727647868,baseline
0,6,True,11543,280,-11263,0.9757428744693754,0.014153371075656201,0.5892857142857143,0.014294377544832365,baseline
0,9,True,8968,6283,-2685,0.2993978590544157,0.02859647939569704,0.0674836861371956,0.04727921498661909,baseline
0,13,True,15,0,-15,1.0,0.0,nan,0.0,baseline
1,1,True,45273,36322,-8951,0.19771166037152388,0.41857473182774385,0.6628489620615605,0.5317959931968281,ratio025
1,2,True,24520,23121,-1399,0.05705546492659054,0.7157417077826197,0.8595648977120367,0.8105220228384992,ratio025
1,3,True,14533,5748,-8785,0.6044863414298494,0.152722519040582,0.4674669450243563,0.18488956168719467,ratio025
1,4,True,73801,93869,20068,0.27192043468245686,0.5389204519379917,0.6255206724264667,0.7956125255755342,ratio025
1,5,True,18902,32595,13693,0.724420696222622,0.2605747576618036,0.3265838318760546,0.5631679187387578,ratio025
1,6,True,11543,269,-11274,0.9766958329723642,0.012775443710880562,0.5539033457249071,0.01290825608593953,ratio025
1,9,True,8968,5038,-3930,0.4382247992863515,0.02593026662760035,0.0702659785629218,0.039473684210526314,ratio025
1,13,True,15,18,3,0.2,0.0,0.0,0.0,ratio025
2,1,True,45273,36125,-9148,0.20206303978088486,0.4145103831783821,0.6602906574394464,0.5268703200583129,ratio050
2,2,True,24520,23249,-1271,0.051835236541598696,0.7159021516577463,0.8572411716632974,0.8128058727569332,ratio050
2,3,True,14533,5942,-8591,0.5911374114085185,0.152741808354915,0.4565802760013464,0.18667859354572353,ratio050
2,4,True,73801,94068,20267,0.27461687511009336,0.5386991512218372,0.6247714419356211,0.7963442229780084,ratio050
2,5,True,18902,32286,13384,0.7080732197651042,0.2631838708881376,0.3303289351421669,0.5642260078298593,ratio050
2,6,True,11543,315,-11228,0.9727107337780473,0.012898265994704023,0.4793650793650794,0.013081521268301135,ratio050
2,9,True,8968,4579,-4389,0.4894067796610169,0.02349652462979752,0.06791875955448788,0.03467885816235504,ratio050
2,13,True,15,58,43,2.8666666666666667,0.0,0.0,0.0,ratio050
3,1,True,45273,34969,-10304,0.22759702250789654,0.4021458027538967,0.6581257685378478,0.5083383031829125,ratio100
3,2,True,24520,23304,-1216,0.04959216965742251,0.7065981515183956,0.8496824579471335,0.8075448613376836,ratio100
3,3,True,14533,6387,-8146,0.5605174430606207,0.14938739629690675,0.4257084703303585,0.18709144705153788,ratio100
3,4,True,73801,94011,20210,0.27384452785192614,0.5353479903750263,0.6224058886726022,0.7928483353884094,ratio100
3,5,True,18902,31998,13096,0.6928367368532431,0.2629332804009627,0.331176948559285,0.5606285049201143,ratio100
3,6,True,11543,520,-11023,0.9549510525859829,0.01352713829608469,0.3096153846153846,0.013947847180109158,ratio100
3,9,True,8968,3905,-5063,0.5645628902765388,0.021828861724083187,0.07042253521126761,0.03066458519179304,ratio100
3,13,True,15,230,215,14.333333333333334,0.0,0.0,0.0,ratio100
4,1,True,45273,32680,-12593,0.2781569588938219,0.3649384531876521,0.6377600979192166,0.46036268857818125,ratio200
4,2,True,24520,23395,-1125,0.04588091353996737,0.6465069928868423,0.8041889292583886,0.7672920065252855,ratio200
4,3,True,14533,7655,-6878,0.4732677354985206,0.1392483056069008,0.3542782495101241,0.1866097846280878,ratio200
4,4,True,73801,90139,16338,0.22137911410414493,0.5076328857826007,0.6123875348073531,0.7479573447514262,ratio200
4,5,True,18902,30621,11719,0.6199873029309068,0.25114951240462835,0.32464648443878386,0.525923182731986,ratio200
4,6,True,11543,1435,-10108,0.8756822316555488,0.01581089542892924,0.14076655052264808,0.01749978341852205,ratio200
4,9,True,8968,2285,-6683,0.7452051739518287,0.014332071389940509,0.06958424507658643,0.017729705619982158,ratio200
4,13,True,15,1126,1111,74.06666666666666,0.0,0.0,0.0,ratio200
5,1,True,45273,23654,-21619,0.47752523579175227,0.22693937128413258,0.5389786082692145,0.28160272126874736,ratio400
5,2,True,24520,23910,-610,0.024877650897226752,0.4692230682886873,0.6468841488916771,0.6307911908646003,ratio400
5,3,True,14533,12085,-2448,0.16844423037225625,0.11943813609218605,0.23500206868018203,0.19541732608546067,ratio400
5,4,True,73801,71144,-2657,0.036002222192111216,0.3879632289571962,0.5694788035533566,0.548976301134131,ratio400
5,5,True,18902,25535,6633,0.3509152470638028,0.1876469959375668,0.2749559428235755,0.3714421754311713,ratio400
5,6,True,11543,4859,-6684,0.5790522394524821,0.023398015848256067,0.07717637373945256,0.032487221692800834,ratio400
5,9,True,8968,2500,-6468,0.7212310437109724,0.013342758681629407,0.0604,0.01683764495985727,ratio400
5,13,True,15,4159,4144,276.26666666666665,0.00023963575365444525,0.00024044241404183698,0.06666666666666667,ratio400
