role,sample_id,from_label,to_label,voxel_count,is_changed
ratio050,2,9,1,403,True
ratio050,2,9,2,191,True
ratio050,2,9,3,203,True
ratio050,2,9,4,677,True
ratio050,2,9,5,191,True
ratio050,2,9,6,14,True
ratio050,2,9,7,48,True
ratio050,2,9,8,42,True
ratio050,2,9,9,4322,False
ratio050,2,9,10,23,True
ratio050,2,9,11,60,True
ratio050,2,9,12,6,True
ratio050,2,9,13,19,True
ratio050,2,10,0,8,True
ratio050,2,10,1,24,True
ratio050,2,10,2,10,True
ratio050,2,10,3,6,True
ratio050,2,10,4,6,True
ratio050,2,10,5,8,True
ratio050,2,10,7,1,True
ratio050,2,10,8,2,True
ratio050,2,10,9,3,True
ratio050,2,10,10,92,False
ratio050,2,10,11,1,True
ratio050,2,11,1,2,True
ratio050,2,11,4,2,True
ratio050,2,11,10,1,True
ratio050,2,11,11,13,False
ratio100,3,-1,-1,64589,False
ratio100,3,0,0,142,False
ratio100,3,0,1,24,True
ratio100,3,0,2,15,True
ratio100,3,0,3,8,True
ratio100,3,0,4,32,True
ratio100,3,0,5,28,True
ratio100,3,0,6,6,True
ratio100,3,0,8,4,True
ratio100,3,0,9,6,True
ratio100,3,0,10,16,True
ratio100,3,0,11,7,True
ratio100,3,0,12,3,True
ratio100,3,1,0,17,True
ratio100,3,1,1,33592,False
ratio100,3,1,2,194,True
ratio100,3,1,3,326,True
ratio100,3,1,4,711,True
ratio100,3,1,5,508,True
ratio100,3,1,6,159,True
ratio100,3,1,7,2,True
ratio100,3,1,8,6,True
ratio100,3,1,9,257,True
ratio100,3,1,10,195,True
ratio100,3,1,11,118,True
ratio100,3,1,12,65,True
ratio100,3,1,13,4,True
ratio100,3,2,0,18,True
ratio100,3,2,1,40,True
ratio100,3,2,2,22046,False
ratio100,3,2,3,28,True
ratio100,3,2,4,201,True
ratio100,3,2,5,291,True
ratio100,3,2,6,35,True
ratio100,3,2,7,11,True
ratio100,3,2,9,53,True
ratio100,3,2,10,53,True
ratio100,3,2,11,9,True
ratio100,3,2,12,19,True
ratio100,3,2,13,7,True
ratio100,3,3,0,3,True
ratio100,3,3,1,16,True
ratio100,3,3,2,11,True
ratio100,3,3,3,5173,False
ratio100,3,3,4,65,True
ratio100,3,3,5,61,True
ratio100,3,3,6,23,True
ratio100,3,3,7,4,True
ratio100,3,3,8,4,True
ratio100,3,3,9,43,True
ratio100,3,3,10,14,True
ratio100,3,3,12,2,True
ratio100,3,3,13,6,True
ratio100,3,4,0,187,True
ratio100,3,4,1,356,True
ratio100,3,4,2,237,True
ratio100,3,4,3,208,True
ratio100,3,4,4,91470,False
ratio100,3,4,5,196,True
ratio100,3,4,6,35,True
ratio100,3,4,7,139,True
ratio100,3,4,8,54,True
ratio100,3,4,9,116,True
ratio100,3,4,10,48,True
ratio100,3,4,11,6,True
ratio100,3,4,13,96,True
ratio100,3,5,0,100,True
ratio100,3,5,1,463,True
ratio100,3,5,2,527,True
ratio100,3,5,3,281,True
ratio100,3,5,4,640,True
ratio100,3,5,5,30562,False
ratio100,3,5,6,7,True
ratio100,3,5,7,137,True
ratio100,3,5,8,126,True
ratio100,3,5,9,17,True
ratio100,3,5,10,12,True
ratio100,3,5,11,49,True
ratio100,3,5,13,63,True
ratio100,3,6,-1,1,True
ratio100,3,6,0,2,True
ratio100,3,6,1,9,True
ratio100,3,6,2,8,True
ratio100,3,6,3,12,True
ratio100,3,6,4,8,True
ratio100,3,6,5,15,True
ratio100,3,6,6,212,False
ratio100,3,6,7,5,True
ratio100,3,6,8,2,True
ratio100,3,6,11,3,True
ratio100,3,6,13,3,True
ratio100,3,9,-1,1,True
ratio100,3,9,0,113,True
ratio100,3,9,1,444,True
ratio100,3,9,2,253,True
ratio100,3,9,3,342,True
ratio100,3,9,4,870,True
ratio100,3,9,5,330,True
ratio100,3,9,6,43,True
ratio100,3,9,7,76,True
ratio100,3,9,8,76,True
ratio100,3,9,9,3411,False
ratio100,3,9,10,92,True
ratio100,3,9,11,144,True
ratio100,3,9,12,38,True
ratio100,3,9,13,50,True
ratio100,3,10,0,3,True
ratio100,3,10,1,23,True
ratio100,3,10,2,12,True
ratio100,3,10,3,9,True
ratio100,3,10,4,11,True
ratio100,3,10,5,7,True
ratio100,3,10,7,2,True
ratio100,3,10,8,3,True
ratio100,3,10,9,2,True
ratio100,3,10,10,82,False
ratio100,3,10,11,6,True
ratio100,3,10,13,1,True
ratio100,3,11,1,2,True
ratio100,3,11,2,1,True
ratio100,3,11,4,3,True
ratio100,3,11,10,1,True
ratio100,3,11,11,11,False
ratio200,4,-1,-1,64589,False
ratio200,4,0,0,111,False
ratio200,4,0,1,19,True
ratio200,4,0,2,22,True
ratio200,4,0,3,22,True
ratio200,4,0,4,33,True
ratio200,4,0,5,29,True
ratio200,4,0,6,10,True
ratio200,4,0,7,3,True
ratio200,4,0,8,8,True
ratio200,4,0,9,4,True
ratio200,4,0,10,9,True
ratio200,4,0,11,12,True
ratio200,4,0,12,7,True
ratio200,4,0,13,2,True
ratio200,4,1,0,50,True
ratio200,4,1,1,29916,False
ratio200,4,1,2,584,True
ratio200,4,1,3,839,True
ratio200,4,1,4,1554,True
ratio200,4,1,5,1155,True
ratio200,4,1,6,492,True
ratio200,4,1,7,25,True
ratio200,4,1,8,67,True
ratio200,4,1,9,219,True
ratio200,4,1,10,386,True
ratio200,4,1,11,560,True
ratio200,4,1,12,294,True
ratio200,4,1,13,13,True
ratio200,4,2,-1,1,True
ratio200,4,2,0,127,True
ratio200,4,2,1,161,True
ratio200,4,2,2,20578,False
ratio200,4,2,3,156,True
ratio200,4,2,4,423,True
ratio200,4,2,5,520,True
ratio200,4,2,6,166,True
ratio200,4,2,7,106,True
ratio200,4,2,8,18,True
ratio200,4,2,9,109,True
ratio200,4,2,10,171,True
ratio200,4,2,11,103,True
ratio200,4,2,12,113,True
ratio200,4,2,13,59,True
ratio200,4,3,0,35,True
ratio200,4,3,1,40,True
ratio200,4,3,2,27,True
ratio200,4,3,3,4795,False
ratio200,4,3,4,169,True
ratio200,4,3,5,116,True
ratio200,4,3,6,58,True
ratio200,4,3,7,50,True
ratio200,4,3,8,10,True
ratio200,4,3,9,36,True
ratio200,4,3,10,36,True
ratio200,4,3,11,9,True
ratio200,4,3,12,13,True
ratio200,4,3,13,31,True
ratio200,4,4,0,975,True
ratio200,4,4,1,1199,True
ratio200,4,4,2,853,True
ratio200,4,4,3,586,True
ratio200,4,4,4,85626,False
ratio200,4,4,5,677,True
ratio200,4,4,6,316,True
ratio200,4,4,7,997,True
ratio200,4,4,8,511,True
ratio200,4,4,9,325,True
ratio200,4,4,10,371,True
ratio200,4,4,11,57,True
ratio200,4,4,12,33,True
ratio200,4,4,13,622,True
ratio200,4,5,0,427,True
ratio200,4,5,1,793,True
ratio200,4,5,2,841,True
ratio200,4,5,3,654,True
ratio200,4,5,4,1053,True
ratio200,4,5,5,27568,False
ratio200,4,5,6,39,True
ratio200,4,5,7,448,True
ratio200,4,5,8,411,True
ratio200,4,5,9,54,True
ratio200,4,5,10,84,True
ratio200,4,5,11,284,True
ratio200,4,5,12,13,True
ratio200,4,5,13,315,True
ratio200,4,6,0,7,True
ratio200,4,6,1,21,True
ratio200,4,6,2,8,True
ratio200,4,6,3,25,True
ratio200,4,6,4,20,True
ratio200,4,6,5,12,True
ratio200,4,6,6,169,False
ratio200,4,6,7,5,True
ratio200,4,6,8,3,True
ratio200,4,6,11,8,True
ratio200,4,6,12,1,True
ratio200,4,6,13,1,True
ratio200,4,9,0,154,True
ratio200,4,9,1,520,True
ratio200,4,9,2,467,True
ratio200,4,9,3,565,True
